"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.456666665E-3,9.820881084E-2,3.075670516E-1,-1.560848145E0,1.593891274E0
1.139566666E-2,-1.824272811E-2,4.935535330E-1,-2.062731037E0,2.121034468E0
2.133466666E-2,2.948882416E-2,6.806930852E-1,-2.222730153E0,2.324810099E0
3.127366667E-2,1.589711756E-3,7.251319242E-1,-2.132056795E0,2.251995784E0
4.121366666E-2,1.189483000E-1,5.810442513E-1,-1.672732278E0,1.774766011E0
5.115266667E-2,2.277929038E-2,3.086680824E-1,-5.585283780E-1,6.385521358E-1
6.109166666E-2,-3.124635100E-1,-4.643537074E-2,5.350336808E-1,6.213298064E-1
7.103066666E-2,-3.081526503E-1,-1.717824250E-1,1.148846313E0,1.201796617E0
8.096966667E-2,-8.140785992E-4,-3.071618396E-1,1.340040325E0,1.374793487E0
9.090866667E-2,1.416996700E-1,-4.857322973E-1,1.198747621E0,1.301157377E0
1.008476667E-1,8.441435203E-2,-2.892947951E-1,1.103169034E0,1.143590477E0
1.107866667E-1,3.394123037E-1,2.623212969E-1,7.589475417E-1,8.717881313E-1
1.207266667E-1,2.297749637E-1,6.512301350E-1,2.182531714E-2,6.909222584E-1
1.306656667E-1,-2.385877410E-1,7.384539279E-1,4.661751151E-2,7.774390691E-1
1.406046667E-1,-9.872877449E-3,5.376096717E-1,3.586769789E-1,6.463519227E-1
1.505436667E-1,5.594083840E-1,1.103194177E-1,6.314098281E-1,8.507564193E-1
1.604826667E-1,5.940317944E-1,-2.811928931E-1,8.100720870E-1,1.043149079E0
1.704216667E-1,-5.433877440E-1,-4.075380671E-1,9.582229900E-1,1.174541960E0
1.803606667E-1,-8.516722490E-1,-4.256337377E-1,5.288859183E-1,1.089141870E0
1.903006667E-1,-5.628997564E-1,-4.089112857E-1,3.445881128E-2,6.966003051E-1
2.002396667E-1,-1.911020641E-1,-4.098336840E-1,-4.247534394E-1,6.204023950E-1
2.101786667E-1,2.996239015E-1,-2.812306076E-1,-4.172806978E-1,5.856520450E-1
2.201176667E-1,5.635856348E-1,-1.164815059E-1,-2.511998928E-1,6.279316007E-1
