"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.526208323E-3,-2.903089947E-1,1.509752251E0,-1.586416265E0,2.209150909E0
1.646520833E-2,-2.229673429E-1,2.452599987E0,-8.269845736E-1,2.597857698E0
2.640520832E-2,-2.943269089E-2,3.425088429E0,1.420469946E-1,3.428159037E0
3.634420833E-2,4.796829142E-1,3.725984977E0,5.630330729E-1,3.798692669E0
4.628320833E-2,1.222664634E0,3.053801930E0,1.013345861E-1,3.291030801E0
5.622220832E-2,1.562862803E0,1.894890804E0,-9.382904166E-1,2.629361179E0
6.616120832E-2,8.802945158E-1,-3.477613968E-1,-2.179519814E0,2.376165617E0
7.610120832E-2,-1.308569733E0,-5.976053202E-1,-1.981841825E0,2.448914838E0
8.604020832E-2,-2.850355370E0,-9.436143064E-1,-1.991466342E0,3.602897707E0
9.597920833E-2,-2.005915981E0,-4.034037933E-1,-1.449247018E0,2.507339319E0
1.059182083E-1,-1.453144771E0,-7.368342492E-1,-1.480237845E0,2.201285651E0
1.158572083E-1,-1.737468849E0,-5.641153926E-1,-2.317239284E0,2.950698574E0
1.257972083E-1,-1.123031733E0,-2.861922625E-1,-2.203163030E0,2.489384185E0
1.357362083E-1,6.986747351E-1,-3.067177436E-1,-1.995355325E0,2.136273632E0
1.456752083E-1,1.943534084E0,-6.105156800E-1,-2.070529468E0,2.904676644E0
1.556142083E-1,1.935903760E0,-8.807318875E-1,-2.711187837E0,3.445860054E0
1.655532083E-1,2.144665146E-1,-1.931505192E0,-3.790518358E0,4.259664026E0
1.754932083E-1,-1.492118510E0,-3.438696070E0,-5.173487771E0,6.388741975E0
1.854322083E-1,-6.323034288E-1,-1.460473964E0,-3.778595300E0,4.100070032E0
1.953712083E-1,-7.922032884E-1,-2.043600409E-1,-2.069358855E0,2.225218000E0
2.053102083E-1,-9.303759179E-1,3.123499279E-1,7.143829876E-1,1.213880092E0
2.152492083E-1,-6.351847174E-1,9.218126705E-1,5.638327382E0,5.748385329E0
2.251882083E-1,1.810817345E0,3.015834497E-1,4.558841910E0,4.914575423E0
2.351282083E-1,2.464678581E0,2.779392099E-1,4.106856233E-1,2.514071079E0
2.450672083E-1,1.571997616E0,9.729758075E-1,-2.675091221E0,3.251764362E0
2.550064583E-1,3.717270507E-1,9.193447070E-1,-4.658710599E0,4.763083049E0
2.649454583E-1,-3.219248166E-1,2.145776665E-1,-5.545256081E0,5.558735842E0
2.748844583E-1,-3.961979771E-1,-6.439635077E-1,-6.090058120E0,6.136812669E0
2.848244583E-1,-4.507459575E-1,-4.942874682E-1,-7.070916266E0,7.102488921E0
2.947634583E-1,-1.548695438E0,1.185157303E0,-7.408788852E0,7.661149238E0
3.047024583E-1,-2.792469982E0,1.896811615E0,-4.739402760E0,5.818738817E0
3.146414583E-1,-5.507744584E-1,4.468656356E-1,-6.834004630E0,6.870710348E0
3.245804583E-1,-3.056311116E-1,-2.382963450E0,-7.706874059E0,8.072659595E0
3.345204583E-1,-2.024695337E0,-3.283198433E0,-7.707265238E0,8.618626375E0
3.444594583E-1,-2.065546032E0,-3.344450940E0,-7.765605247E0,8.703818550E0
3.543984583E-1,-1.276265329E0,-3.510205763E0,-7.038477668E0,7.968096735E0
3.643374583E-1,7.915858224E-1,-3.256096880E0,-7.143848587E0,7.890712746E0
3.742764583E-1,1.711760103E0,-2.931177047E0,-7.036182051E0,7.812155873E0
3.842164583E-1,1.539080423E0,-2.901746841E0,-6.971200774E0,7.706266509E0
3.941554583E-1,9.446118414E-1,-3.315847823E0,-7.429271649E0,8.190312298E0
