Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.0154,7.58E-01,-1.41E+00,-1.44E+00,2.15E+00
0.0255,2.27E-01,-1.14E+00,-1.65E+00,2.02E+00
0.0355,-2.13E-01,-6.00E-01,-1.65E+00,1.77E+00
0.0455,-6.12E-01,-1.13E-01,-1.48E+00,1.61E+00
0.0555,-7.45E-01,2.92E-01,-1.15E+00,1.40E+00
0.0656,-4.81E-01,5.98E-01,-7.63E-01,1.08E+00
0.0756,-5.52E-03,7.25E-01,-3.48E-01,8.05E-01
0.0856,4.03E-01,6.48E-01,8.35E-03,7.63E-01
0.0956,6.30E-01,3.76E-01,3.93E-01,8.33E-01
0.106,7.42E-01,1.20E-01,6.84E-01,1.02E+00
0.116,8.10E-01,-5.29E-02,8.43E-01,1.17E+00
0.126,7.95E-01,-6.98E-02,8.16E-01,1.14E+00
0.136,8.35E-01,2.57E-02,7.19E-01,1.10E+00
0.146,7.23E-01,-7.15E-03,7.29E-01,1.03E+00
0.156,6.70E-01,1.53E-02,7.60E-01,1.01E+00
0.166,6.80E-01,-5.70E-02,7.65E-01,1.03E+00
0.176,6.53E-01,-8.86E-02,7.69E-01,1.01E+00
0.186,7.08E-01,-1.71E-02,7.83E-01,1.06E+00
0.196,7.40E-01,4.03E-02,7.30E-01,1.04E+00
0.206,7.46E-01,7.40E-02,7.27E-01,1.04E+00
0.216,7.38E-01,1.67E-01,7.46E-01,1.06E+00
0.226,7.39E-01,2.30E-01,6.69E-01,1.02E+00
0.236,8.00E-01,2.19E-01,5.60E-01,1.00E+00
0.246,8.98E-01,2.08E-01,3.38E-01,9.81E-01
0.256,1.16E+00,6.72E-02,-2.96E-01,1.20E+00
0.266,1.43E+00,-1.65E-01,-1.57E+00,2.13E+00
0.276,1.61E+00,-1.84E-01,-3.66E+00,4.00E+00
0.286,1.93E+00,-9.02E-02,-5.85E+00,6.17E+00
0.296,2.41E+00,-4.52E-02,-7.23E+00,7.62E+00
0.306,2.78E+00,1.20E-01,-6.62E+00,7.18E+00
0.316,3.15E+00,3.94E-01,-5.48E+00,6.33E+00
0.326,3.49E+00,5.74E-01,-4.73E+00,5.91E+00
0.336,3.88E+00,5.93E-01,-4.10E+00,5.68E+00
0.346,4.47E+00,6.99E-01,-3.49E+00,5.71E+00
0.356,5.04E+00,8.27E-01,-2.96E+00,5.90E+00
0.366,5.31E+00,9.82E-01,-2.62E+00,6.00E+00
0.376,5.30E+00,1.07E+00,-2.33E+00,5.88E+00
0.386,5.14E+00,9.91E-01,-1.97E+00,5.59E+00
0.396,4.77E+00,7.78E-01,-1.48E+00,5.05E+00
0.407,4.17E+00,4.97E-01,-9.35E-01,4.30E+00
0.417,3.29E+00,1.55E-01,-5.05E-01,3.33E+00
0.427,2.48E+00,-2.11E-01,-2.62E-01,2.51E+00
0.437,1.81E+00,-5.88E-01,-9.01E-02,1.91E+00
0.447,1.29E+00,-8.77E-01,1.13E-01,1.56E+00
0.457,1.23E+00,-1.12E+00,2.28E-01,1.68E+00
0.467,7.17E-01,-1.41E+00,6.51E-01,1.71E+00
0.477,3.64E-01,-1.28E+00,1.05E+00,1.70E+00
0.487,1.55E-01,-8.44E-01,1.63E+00,1.84E+00
0.497,-2.10E-01,-3.44E-01,2.65E+00,2.68E+00
0.507,-2.62E-01,2.04E-02,3.61E+00,3.62E+00
0.517,8.45E-02,2.12E-01,3.72E+00,3.72E+00
0.527,9.36E-01,3.03E-01,3.12E+00,3.27E+00
0.537,2.13E+00,3.19E-01,2.30E+00,3.15E+00
0.547,2.85E+00,3.99E-01,1.60E+00,3.30E+00
0.557,3.00E+00,5.47E-01,1.34E+00,3.33E+00
0.567,2.68E+00,6.24E-01,1.55E+00,3.16E+00
0.577,1.64E+00,9.08E-01,1.82E+00,2.61E+00
0.587,7.29E-01,1.33E+00,2.09E+00,2.58E+00
0.597,4.19E-01,1.74E+00,2.33E+00,2.94E+00
0.607,4.20E-01,2.00E+00,2.50E+00,3.23E+00
0.617,3.70E-01,2.06E+00,2.56E+00,3.31E+00
0.627,8.11E-02,2.04E+00,2.42E+00,3.16E+00
0.637,-4.73E-01,1.92E+00,2.20E+00,2.96E+00
0.647,-1.00E+00,1.74E+00,2.15E+00,2.95E+00
0.657,-1.40E+00,1.62E+00,2.23E+00,3.09E+00
0.667,-1.73E+00,1.67E+00,2.04E+00,3.16E+00
0.677,-1.86E+00,1.71E+00,1.80E+00,3.10E+00
0.687,-2.00E+00,1.64E+00,1.56E+00,3.02E+00
0.697,-2.10E+00,1.49E+00,1.28E+00,2.87E+00
0.707,-2.16E+00,1.20E+00,7.86E-01,2.59E+00
0.717,-2.23E+00,9.31E-01,2.15E-02,2.42E+00
0.727,-2.19E+00,6.65E-01,-8.48E-01,2.44E+00
0.737,-1.75E+00,3.24E-01,-1.64E+00,2.42E+00
0.747,-1.06E+00,-1.82E-01,-2.39E+00,2.63E+00
0.757,-3.10E-01,-8.50E-01,-3.05E+00,3.18E+00
0.768,3.41E-01,-1.52E+00,-3.40E+00,3.74E+00
0.778,6.52E-01,-1.94E+00,-3.37E+00,3.94E+00
0.788,8.62E-01,-2.10E+00,-3.13E+00,3.86E+00
0.798,1.06E+00,-2.33E+00,-2.80E+00,3.80E+00
0.808,1.11E+00,-2.39E+00,-2.44E+00,3.59E+00
0.818,1.03E+00,-2.23E+00,-2.34E+00,3.39E+00
0.828,7.96E-01,-1.76E+00,-2.43E+00,3.11E+00
0.838,5.28E-01,-1.12E+00,-2.70E+00,2.97E+00
0.848,3.48E-01,-8.39E-01,-3.14E+00,3.27E+00
0.858,4.00E-01,-1.51E+00,-3.88E+00,4.19E+00
0.868,6.58E-01,-2.70E+00,-3.95E+00,4.83E+00
0.878,-4.89E-02,-3.77E+00,-3.00E-01,3.78E+00
0.888,-1.73E+00,-4.10E+00,4.77E+00,6.52E+00
0.898,-2.74E+00,-3.13E+00,6.69E+00,7.88E+00
0.908,-3.34E+00,-1.36E+00,7.30E+00,8.15E+00
0.918,-4.05E+00,2.54E-01,7.06E+00,8.14E+00
0.928,-4.50E+00,1.46E+00,5.61E+00,7.34E+00
0.938,-4.57E+00,2.38E+00,3.50E+00,6.23E+00
0.948,-4.26E+00,3.01E+00,1.10E+00,5.33E+00
0.958,-3.69E+00,2.80E+00,6.23E-01,4.67E+00
0.968,-3.05E+00,1.93E+00,1.24E+00,3.82E+00
0.978,-2.41E+00,6.98E-01,1.92E+00,3.16E+00
0.988,-1.93E+00,-4.19E-01,2.58E+00,3.25E+00
0.998,-1.67E+00,-1.11E+00,2.84E+00,3.48E+00
1.01,-1.33E+00,-1.29E+00,2.77E+00,3.33E+00
1.02,-9.97E-01,-1.05E+00,2.55E+00,2.94E+00
1.03,-5.17E-01,-9.15E-01,2.40E+00,2.62E+00
1.04,5.68E-02,-7.59E-01,2.23E+00,2.36E+00
1.05,6.18E-01,-6.78E-01,1.74E+00,1.96E+00
1.06,9.33E-01,-8.66E-01,1.25E+00,1.79E+00
1.07,1.19E+00,-1.03E+00,9.97E-01,1.87E+00
1.08,1.26E+00,-9.27E-01,5.84E-01,1.67E+00
1.09,1.18E+00,-7.77E-01,1.97E-01,1.43E+00
1.1,1.03E+00,-4.61E-01,-1.58E-02,1.13E+00
1.11,8.21E-01,5.96E-02,-1.73E-01,8.41E-01
1.12,6.65E-01,5.45E-01,-2.35E-01,8.91E-01
1.13,6.10E-01,9.23E-01,-3.19E-01,1.15E+00
1.14,5.34E-01,1.26E+00,-2.75E-01,1.39E+00
1.15,4.83E-01,1.55E+00,-1.27E-01,1.63E+00
1.16,5.31E-01,1.67E+00,-3.06E-02,1.75E+00
1.17,6.96E-01,1.66E+00,9.44E-02,1.80E+00
1.18,8.31E-01,1.52E+00,2.34E-01,1.75E+00
1.19,8.92E-01,1.35E+00,2.74E-01,1.64E+00
1.2,1.33E+00,1.07E+00,3.43E-01,1.74E+00
1.21,1.78E+00,6.89E-01,3.43E-01,1.94E+00
1.22,1.94E+00,2.56E-01,2.17E-01,1.97E+00
1.23,2.01E+00,-9.60E-02,9.89E-02,2.02E+00
1.24,1.98E+00,-2.67E-01,-1.59E-01,2.00E+00
1.25,1.93E+00,-3.01E-01,-5.69E-01,2.03E+00
1.26,1.71E+00,-1.70E-01,-1.02E+00,2.00E+00
1.27,1.35E+00,8.62E-02,-1.54E+00,2.05E+00
1.28,1.03E+00,5.32E-01,-2.16E+00,2.46E+00
1.29,6.20E-01,8.92E-01,-2.95E+00,3.15E+00
1.3,4.90E-01,8.66E-01,-3.83E+00,3.95E+00
1.31,7.23E-01,4.69E-01,-5.11E+00,5.18E+00
1.32,1.28E+00,-1.89E-01,-5.31E+00,5.47E+00
1.33,2.13E+00,-5.26E-01,-4.02E+00,4.58E+00
1.34,3.35E+00,-2.59E-01,-2.59E+00,4.24E+00
1.35,4.49E+00,2.95E-01,-1.83E+00,4.85E+00
1.36,5.19E+00,8.65E-01,-1.38E+00,5.44E+00
1.37,5.61E+00,1.31E+00,-9.06E-01,5.84E+00
1.38,5.93E+00,1.66E+00,-3.78E-01,6.17E+00
