"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.927833310E-3,-2.145627013E-1,-2.016149193E-1,-2.935711563E-2,2.958843840E-1
1.687483327E-2,3.063831367E-2,4.324425280E-2,-1.228345057E-1,1.337799965E-1
2.682083333E-2,2.949141155E-1,2.534785527E-1,-2.593991509E-1,4.674544167E-1
3.676783328E-2,5.418458332E-1,2.854160446E-1,-3.864889678E-1,7.241774284E-1
4.671383335E-2,8.285668302E-1,2.859346926E-1,-4.522587419E-1,9.863161816E-1
5.666083330E-2,1.070271722E0,2.188033944E-1,-4.647197431E-1,1.187148231E0
6.660683325E-2,1.155330656E0,9.090724647E-2,-4.243309781E-1,1.234143359E0
7.655383332E-2,1.057297043E0,-4.803136826E-2,-2.125480431E-1,1.079518744E0
8.649983327E-2,8.275190091E-1,-1.214250344E-1,7.857488394E-3,8.364170548E-1
9.644683334E-2,5.041019100E-1,-1.540068895E-1,8.773805559E-2,5.343545865E-1
1.063928333E-1,1.885213955E-1,-2.248219335E-1,-4.060394257E-2,2.961990859E-1
1.163388334E-1,2.460223295E-2,-2.980261499E-1,-2.608784965E-1,3.968405798E-1
1.262858333E-1,-8.471826106E-2,-3.245263159E-1,-4.467565119E-1,5.586464843E-1
1.362318333E-1,-2.037803625E-1,-3.156215912E-1,-5.725502935E-1,6.848045441E-1
1.461788333E-1,-2.561423980E-1,-2.557811862E-1,-5.035566571E-1,6.201630836E-1
1.561248333E-1,-2.275166228E-1,-1.708497941E-1,-2.513805717E-1,3.796651915E-1
1.660718333E-1,-9.896405183E-2,-8.708433688E-2,6.473744810E-3,1.319828574E-1
1.760178333E-1,1.449249941E-1,2.563419342E-3,9.234507680E-2,1.718645928E-1
1.859648332E-1,4.206508137E-1,8.664813459E-2,2.188817471E-2,4.300396475E-1
1.959108333E-1,7.022903609E-1,1.111900681E-1,-1.107953811E-1,7.196183702E-1
2.058578333E-1,8.905302130E-1,1.052305859E-1,-2.223652259E-1,9.238851823E-1
2.158038333E-1,9.910983753E-1,5.621747017E-2,-2.701922339E-1,1.028805247E0
2.257508333E-1,9.628437522E-1,-5.249045491E-2,-3.157929146E-1,1.014666696E0
2.356968333E-1,8.831178439E-1,-1.143873256E-1,-2.788934755E-1,9.331469108E-1
2.456438333E-1,7.701572388E-1,-1.543881279E-1,-2.317807049E-1,8.189628574E-1
2.555898333E-1,6.440278271E-1,-1.557914597E-1,-1.954490304E-1,6.908278689E-1
2.655358333E-1,5.913032643E-1,-1.511850232E-1,-9.997364670E-2,6.184587226E-1
2.754828333E-1,5.927097389E-1,-1.579531753E-1,-2.152652442E-2,6.137731107E-1
2.854288333E-1,5.286499831E-1,-1.249585068E-1,3.065870583E-2,5.440821531E-1
2.953758333E-1,4.829864448E-1,-9.698074937E-2,1.221717238E-2,4.927782777E-1
3.053218334E-1,4.676708329E-1,-3.275727153E-2,-6.300667226E-2,4.730315925E-1
3.152688333E-1,5.903305800E-1,1.084798837E-1,-1.439183959E-1,6.172281454E-1
3.252148333E-1,6.265762272E-1,2.353217787E-1,-2.277519733E-1,7.069972202E-1
3.351618333E-1,6.023898044E-1,2.928887862E-1,-2.764996254E-1,7.246442992E-1
3.451078333E-1,4.923697641E-1,2.840168059E-1,-3.100515336E-1,6.474762422E-1
3.550548333E-1,4.213689248E-1,2.606571794E-1,-3.129257324E-1,5.860174485E-1
3.650008333E-1,3.825090605E-1,2.155178440E-1,-2.585755706E-1,5.095315968E-1
