"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.977125183E-3,2.884343481E0,8.472948772E0,-1.248397206E0,9.037078830E0
1.192312501E-2,2.164208295E0,7.057874052E0,-1.399012711E0,7.513628966E0
2.187012509E-2,1.655779007E0,5.624426796E0,-3.473325035E-1,5.873365370E0
3.181612492E-2,1.912369886E0,1.812642699E0,6.763263845E-1,2.720339963E0
4.176212521E-2,2.417710821E0,-1.897822598E0,1.064263415E0,3.252647052E0
5.170912528E-2,2.264159430E0,-3.445758337E0,7.376087129E-1,4.188524209E0
6.165512512E-2,1.020664090E0,-4.053729016E0,4.916640052E-1,4.209062558E0
7.160212519E-2,9.773986414E-2,-3.557262985E0,5.262543789E-1,3.597306867E0
8.154812502E-2,-9.441510808E-1,-3.612772357E0,7.581096357E-1,3.810285500E0
9.149512509E-2,-1.605549670E0,-1.541145952E0,1.127647818E0,2.494896829E0
1.014411249E-1,-1.522030819E0,-1.135481333E0,5.320135939E-1,1.972038066E0
1.113881250E-1,-1.147886347E0,-2.766289074E0,-2.226396064E-1,3.003259346E0
1.213341253E-1,-1.386908390E-1,-3.235286640E0,-5.470112635E-1,3.284133998E0
1.312811249E-1,1.120653671E0,-3.155786726E0,-8.235426101E-1,3.448634069E0
1.412271252E-1,1.873760429E0,-4.826897571E0,-1.092146448E0,5.291757947E0
1.511741253E-1,3.538286431E0,-3.562627805E0,-9.495846060E-1,5.110136855E0
1.611201251E-1,4.593119457E0,-3.466375034E0,-1.086220880E0,5.855969435E0
1.710671252E-1,5.053876542E0,-3.457187304E0,-1.258769875E0,6.251264973E0
1.810131250E-1,4.144142173E0,-3.138311738E0,-1.192242740E0,5.333325198E0
1.909601251E-1,2.744226944E0,-2.532934299E0,-8.230903280E-1,3.824135899E0
2.009061249E-1,1.599587264E0,-2.509660626E0,-3.557994179E-1,2.997276947E0
2.108531250E-1,5.986908558E-1,-3.053051732E0,-1.722589731E-2,3.111246109E0
2.207991253E-1,-4.129730541E-1,-3.213128031E0,-6.582561493E-2,3.240227076E0
