"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.616041573E-3,8.395771372E-1,-1.725604556E0,-2.682743472E0,3.298441054E0
1.256304164E-2,2.537321757E-1,-1.192443153E0,-2.605236874E0,2.876379645E0
2.250904159E-2,1.241374116E-1,-9.239887118E-1,-2.181741609E0,2.372585444E0
3.245504166E-2,3.055157022E-1,-7.629429442E-1,-1.658247847E0,1.850731667E0
4.240204161E-2,7.637000124E-1,-6.167607987E-1,-1.296699885E0,1.626364715E0
5.234804167E-2,1.155017611E0,-4.400275362E-1,-1.041130661E0,1.616057848E0
6.229404162E-2,1.317076263E0,-2.448176569E-1,-6.028315616E-1,1.469023981E0
7.224104158E-2,1.470667123E0,-6.258041024E-2,-1.426545203E-1,1.478894319E0
8.218704164E-2,1.787563699E0,2.193974715E-1,1.648777404E-1,1.808508750E0
9.213304159E-2,1.814341754E0,4.454040509E-1,2.175351334E-1,1.880835533E0
1.020790417E-1,1.476433500E0,6.171519774E-1,-3.468509853E-2,1.600604730E0
1.120260416E-1,1.110731823E0,6.084501511E-1,-7.537916131E-1,1.473817684E0
1.219720417E-1,8.275678334E-1,1.464990646E-1,-1.287070106E0,1.537166208E0
1.319180416E-1,6.730586681E-1,-2.774597383E-1,-1.847776864E0,1.986018937E0
1.418650416E-1,4.972391792E-1,-5.860985845E-1,-2.366624283E0,2.488306421E0
1.518110416E-1,1.641140941E-1,-8.329376239E-1,-2.631920058E0,2.765451448E0
1.617570416E-1,4.839097202E-2,-9.832870799E-1,-3.005002822E0,3.162157037E0
1.717040417E-1,-5.071845621E-2,-1.182619246E0,-3.210899073E0,3.422138732E0
1.816500416E-1,-1.986231914E-1,-1.129948697E0,-3.131803787E0,3.335330597E0
1.915960417E-1,-2.893515131E-1,-9.311433649E-1,-2.760523134E0,2.927668055E0
2.015430416E-1,-3.676898772E-1,-6.659300351E-1,-2.387903031E0,2.506140368E0
2.114890416E-1,-4.717499967E-1,-3.383579046E-1,-1.955365047E0,2.039727090E0
2.214350416E-1,-4.641000845E-1,-1.683109331E-1,-1.562137017E0,1.638288595E0
2.313810416E-1,-2.443386237E-1,6.349842310E-2,-1.307770711E0,1.331915030E0
2.413280417E-1,6.225208908E-2,3.611649692E-1,-9.699349630E-1,1.036865126E0
2.512740416E-1,3.281650382E-1,5.995366555E-1,-5.837569208E-1,8.988373803E-1
2.612200417E-1,5.290734677E-1,7.073242289E-1,-3.732459015E-1,9.589258584E-1
2.711670416E-1,6.039016020E-1,8.493840873E-1,-2.617880309E-1,1.074561979E0
2.811130416E-1,6.236270379E-1,1.017989720E0,-3.067117502E-1,1.232593141E0
2.910590416E-1,6.809173259E-1,1.133085728E0,-4.704887523E-1,1.403171885E0
3.010060416E-1,6.865948261E-1,1.157528259E0,-6.871507502E-1,1.511112266E0
3.109520416E-1,5.503747281E-1,1.070718741E0,-7.862511152E-1,1.437894913E0
3.208980416E-1,2.570310286E-1,8.766584247E-1,-6.744722325E-1,1.135564941E0
3.308440417E-1,-1.075656715E-1,6.747306794E-1,-4.416888763E-1,8.135852302E-1
