"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.043875003E-3,-3.452669746E-1,-4.360467517E-1,-2.057050467E-1,5.930097973E-1
1.099087496E-2,-8.740227923E-1,-2.306831825E-1,-1.233785892E-1,9.123337374E-1
2.093687491E-2,-1.636819556E0,1.833102107E-2,-1.911367089E-1,1.648043545E0
3.088287497E-2,-2.313901401E0,1.860613257E-1,-3.289093888E-1,2.344555373E0
4.082887492E-2,-2.781904940E0,3.005673498E-1,-2.162177557E-1,2.806436521E0
5.077487498E-2,-2.837647032E0,2.106897980E-1,2.636591399E-1,2.857647111E0
6.072087493E-2,-2.494022248E0,-2.078106290E-1,7.087924647E-1,2.601099573E0
7.066787500E-2,-2.276436828E0,-5.839625967E-1,9.756780982E-1,2.544626633E0
8.061387495E-2,-2.039973673E0,-8.289632714E-1,1.274433981E0,2.544180549E0
9.055987501E-2,-1.451434753E0,-9.239933896E-1,1.346778949E0,2.185003470E0
1.005058750E-1,-6.587443918E-1,-8.836411697E-1,1.153825510E0,1.595643819E0
1.104518749E-1,-1.388959301E-1,-8.362933409E-1,7.923117542E-1,1.160360525E0
1.203978750E-1,4.325653195E-1,-6.179863751E-1,5.651667219E-1,9.425674188E-1
1.303448749E-1,9.140352890E-1,-4.109487480E-1,3.004205847E-1,1.046227466E0
1.402908750E-1,1.071730894E0,-1.481380391E-1,-3.244619966E-3,1.081925375E0
1.502368749E-1,1.183567665E0,1.551412493E-1,-1.188721400E-1,1.199596520E0
1.601828750E-1,1.056782195E0,2.964064711E-1,-3.234387338E-2,1.098039858E0
1.701288749E-1,5.570759296E-1,2.788192159E-1,-1.394268572E-2,6.231116634E-1
1.800758749E-1,7.186169565E-2,2.431395060E-1,-7.531798482E-3,2.536486757E-1
1.900218750E-1,-3.997551307E-1,9.299821079E-2,1.095089936E-1,4.247882430E-1
1.999678749E-1,-7.651651785E-1,-2.366081661E-1,2.595137563E-1,8.419076935E-1
2.099138750E-1,-1.020775041E0,-5.383554840E-1,3.339511505E-1,1.201387399E0
2.198599583E-1,-1.142457061E0,-9.315789825E-1,3.599522567E-1,1.517436379E0
2.298059583E-1,-1.184112917E0,-1.183549538E0,3.255870008E-1,1.705555571E0
2.397529583E-1,-1.181051315E0,-1.280412174E0,2.658816665E-1,1.762109703E0
2.496989582E-1,-1.155986348E0,-1.244816079E0,1.738418144E-1,1.707657016E0
2.596449583E-1,-1.126618708E0,-1.122203475E0,-3.494237602E-2,1.590544348E0
2.695909583E-1,-1.058836907E0,-9.244243294E-1,-2.072533894E-1,1.420791999E0
2.795369583E-1,-9.457783610E-1,-6.510892171E-1,-2.738356340E-1,1.180423581E0
2.894839583E-1,-8.172053978E-1,-4.228548485E-1,-2.640421325E-1,9.572612667E-1
2.994299583E-1,-7.557005829E-1,-2.267211092E-1,-3.001954669E-1,8.441582497E-1
3.093759583E-1,-7.187508577E-1,8.145639181E-2,-3.172523797E-1,7.898651857E-1
3.193219583E-1,-5.888812745E-1,2.290067858E-1,-3.628834659E-1,7.286354872E-1
3.292679583E-1,-4.633029628E-1,8.710480213E-2,-4.338712952E-1,6.406880541E-1
3.392139582E-1,-4.157884884E-1,-4.116030514E-2,-3.351659095E-1,5.356402008E-1
3.491609583E-1,-4.585158473E-1,-8.723987281E-2,-1.678232753E-1,4.959961990E-1
3.591069583E-1,-5.515131810E-1,-1.165016788E-1,-1.477948076E-1,5.827372780E-1
3.690529583E-1,-5.748543888E-1,-2.645689666E-1,-2.340146336E-1,6.746978251E-1
3.789989583E-1,-6.621056637E-1,-4.697343153E-1,-3.711464587E-1,8.926275431E-1
3.889449583E-1,-7.216633558E-1,-6.408875799E-1,-5.320393217E-1,1.102089256E0
3.988919583E-1,-7.790049532E-1,-6.850439984E-1,-6.305771846E-1,1.213985825E0
4.088379582E-1,-9.148790422E-1,-6.198452049E-1,-7.265329170E-1,1.322521009E0
4.187839583E-1,-1.016087913E0,-4.300510168E-1,-8.565413716E-1,1.396796924E0
4.287299583E-1,-1.066547922E0,-1.337854636E-1,-9.811610323E-1,1.455369366E0
4.386759583E-1,-1.000146942E0,1.785803980E-1,-1.066393264E0,1.472881345E0
4.486219583E-1,-8.411810285E-1,4.234647131E-1,-1.144866114E0,1.482439309E0
4.585689583E-1,-5.930164254E-1,6.229015446E-1,-1.156233686E0,1.441024341E0
4.685149583E-1,-3.157698181E-1,7.781474590E-1,-1.132317989E0,1.409740428E0
4.784609583E-1,-5.950243592E-2,9.451199645E-1,-1.204447487E0,1.532150788E0
4.884069583E-1,1.782161164E-1,1.115651085E0,-1.384040330E0,1.786618584E0
4.983529582E-1,4.220420855E-1,1.131761919E0,-1.588192357E0,1.995334439E0
5.082989583E-1,6.343290505E-1,9.644607997E-1,-1.626129969E0,1.994205770E0
5.182459583E-1,8.145826292E-1,6.473469990E-1,-1.560284766E0,1.875391038E0
5.281919583E-1,9.412052536E-1,2.077235055E-1,-1.521775880E0,1.801337896E0
5.381379583E-1,9.576245275E-1,-2.234162629E-1,-1.458383877E0,1.758932373E0
5.480839583E-1,8.443493423E-1,-5.284099549E-1,-1.351051509E0,1.678535991E0
5.580299583E-1,6.824571902E-1,-7.658525187E-1,-1.292612974E0,1.650189746E0
5.679759583E-1,4.042183104E-1,-9.467109919E-1,-1.330085440E0,1.681898161E0
5.779229583E-1,1.310556909E-1,-1.064400825E0,-1.399877222E0,1.763457101E0
5.878689582E-1,-1.570605978E-1,-1.068588016E0,-1.324089705E0,1.708731087E0
5.978149583E-1,-3.736394191E-1,-1.121223482E0,-1.177083687E0,1.668015143E0
6.077609583E-1,-5.369486439E-1,-1.062454872E0,-9.424211821E-1,1.518315476E0
6.177069583E-1,-5.767716908E-1,-9.180882865E-1,-8.787850571E-1,1.395641380E0
6.276539583E-1,-6.356338567E-1,-7.927374315E-1,-8.952739128E-1,1.354244592E0
6.375999583E-1,-5.917142504E-1,-7.525272989E-1,-8.548749152E-1,1.283446224E0
6.475459583E-1,-4.664347315E-1,-6.365571320E-1,-7.323473883E-1,1.076614619E0
6.574919582E-1,-3.258220589E-1,-5.159056842E-1,-6.067184982E-1,8.604801131E-1
6.674379583E-1,-6.243773818E-2,-5.573267752E-1,-4.883673450E-1,7.436492918E-1
6.773849583E-1,1.264097857E-1,-6.171817982E-1,-3.645312113E-1,7.278569983E-1
6.873309583E-1,3.311114502E-1,-6.332037538E-1,-3.576072308E-1,7.990398725E-1
6.972769583E-1,7.361434007E-1,-7.663202959E-1,-4.788366759E-1,1.165520684E0
7.072229583E-1,1.128617871E0,-1.060857997E0,-5.935938379E-1,1.658780164E0
7.171689583E-1,1.458895508E0,-1.299945382E0,-8.477082753E-1,2.129986718E0
7.271149583E-1,1.787096214E0,-1.618109343E0,-9.855563843E-1,2.604479240E0
7.370619583E-1,2.007829775E0,-2.017077146E0,-1.015634754E0,3.021836291E0
7.470079582E-1,2.201184332E0,-2.398634280E0,-1.068283961E0,3.426352214E0
7.569539583E-1,2.472190499E0,-2.788252385E0,-1.001356584E0,3.858599776E0
7.668999583E-1,2.864488383E0,-3.200869929E0,-8.092217557E-1,4.371006960E0
7.768459583E-1,3.185685879E0,-3.607956591E0,-4.070490937E-1,4.830283040E0
7.867919583E-1,3.437206199E0,-3.895101657E0,-2.261046664E-1,5.199742945E0
7.967389583E-1,3.622420263E0,-4.070272543E0,-1.663918038E-1,5.451305658E0
8.066849583E-1,3.840979829E0,-4.252585804E0,-1.322101506E-1,5.731936112E0
8.166309583E-1,4.095956438E0,-4.459905267E0,-1.880500368E-1,6.058298189E0
8.265769583E-1,4.212369239E0,-4.592847562E0,-1.060100198E-1,6.232940033E0
8.365229582E-1,4.301255688E0,-4.580703480E0,-7.205173016E-2,6.284014347E0
8.464699583E-1,4.268889011E0,-4.259248121E0,-3.202402155E-2,6.030392482E0
8.564159583E-1,4.251225742E0,-3.799748772E0,-1.023960751E-2,5.701851970E0
8.663619583E-1,4.194220067E0,-3.210773942E0,-9.788476545E-2,5.283004136E0
8.763079583E-1,3.855092084E0,-2.191520054E0,-1.776859201E-2,4.434502322E0
8.862539583E-1,3.238977402E0,-1.169237309E0,1.531479335E-1,3.446961675E0
8.961999583E-1,2.451386690E-2,-3.953401905E-1,7.435829593E-1,8.425024708E-1
9.061469582E-1,-3.131356475E0,6.417319179E-3,-1.623771787E-2,3.131405151E0
9.160929583E-1,-3.440862463E0,2.600315273E-1,-3.325729617E-1,3.466663477E0
9.260389582E-1,-2.257577804E0,5.591674787E-1,4.107999364E-1,2.361796434E0
9.359849583E-1,-1.849776027E0,1.132910897E0,8.352238852E-1,2.324383228E0
