"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.463748679E-4,8.520057449E0,4.578475106E-1,-5.140521169E0,9.961222875E0
9.700625204E-3,8.721510401E0,4.632521285E-1,-5.054180598E0,1.009079222E1
1.964662503E-2,8.987350552E0,4.953541830E-1,-4.838441729E0,1.021901972E1
2.959262487E-2,9.096284180E0,5.289888293E-1,-4.858048612E0,1.032583417E1
3.953862516E-2,9.049000670E0,5.712644908E-1,-4.954076850E0,1.033216500E1
4.948562523E-2,8.870614985E0,5.153206703E-1,-4.948684548E0,1.017068554E1
5.943162506E-2,8.683527473E0,2.433257398E-1,-4.515547079E0,9.790455669E0
6.937762490E-2,8.490523163E0,8.291629538E-1,-4.604639057E0,9.694286752E0
7.932462497E-2,5.287555254E0,1.483928374E1,-7.870760404E0,1.760998159E1
8.927062526E-2,-4.688201031E0,2.862170430E1,-8.876938164E0,3.033119215E1
9.921662509E-2,-2.083499528E1,2.862207969E0,3.701839251E1,4.257523514E1
1.091626249E-1,-2.670344100E1,-1.610207416E1,1.081752297E2,1.125798866E2
1.191096250E-1,-1.705669292E1,-1.829592725E1,8.989383044E1,9.330901607E1
1.290556248E-1,-1.501584275E1,-1.848056127E1,3.474828822E1,4.212422359E1
1.390016251E-1,-2.110195108E1,-2.235771549E1,2.633966701E1,4.048379724E1
1.489476250E-1,-2.250308194E1,-2.558586034E1,2.352685690E1,4.140697938E1
1.588946250E-1,-2.106332437E1,-2.166214942E1,1.050729450E1,3.198930429E1
1.688406249E-1,-1.738625135E1,-1.499247026E1,1.002502785E0,2.297957599E1
1.787866252E-1,-1.199179730E1,-9.337959543E0,-3.593754873E0,1.561780283E1
1.887336252E-1,-7.190674260E0,-5.606633134E0,-4.758981577E0,1.028533116E1
1.986796251E-1,-3.639643822E0,-3.554255762E0,-4.344584141E0,6.689929187E0
2.086256249E-1,-1.011729983E0,-2.126902328E0,-3.124439219E0,3.912726863E0
2.185716252E-1,2.627598381E-1,-7.720607999E-1,-2.359849114E0,2.496799642E0
2.285186253E-1,8.350484687E-1,6.020997825E-1,-2.500098090E0,2.703760446E0
2.384646251E-1,8.185458720E-1,2.375617593E0,-2.592910359E0,3.610645430E0
2.484106249E-1,1.034377711E0,4.110199671E0,-3.531486120E0,5.516799144E0
2.583576250E-1,1.786997689E0,5.361671636E0,-4.237458472E0,7.063776452E0
2.683036248E-1,2.289603881E0,5.501210175E0,-5.291767003E0,7.969215603E0
2.782496251E-1,1.920824960E0,5.474308305E0,-6.870188954E0,8.992058508E0
2.881956249E-1,1.816591909E0,5.084936952E0,-8.457896284E0,1.003457022E1
2.981426250E-1,2.320573074E0,4.282025365E0,-9.455199725E0,1.063586397E1
3.080886248E-1,3.010900909E0,3.301805150E0,-9.689377204E0,1.067012053E1
3.180346251E-1,3.674419552E0,2.529621266E0,-9.738621869E0,1.071172716E1
3.279816252E-1,4.314007296E0,2.139783744E0,-9.683976715E0,1.081520866E1
3.379276250E-1,4.728050390E0,1.946100280E0,-9.183269114E0,1.051067069E1
3.478736249E-1,5.221019202E0,1.702351933E0,-8.623369564E0,1.022348014E1
3.578196252E-1,5.647477105E0,1.621120221E0,-8.346324978E0,1.020701568E1
3.677666252E-1,5.979733440E0,1.598413289E0,-8.357615951E0,1.040009045E1
3.777126251E-1,6.216181977E0,1.560797128E0,-8.144991310E0,1.036426020E1
3.876586249E-1,6.493131838E0,1.660696954E0,-7.856640548E0,1.032692966E1
3.976046252E-1,6.668094563E0,1.796745143E0,-7.530765279E0,1.021783754E1
4.075524583E-1,6.876157792E0,1.686550710E0,-7.198251666E0,1.009657498E1
4.174984582E-1,7.142185054E0,1.567606064E0,-7.034457707E0,1.014651622E1
4.274444585E-1,7.441978818E0,1.635923178E0,-6.864197897E0,1.025555977E1
4.373914585E-1,7.734667629E0,1.659884775E0,-6.733827792E0,1.038868315E1
4.473374584E-1,7.972626502E0,1.697245267E0,-6.614072138E0,1.049711223E1
4.572834582E-1,8.203838857E0,1.729012898E0,-6.405216027E0,1.055079381E1
4.672294585E-1,8.381418212E0,1.750886600E0,-6.188388407E0,1.056455992E1
4.771764586E-1,8.579842891E0,1.792675920E0,-6.001703768E0,1.062298635E1
4.871224584E-1,8.774876184E0,1.849905543E0,-5.827926857E0,1.069510795E1
4.970684582E-1,8.970588339E0,1.894294388E0,-5.685564113E0,1.078820864E1
5.070154583E-1,9.102956437E0,1.945692583E0,-5.512968925E0,1.081861183E1
5.169614581E-1,9.195241288E0,2.046769307E0,-5.300235525E0,1.080898809E1
5.269074584E-1,9.239938574E0,2.114302309E0,-5.112795426E0,1.076974541E1
5.368534583E-1,9.288841762E0,2.181210975E0,-4.898638522E0,1.072552665E1
5.468004583E-1,9.254968257E0,2.257606455E0,-4.696474257E0,1.062111552E1
5.567464582E-1,9.107021422E0,2.312484328E0,-4.491956779E0,1.041456186E1
5.666924585E-1,8.942968431E0,2.374361318E0,-4.269250953E0,1.019022962E1
5.766384583E-1,8.708430764E0,2.515627710E0,-4.088529305E0,9.943903711E0
5.865854584E-1,8.530417546E0,3.423035764E0,-4.614282870E0,1.028478506E1
5.965314582E-1,-1.845287704E0,3.466753349E0,1.877512879E0,4.352989790E0
6.064774585E-1,-3.079534357E1,4.101146427E0,1.682364864E1,3.532998359E1
6.164244586E-1,-3.287822937E1,-1.505980504E0,4.483119648E1,5.561548455E1
6.263704584E-1,-2.392658192E1,-2.404630717E1,1.327865533E2,1.370509940E2
6.363164582E-1,-2.875166217E1,-3.083577355E1,7.148795566E1,8.299416131E1
6.462624585E-1,-3.266758460E1,-2.707415447E1,2.537305209E1,4.943655223E1
6.562094586E-1,-2.324870485E1,-1.931077351E1,8.801999078E0,3.147830107E1
6.661554584E-1,-1.024765357E1,-1.027009401E1,7.387840033E-2,1.450843522E1
6.761014583E-1,-5.411355427E0,-7.562091152E0,-6.001754054E0,1.106747676E1
6.860484583E-1,-2.382519938E0,-5.999259632E0,-8.565614276E0,1.072554266E1
6.959944582E-1,-1.855532026E-1,-3.881427358E0,-6.368119537E0,7.460084099E0
7.059404585E-1,1.075062053E0,-2.431682450E0,-3.670227683E0,4.532042498E0
7.158864583E-1,1.396132665E0,-1.441777492E0,-2.683455663E0,3.350946590E0
7.258334584E-1,1.589879863E0,-1.695499581E-1,-3.152905219E0,3.535148722E0
7.357794582E-1,8.197237936E-1,1.989517611E0,-3.759773113E0,4.331976602E0
7.457254585E-1,2.117323565E-1,3.694198636E0,-3.845862839E0,5.336908761E0
7.556714583E-1,1.773358181E-1,4.718892189E0,-4.569610727E0,6.571204888E0
7.656184584E-1,1.549921453E-2,5.123316321E0,-5.903416166E0,7.816580632E0
7.755644582E-1,-1.525278363E-1,5.023763382E0,-6.829839073E0,8.479868220E0
