"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.110499984E-3,1.993650569E0,3.525076402E0,-1.133082220E0,4.205315868E0
1.405649993E-2,2.148405317E0,3.472558465E0,-2.197063800E0,4.636959892E0
2.400350000E-2,2.448020740E0,3.046136230E0,-2.997775079E0,4.925282419E0
3.394949995E-2,2.534261324E0,2.286995730E0,-3.077044027E0,4.595762165E0
4.389550001E-2,2.294112084E0,1.330450307E0,-2.999577776E0,4.003812571E0
5.384249997E-2,1.796771894E0,6.065369421E-1,-2.496835928E0,3.135357389E0
6.378849992E-2,1.496240213E0,1.135599446E-1,-1.914929212E0,2.432814116E0
7.373449998E-2,1.312215180E0,-4.274308795E-1,-9.428746337E-1,1.671412100E0
8.368049993E-2,1.005533689E0,-1.053842508E0,-1.254432410E-1,1.461991121E0
9.362750000E-2,5.970378479E-1,-1.337104438E0,4.450859624E-1,1.530491419E0
1.035734999E-1,2.404933485E-1,-1.204635767E0,7.786684459E-1,1.454410166E0
1.135195000E-1,-1.009428227E-1,-7.300617117E-1,1.029677135E0,1.266260067E0
1.234665000E-1,-4.228375992E-1,-1.219559616E-1,1.145734425E0,1.227343581E0
1.334124999E-1,-5.938897070E-1,5.014712477E-1,1.128246573E0,1.370079824E0
1.433585000E-1,-4.558968794E-1,1.134547532E0,1.097489049E0,1.643022300E0
1.533044999E-1,-1.248775229E-1,1.710286605E0,1.073618960E0,2.023198541E0
1.632515000E-1,2.446211904E-1,2.065457593E0,1.026663480E0,2.319481084E0
1.731974999E-1,5.940423194E-1,2.219186155E0,8.843404967E-1,2.461652206E0
1.831435000E-1,9.434660795E-1,2.396403567E0,6.167029113E-1,2.648244849E0
1.930905000E-1,1.366937517E0,2.257056817E0,2.829397488E-1,2.653842224E0
2.030364999E-1,1.667028611E0,2.000831827E0,-5.577132761E-2,2.604884418E0
2.129825000E-1,1.944908764E0,1.787040081E0,-3.138557321E-1,2.659828523E0
2.229288750E-1,2.276438875E0,1.451423936E0,-4.888254744E-1,2.743675589E0
2.328758750E-1,2.643389956E0,1.036739402E0,-5.463147140E-1,2.891504594E0
2.428218749E-1,2.956141149E0,4.992019433E-1,-5.272206312E-1,3.043999781E0
2.527678750E-1,2.896131760E0,1.600874090E-1,-4.303960025E-1,2.932311011E0
2.627148749E-1,2.699510363E0,-6.502279222E-2,-3.250367779E-1,2.719785482E0
2.726608750E-1,2.525818822E0,-4.531960505E-1,-2.299961346E-1,2.576440491E0
2.826068749E-1,2.122331998E0,-6.739383817E-1,-1.455816364E-1,2.231519676E0
2.925538750E-1,1.406993868E0,-6.424166268E-1,-1.734488815E-1,1.556411058E0
3.024998750E-1,6.763331088E-1,-6.537064308E-1,-1.154953730E-1,9.476801955E-1
3.124458749E-1,4.118486345E-3,-4.527119011E-1,1.586565953E-1,4.797259036E-1
3.223918750E-1,-7.781728944E-1,-3.063911766E-1,3.568298435E-1,9.092613177E-1
3.323388749E-1,-1.662542920E0,-2.592187643E-1,5.318913871E-1,1.764695944E0
3.422848750E-1,-2.437401612E0,-2.934401786E-1,6.277254975E-1,2.533983634E0
3.522308749E-1,-2.975407140E0,-4.454578453E-1,7.233999789E-1,3.094315412E0
3.621778750E-1,-3.118121010E0,-5.632710546E-1,8.676554668E-1,3.285236509E0
3.721238750E-1,-2.941761677E0,-6.681893992E-1,9.294839251E-1,3.156640493E0
3.820698750E-1,-2.448747842E0,-6.617638940E-1,8.896456754E-1,2.688078658E0
3.920158750E-1,-1.754928342E0,-5.469818813E-1,7.975812650E-1,2.003771079E0
4.019628749E-1,-1.121155362E0,-3.925996006E-1,5.888380051E-1,1.325840861E0
4.119088750E-1,-5.963022682E-1,-2.510010874E-1,3.604434228E-1,7.406061045E-1
4.218548749E-1,-2.142150843E-1,-7.394096553E-2,1.374996150E-1,2.650688832E-1
4.318018750E-1,7.362170756E-2,1.247386515E-2,-2.588153064E-2,7.902915136E-2
4.417478750E-1,1.880496714E-1,4.104453027E-2,-2.519571072E-1,3.170642147E-1
4.516938750E-1,2.836560327E-1,1.563837826E-2,-3.647042888E-1,4.622926801E-1
4.616398750E-1,3.330264133E-1,-6.125777006E-2,-3.291421080E-1,4.722220173E-1
4.715868749E-1,2.967532110E-1,-1.295947641E-1,-2.835519522E-1,4.304172171E-1
4.815328750E-1,1.876403663E-1,-1.276102191E-1,-3.198245698E-1,3.921492452E-1
4.914788749E-1,5.886450469E-2,-1.308788127E-1,-3.730927044E-1,3.997404903E-1
5.014258750E-1,-1.568398654E-1,-1.274839193E-1,-4.009488398E-1,4.490109856E-1
5.113718749E-1,-3.064829779E-1,-1.263554066E-1,-4.559477502E-1,5.637249821E-1
5.213178750E-1,-4.277559847E-1,-1.107293075E-1,-5.311657476E-1,6.909220024E-1
5.312648750E-1,-6.140839434E-1,-8.197153151E-2,-5.283824730E-1,8.142520858E-1
5.412108749E-1,-8.633624411E-1,-4.136261880E-2,-5.272492826E-1,1.012470926E0
5.511568750E-1,-1.120049069E0,-7.076651216E-2,-5.040042615E-1,1.230259367E0
5.611028749E-1,-1.448291582E0,-1.486976177E-1,-6.083747220E-1,1.577903448E0
5.710498750E-1,-1.904851536E0,-1.222214252E-1,-7.674125558E-1,2.057260188E0
5.809958749E-1,-1.950672657E0,-6.193908763E-1,-9.000917262E-1,2.235829597E0
5.909418750E-1,-2.329600298E0,-1.199965011E0,-1.390309423E0,2.966464877E0
6.008888750E-1,-2.892540985E0,-1.428144416E0,-2.047071608E0,3.820587912E0
6.108348749E-1,-3.083393519E0,-1.838004413E0,-2.486872272E0,4.366933651E0
6.207808750E-1,-2.954144325E0,-2.113620524E0,-2.554699974E0,4.440816633E0
6.307268749E-1,-2.297346472E0,-2.058664298E0,-2.162732458E0,3.767401118E0
6.406738750E-1,-1.411459386E0,-1.748321573E0,-1.486219547E0,2.694010851E0
6.506198749E-1,-5.886403692E-1,-1.278641052E0,-5.588183999E-1,1.514496097E0
6.605658750E-1,9.954826176E-2,-1.058388133E0,-7.810535252E-2,1.065924830E0
6.705128750E-1,7.572249520E-1,-1.049696832E0,2.537656510E-1,1.318957949E0
6.804588749E-1,1.272973931E0,-1.075571346E0,4.589959037E-1,1.728581380E0
6.904048750E-1,1.636424577E0,-1.174124411E0,3.220511895E-1,2.039649602E0
7.003508749E-1,1.546624793E0,-9.421741372E-1,-7.831854200E-1,1.973099024E0
7.102978750E-1,1.218369123E0,-6.526726431E-1,-1.958888580E0,2.397425570E0
7.202438749E-1,9.384558928E-1,-6.232599789E-1,-2.459418426E0,2.705160153E0
7.301898750E-1,4.938055480E-1,-7.631633842E-1,-2.675622148E0,2.825812476E0
7.401368750E-1,-4.302965999E-3,-9.451240575E-1,-2.839164092E0,2.992345358E0
7.500828750E-1,-4.688151330E-1,-1.122643186E0,-2.746978059E0,3.004330842E0
7.600288750E-1,-8.279002476E-1,-1.272682155E0,-2.402314810E0,2.841875285E0
7.699758749E-1,-1.127211615E0,-1.432424578E0,-1.964935185E0,2.680189635E0
7.799218750E-1,-1.146931935E0,-1.592578061E0,-1.489937499E0,2.464076195E0
7.898678749E-1,-1.042547441E0,-1.766386546E0,-1.118308937E0,2.336159557E0
7.998138750E-1,-8.630700803E-1,-1.983597744E0,-7.932078400E-1,2.304067848E0
8.097608750E-1,-8.893088758E-1,-2.110357777E0,-5.577542067E-1,2.357025664E0
8.197068750E-1,-9.688772017E-1,-2.154770889E0,-5.133580524E-1,2.417704925E0
8.296528750E-1,-1.016766483E0,-2.080365654E0,-6.664609623E-1,2.409544677E0
8.395998749E-1,-9.956387383E-1,-2.006153378E0,-8.541907910E-1,2.396995991E0
8.495458750E-1,-1.098734506E0,-1.842659966E0,-8.885686183E-1,2.322104100E0
8.594918749E-1,-1.099229180E0,-1.790284116E0,-9.472843114E-1,2.304510702E0
8.694378750E-1,-9.687216657E-1,-1.801447036E0,-7.416289660E-1,2.175694512E0
8.793848749E-1,-7.835830307E-1,-1.975764229E0,-6.391360465E-1,2.219491279E0
8.893308750E-1,-4.628030258E-1,-2.240822607E0,-6.310437924E-1,2.373539312E0
8.992768750E-1,-5.436624169E-2,-2.377916425E0,-5.034207094E-1,2.431229036E0
9.092238749E-1,4.516284120E-1,-2.371536528E0,-2.331635714E-1,2.425390480E0
9.191698750E-1,1.321286550E0,-2.186929405E0,-2.466873041E-1,2.566965718E0
9.291158749E-1,2.232529501E0,-2.238443375E0,-4.339500864E-1,3.191101596E0
9.390618750E-1,3.106654912E0,-2.609839218E0,-4.655494630E-1,4.084030092E0
9.490088749E-1,3.984079322E0,-3.050753192E0,-6.110411985E-1,5.055032584E0
9.589548750E-1,4.649237525E0,-3.286736875E0,-8.311817050E-1,5.754034400E0
9.689008750E-1,5.118756663E0,-3.204027425E0,-1.004032416E0,6.121727093E0
9.788478749E-1,5.452022227E0,-3.231021096E0,-6.417235856E-1,6.369917805E0
9.887938750E-1,5.685065930E0,-3.338311656E0,-2.468039378E-1,6.597363984E0
9.987398749E-1,5.782447799E0,-3.303204389E0,-3.645633709E-1,6.669390394E0
1.008685875E0,5.719478549E0,-3.171616893E0,-5.346308442E-1,6.561815201E0
1.018632875E0,5.704603817E0,-3.108559350E0,-6.013160364E-1,6.524356437E0
1.028578875E0,5.942260389E0,-2.988190323E0,-7.024981564E-1,6.688291530E0
1.038524875E0,5.887938586E0,-2.436704916E0,-9.754028405E-1,6.446453470E0
1.048471875E0,5.616898506E0,-1.732945150E0,-1.699592632E0,6.118926608E0
1.058417875E0,4.495042355E0,-1.321301168E0,-2.561540632E0,5.339731544E0
1.068363875E0,4.104536642E0,-1.032943389E0,-2.573049706E0,4.953259319E0
1.078310875E0,4.023442778E0,-9.432956332E-1,-2.293687576E0,4.726404673E0
1.088256875E0,3.894404084E0,-9.141308910E-1,-1.718497557E0,4.353763006E0
1.098202875E0,3.684289067E0,-1.711184737E0,1.151884234E0,4.222437261E0
1.108148875E0,3.687729569E0,-1.937716396E0,1.459161264E0,4.413982986E0
1.118095875E0,3.449799932E0,-1.413377273E0,1.142857595E0,3.899343326E0
1.128041875E0,2.669106596E0,-1.426742839E0,2.254361250E0,3.773840192E0
1.137987875E0,9.863095057E-1,-1.822953095E0,4.575900577E0,5.023428164E0
1.147934875E0,-1.747267320E0,-1.803098874E0,9.841752720E0,1.015697815E1
1.157880875E0,-4.563880455E0,-1.643264065E0,2.309757070E1,2.360142144E1
1.167826875E0,-6.373159837E0,-1.058015665E0,2.958387533E1,3.028105419E1
1.177772875E0,-4.301873739E0,-3.421907544E-2,9.595331172E0,1.051559170E1
1.187719875E0,-2.623260916E0,5.846853125E-1,2.297492652E0,3.535792307E0
1.197665875E0,-1.175734735E0,1.045389773E0,1.826912245E0,2.410974967E0
1.207611875E0,-1.515723428E0,1.259917683E0,1.009677903E0,2.214556286E0
1.217558875E0,-2.145943932E0,1.957513314E0,4.548016959E-1,2.940030326E0
1.227505000E0,-2.504907424E0,2.779974482E0,9.662886393E-1,3.864781114E0
1.237451000E0,-2.638442627E0,2.898863579E0,2.141355037E0,4.466563661E0
1.247397000E0,-2.872982633E0,2.657284695E0,3.206708958E0,5.059463756E0
1.257344000E0,-2.829392810E0,2.612148283E0,4.225525475E0,5.716978910E0
1.267290000E0,-1.853357447E0,2.884208118E0,4.252831679E0,5.462615453E0
