"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.604212495E-2,1.829590854E-1,-2.342394590E-2,3.475354750E-2,1.876979415E-1
2.598912502E-2,1.086722571E-1,-3.084932506E-2,4.284254909E-3,1.130473138E-1
3.593512496E-2,6.133232206E-2,1.343690157E-2,-1.772174120E-2,6.524005031E-2
4.588212492E-2,2.926151365E-2,3.824956119E-2,-2.278480869E-2,5.327675496E-2
5.582812498E-2,2.191507190E-2,4.603337467E-2,-6.145829301E-2,7.985276288E-2
6.577512494E-2,4.508027852E-2,5.007964790E-2,-8.474488417E-2,1.082677147E-1
7.572212501E-2,5.172856271E-2,2.381746352E-2,-7.946015239E-2,9.776007153E-2
8.566812496E-2,3.371913850E-2,-1.372516930E-2,-8.329822820E-2,9.090630008E-2
9.561512491E-2,5.293221205E-2,-6.735583127E-2,-1.036675886E-1,1.344826978E-1
1.055611250E-1,9.994265646E-2,-7.711308002E-2,-1.315786878E-1,1.823401020E-1
1.155081249E-1,1.201430324E-1,-6.728332579E-2,-1.418019597E-1,1.976592774E-1
1.254541250E-1,1.213171533E-1,-5.088480949E-2,-1.403325909E-1,1.923547545E-1
1.354011249E-1,1.376659682E-1,-5.188760698E-2,-1.297514329E-1,1.961623739E-1
1.453471250E-1,1.538656792E-1,-4.084455550E-2,-1.087932579E-1,1.928183028E-1
1.552941250E-1,1.239466462E-1,-5.552048206E-2,-1.288662193E-1,1.872212528E-1
1.652401249E-1,7.263937533E-2,-5.037668645E-2,-1.292164493E-1,1.565604680E-1
1.751871250E-1,1.831406415E-2,-1.641079545E-2,-1.096733004E-1,1.123964055E-1
1.851331249E-1,-3.442548215E-3,-4.111177325E-3,-9.467111746E-2,9.482285272E-2
1.950801250E-1,-1.839972585E-2,3.742334962E-2,-6.133557457E-2,7.416946620E-2
2.050271250E-1,-1.522585720E-2,8.059626639E-2,-4.099601666E-2,9.169655536E-2
2.149731249E-1,-3.633050501E-2,9.038801372E-2,-4.690088220E-3,9.752894722E-2
2.249201250E-1,-6.102358907E-2,5.927439451E-2,-3.810164491E-2,9.321516836E-2
2.348661249E-1,-1.047958454E-1,2.819702804E-2,-8.685688019E-2,1.390012923E-1
2.448131250E-1,-5.424608141E-2,7.278029323E-3,-1.093668697E-1,1.222976666E-1
2.547591249E-1,3.608492196E-2,-5.107542872E-3,-9.356772959E-2,1.004147828E-1
2.647061250E-1,1.313638392E-1,-3.409803808E-2,-1.793224096E-2,1.368966753E-1
2.746521250E-1,1.919404086E-1,-4.778695464E-2,5.405398211E-2,2.050525457E-1
2.845991249E-1,2.083824867E-1,-1.536355913E-2,1.157549528E-1,2.388692295E-1
2.945451250E-1,1.303709820E-1,-3.293327272E-2,9.990322430E-2,1.675167085E-1
3.044921249E-1,1.721361816E-2,-1.578689754E-2,6.118643403E-2,6.549285834E-2
3.144381250E-1,-6.578146845E-2,2.735093594E-2,1.452861328E-2,7.270733039E-2
3.243851250E-1,-1.082378089E-1,3.635915637E-2,3.346244574E-2,1.189838090E-1
3.343311250E-1,-8.999858916E-2,4.064750433E-2,6.820484698E-2,1.200161106E-1
3.442781250E-1,-4.912976772E-2,4.387750626E-2,1.308180382E-1,1.464661351E-1
3.542251249E-1,-1.834768564E-2,8.934136212E-2,1.345736682E-1,1.625687200E-1
3.641711250E-1,4.251802862E-3,5.987958133E-2,1.574538231E-2,6.206093096E-2
3.741181249E-1,3.969674706E-3,2.782046735E-2,-2.817656279E-2,3.979516819E-2
3.840641250E-1,-3.880943209E-2,-3.201350570E-3,-2.322451930E-2,4.534091928E-2
3.940111250E-1,-8.210338622E-2,-4.458911240E-2,-5.206362644E-2,1.069568893E-1
4.039571249E-1,-4.908620596E-2,-3.426351428E-2,-1.422276918E-1,1.543118931E-1
4.139041250E-1,1.081442535E-3,-2.477055967E-2,-2.007887077E-1,2.023137546E-1
4.238501249E-1,6.446438313E-2,-2.855780125E-2,-1.990070611E-1,2.111279590E-1
4.337971250E-1,5.571753323E-2,-4.434177518E-2,-2.106488675E-1,2.223591282E-1
4.437431250E-1,6.873606652E-2,-8.678320527E-2,-1.718812064E-1,2.044483326E-1
4.536901249E-1,1.513224328E-1,-1.296684390E-1,-2.200710342E-1,2.968899507E-1
4.636361250E-1,1.976744807E-1,-1.540320325E-1,-2.387711060E-1,3.461397238E-1
4.735829167E-1,1.771431524E-1,-1.341626090E-1,-2.408672963E-1,3.277138332E-1
4.835299166E-1,1.430319580E-1,-1.022707254E-1,-1.981340901E-1,2.649048130E-1
4.934759167E-1,6.963098288E-2,-4.896399915E-2,-1.949783478E-1,2.127498604E-1
5.034229166E-1,-4.033321649E-2,5.816634715E-2,-1.125203097E-1,1.329319841E-1
5.133689166E-1,-1.446896437E-1,2.207481784E-1,-2.233402491E-2,2.648842387E-1
5.233159167E-1,-2.594257557E-1,3.208361381E-1,1.217179799E-1,4.301776574E-1
5.332619166E-1,-3.049024755E-1,2.982161844E-1,2.397580794E-1,4.892671549E-1
5.432089167E-1,-2.798568043E-1,2.067663163E-1,2.722627147E-1,4.418134519E-1
5.531549166E-1,-3.030240574E-1,1.286416680E-1,2.945803857E-1,4.417576958E-1
5.631019166E-1,-3.686996913E-1,1.355115616E-1,3.200029099E-1,5.066603478E-1
5.730479166E-1,-3.188390216E-1,2.106699175E-1,3.399781680E-1,5.114931970E-1
5.829949166E-1,-2.247617072E-1,2.382869017E-1,3.486764860E-1,4.784075297E-1
5.929409167E-1,-1.989038578E-1,2.340488398E-1,3.313044083E-1,4.517789449E-1
6.028879166E-1,-2.042713094E-1,1.896252036E-1,3.443144631E-1,4.429863826E-1
6.128339167E-1,-1.879084611E-1,2.061324781E-1,3.396220726E-1,4.394807623E-1
6.227809166E-1,-1.500743446E-1,2.638199383E-1,3.132645786E-1,4.361857001E-1
6.327279166E-1,-1.124668077E-1,3.544096810E-1,3.200836015E-1,4.906205425E-1
6.426739166E-1,-1.662623611E-1,4.711212748E-1,3.892070460E-1,6.333092080E-1
6.526209166E-1,-2.226061311E-1,5.088790852E-1,4.207182759E-1,6.967892656E-1
6.625669167E-1,-4.051453865E-1,3.234597838E-1,4.165287459E-1,6.650302339E-1
6.725139166E-1,-7.176352090E-1,1.832575858E-2,4.493234396E-1,8.468929566E-1
6.824599167E-1,-9.012906978E-1,-7.965077162E-2,4.453578579E-1,1.008470520E0
6.924069166E-1,-8.654045811E-1,7.975134373E-2,3.378451037E-1,9.324294504E-1
7.023529166E-1,-7.210906211E-1,2.980816984E-1,2.224163890E-1,8.113528411E-1
7.122999167E-1,-5.901264390E-1,4.221362257E-1,2.344885504E-1,7.625175981E-1
7.222459166E-1,-5.269537058E-1,5.477654082E-1,3.812185800E-1,8.503262646E-1
7.321929167E-1,-5.131677255E-1,6.470388508E-1,5.336087143E-1,9.832286860E-1
7.421389166E-1,-4.552887690E-1,7.187391633E-1,6.227296364E-1,1.054355750E0
7.520859166E-1,-4.852013701E-1,7.371122843E-1,6.459746575E-1,1.093635290E0
7.620329167E-1,-6.091155642E-1,6.022696441E-1,6.539093292E-1,1.077658529E0
7.719789166E-1,-7.166882524E-1,4.284547269E-1,6.376879835E-1,1.050648118E0
7.819259167E-1,-6.760205752E-1,2.603437686E-1,5.080657375E-1,8.848239879E-1
7.918719166E-1,-4.565558606E-1,2.223970932E-1,3.321464074E-1,6.068154224E-1
8.018189166E-1,-1.952750757E-1,2.670984721E-1,1.271465532E-1,3.544576068E-1
8.117649166E-1,-7.266217947E-2,1.974587184E-1,-6.555664301E-2,2.203801517E-1
8.217119166E-1,1.978908277E-1,-1.116584301E-2,-2.148454142E-1,2.923080699E-1
8.316579167E-1,2.140241727E-1,6.230266750E-2,-3.273025739E-1,3.959986664E-1
8.416049166E-1,-2.532978737E-1,4.499473375E-1,-6.237469789E-1,8.097361996E-1
8.515509167E-1,-7.477545092E-1,8.323277593E-1,-1.243667686E0,1.672906339E0
8.614979166E-1,-9.708208162E-1,9.834940714E-1,-1.393067554E0,1.962241284E0
8.714439166E-1,-2.753968406E-1,7.729165399E-1,-5.992143643E-1,1.016022269E0
8.813909166E-1,5.668264541E-1,4.414215124E-1,2.467064537E-2,7.188559114E-1
8.913379166E-1,1.325630447E0,1.962676406E-1,-1.037132335E0,1.694538447E0
9.012839167E-1,2.317609120E0,2.628475463E-1,-2.363683133E0,3.320752749E0
9.112309166E-1,2.709352396E0,2.057372063E-1,-2.488543407E0,3.684530702E0
9.211769167E-1,2.505351520E0,1.238592303E-1,-2.880875205E0,3.819891268E0
9.311239166E-1,2.327039217E0,3.663491106E-1,-2.309119256E0,3.298689880E0
9.410699166E-1,1.567475087E0,7.128732365E-1,-2.341501136E0,2.906508897E0
9.510169167E-1,1.349903993E0,1.258243040E0,-1.974076138E0,2.702294014E0
9.609629166E-1,2.236166469E0,1.865216185E0,-1.486067519E0,3.269230577E0
9.709099167E-1,3.376826681E0,2.191602500E0,-1.305303040E0,4.232008504E0
9.808559166E-1,4.213971376E0,2.192556766E0,-5.223456614E-1,4.778881137E0
9.908029166E-1,4.563892150E0,2.510052974E0,-6.717073765E-1,5.251730028E0
1.000748917E0,4.489114740E0,3.099044761E0,-1.071808662E0,5.559226870E0
1.010695917E0,4.382605368E0,3.302522603E0,-4.181039858E-1,5.503516721E0
1.020642917E0,4.137103295E0,2.859231151E0,-7.821384761E-1,5.089456459E0
1.030588917E0,3.740390178E0,2.066045823E0,-9.916861667E-1,4.386628031E0
1.040535917E0,3.276659784E0,1.232503012E0,-7.628800866E-1,3.582952559E0
1.050481917E0,2.930153492E0,1.042967856E-2,-8.638688099E-1,3.054861304E0
1.060428917E0,2.719173380E0,-1.480498631E0,-7.230292654E-1,3.179394814E0
1.070374917E0,2.243559689E0,-3.125356647E0,-6.489280862E-1,3.901605043E0
1.080321917E0,1.673140852E0,-4.380833954E0,-3.799681529E-1,4.704836048E0
1.090267917E0,8.813264032E-1,-4.764070993E0,2.682448187E-1,4.852325622E0
1.100214917E0,7.506370403E-1,-4.677055653E0,3.317619529E-1,4.748512561E0
1.110160917E0,7.966572587E-1,-3.422723815E0,1.293453511E0,3.744692656E0
1.120107917E0,3.105507396E-1,-1.599263767E0,1.263451448E0,2.061648835E0
1.130053917E0,-6.727851646E-1,-5.870370626E-1,5.228916451E-1,1.034730913E0
1.140000917E0,-1.345873946E0,-7.446896911E-2,-2.145021826E-2,1.348103267E0
1.149946917E0,-1.770102159E0,-3.849362397E-1,-6.537140322E-1,1.925819202E0
1.159893917E0,-1.684576836E0,-1.268153486E0,-6.126083985E-1,2.195746213E0
1.169840917E0,-1.330303541E0,-2.029059845E0,-7.259832788E-1,2.532556631E0
1.179786917E0,-7.782345825E-1,-3.045529874E0,-1.185974379E0,3.359678036E0
1.189733917E0,-1.015559033E-1,-4.152089124E0,-1.020587053E0,4.276886207E0
1.199679917E0,-3.696331993E-2,-4.473000691E0,-6.450616148E-1,4.519425401E0
1.209626917E0,-3.502935335E-1,-4.358686455E0,-6.202609420E-1,4.416511838E0
1.219572917E0,-4.855624357E-1,-4.427881236E0,2.208820796E-1,4.459898207E0
1.229519917E0,-4.540941828E-1,-4.361817055E0,1.833279862E0,4.753163641E0
1.239465917E0,-7.497634663E-1,-4.451900429E0,1.317276822E0,4.702848170E0
1.249412917E0,-8.388414113E-1,-5.577529203E0,3.007430586E-1,5.648268169E0
1.259358917E0,-5.774888518E-1,-8.010981313E0,-3.763911188E-2,8.031857299E0
1.269305917E0,-1.064329197E0,-1.283125165E1,-2.419528136E-1,1.287759126E1
1.279251917E0,-1.064609863E0,-2.001438300E1,8.230774641E-1,2.005957072E1
1.289198917E0,-8.195700118E-1,-2.171512286E1,2.718155379E0,2.189992293E1
1.299145917E0,-1.327292225E0,-1.897150168E1,3.392870271E0,1.931815595E1
1.309091917E0,-2.233473534E0,-1.689065305E1,3.630664837E0,1.742022651E1
1.319038917E0,-4.112980314E0,-1.655833707E1,3.961588007E0,1.751540217E1
1.328984917E0,-6.208944293E0,-1.797667512E1,2.907287078E0,1.923965062E1
1.338931917E0,-7.368226132E0,-2.136540323E1,1.242315810E0,2.263436679E1
1.348877917E0,-7.794526745E0,-2.358738961E1,-1.063323768E0,2.486463861E1
1.358824917E0,-6.425562583E0,-1.877541180E1,-3.873883865E0,2.021907315E1
1.368770917E0,-2.594897828E0,-8.989669558E0,-6.300640329E0,1.128032455E1
1.378717917E0,-9.708655474E-1,-1.451108771E0,-8.834384467E0,9.005256548E0
1.388663917E0,-2.666393487E0,4.437500491E0,-1.957777492E1,2.025068729E1
1.398610917E0,-1.843102015E0,4.639115410E0,-3.116763579E1,3.156485288E1
1.408556917E0,5.967753664E0,-3.896945284E0,-2.374928498E1,2.479574164E1
1.418503917E0,2.319982798E0,-8.247367285E0,-9.566733609E0,1.284226535E1
1.428450917E0,-1.472611322E0,-8.597904355E0,-4.359770529E0,9.751930192E0
1.438396917E0,-3.082914340E0,-6.076677936E0,-6.076276817E0,9.129705117E0
1.448343917E0,-4.415562030E0,-1.084688909E0,-1.045028707E0,4.665385629E0
1.458289917E0,-1.583684680E1,1.654796528E0,1.594326027E1,2.253290075E1
1.468236917E0,-1.600011743E1,3.407934453E0,2.028210362E1,2.605727350E1
1.478182792E0,-1.105794083E1,7.420654607E0,1.700684073E1,2.160038893E1
1.488129792E0,-6.735506528E0,1.155941559E1,1.618027131E1,2.099495931E1
1.498075792E0,-3.836970393E0,1.373953240E1,1.471170217E1,2.049222470E1
1.508022792E0,-2.860477193E0,1.410131133E1,1.189352666E1,1.866776064E1
1.517968792E0,-1.978198425E0,1.470952584E1,9.540881315E-1,1.487258227E1
1.527915792E0,-2.454448292E0,1.469877515E1,-1.820082112E0,1.501302788E1
1.537861792E0,-3.216702434E0,1.366204744E1,8.703077638E0,1.651491069E1
1.547808792E0,-2.415265223E0,1.123749713E1,1.323424877E1,1.752883876E1
1.557755792E0,-2.243551795E0,1.295968223E1,1.229006728E1,1.800090670E1
1.567701792E0,-3.699861080E0,1.773740004E1,1.054281049E1,2.096318643E1
1.577648792E0,-3.522883696E0,1.932407242E1,1.355243553E1,2.386417803E1
1.587594792E0,1.451471298E0,1.800476047E1,1.317294656E1,2.235631208E1
1.597541792E0,5.821855109E0,1.907964126E1,9.976079636E0,2.230356188E1
1.607487792E0,7.429580382E0,1.977634987E1,1.155021324E1,2.407716978E1
1.617434792E0,7.950095426E0,1.885092508E1,1.143741109E1,2.343876631E1
1.627380792E0,7.185265000E0,1.680095208E1,9.371697977E0,2.053603533E1
1.637327792E0,7.935199059E0,1.625594364E1,7.303134928E0,1.950791807E1
1.647273792E0,1.170690225E1,1.813019260E1,4.487226090E0,2.204292725E1
1.657220792E0,1.698320980E1,2.068381435E1,3.295165637E0,2.696493478E1
1.667166792E0,1.660314663E1,1.877276418E1,5.121959183E0,2.557959379E1
1.677113792E0,1.032307797E1,1.447588162E1,4.345716454E0,1.830306912E1
1.687060792E0,8.623876517E0,1.155520325E1,-4.961007555E0,1.524813314E1
1.697006792E0,5.286561812E0,7.093743212E0,-2.060200479E1,2.242122944E1
1.706953792E0,6.654602844E-2,1.880568634E0,-2.609840621E1,2.616615703E1
1.716899792E0,-1.758798965E1,-6.927084117E0,-1.264685386E1,2.274345591E1
1.726846792E0,-2.537934370E1,-2.230012041E1,1.783243484E1,3.820212283E1
1.736792792E0,-7.805861573E0,-3.846474340E1,2.407059533E0,3.932253674E1
1.746739792E0,5.866830503E-1,-3.828437083E1,-7.296038162E0,3.897780676E1
1.756685792E0,-3.147615535E0,-1.305895158E1,-1.806675031E0,1.355388412E1
1.766632792E0,-3.299093504E0,4.402916549E0,1.905207047E0,5.822328226E0
1.776578792E0,-1.815053506E0,5.222981527E0,1.215981705E0,5.661498633E0
1.786525792E0,-2.416477351E-1,1.153632844E0,-3.987479478E-2,1.179344041E0
1.796471792E0,3.796835105E0,-3.992225663E0,-3.039691429E0,6.292340307E0
1.806418792E0,3.721253703E0,-7.745549297E0,-3.868058869E0,9.423541927E0
1.816364792E0,-4.022730879E-2,-9.363876157E0,-1.713828848E0,9.519506512E0
1.826311792E0,-1.271991160E0,-9.138085340E0,1.978212458E0,9.435883091E0
1.836258792E0,-4.485202076E0,-6.684822278E0,3.407191272E0,8.741443754E0
1.846204792E0,-8.656346106E0,-3.764237462E0,1.015786489E0,9.493873486E0
1.856151792E0,-1.031558184E1,-3.115675997E0,-1.134265696E0,1.083536913E1
1.866097792E0,-8.520621121E0,-2.677371050E0,4.549601555E-2,8.931481955E0
1.876044792E0,-4.921400855E0,-1.642627303E0,9.822877908E-1,5.280464008E0
1.885990792E0,-3.054459449E0,-1.557438049E0,9.988821888E-1,3.571148475E0
1.895937792E0,-2.097223031E0,-2.688350952E0,4.306111801E-1,3.436713731E0
1.905883792E0,-1.084044838E0,-4.755258654E0,-9.081456810E-1,4.961085230E0
1.915830792E0,1.668987574E-1,-6.666688308E0,-1.908922075E0,6.936610965E0
1.925776792E0,9.501637727E-1,-7.285487446E0,-2.225828007E0,7.676942675E0
1.935723792E0,8.517238507E-1,-6.348794489E0,-2.188739703E0,6.769284044E0
1.945669792E0,2.697063303E-1,-4.685656908E0,-1.479664818E0,4.921130981E0
1.955616792E0,-3.847973683E-1,-3.180880637E0,-4.944300306E-1,3.241995018E0
1.965563792E0,-9.784397382E-1,-2.004082294E0,1.382579988E-1,2.234458645E0
1.975509792E0,-1.546598480E0,-1.145743196E0,2.214194387E-1,1.937452167E0
1.985456792E0,-1.913703928E0,-5.490067720E-1,-5.439021528E-2,1.991639891E0
1.995402792E0,-1.984781512E0,-2.247769099E-1,-1.540644845E-1,2.003401651E0
2.005349792E0,-1.843887589E0,-3.460616112E-2,1.794864240E-1,1.852925903E0
2.015295792E0,-1.664143595E0,1.875038338E-1,5.591166079E-1,1.765543252E0
2.025242792E0,-1.458218985E0,5.345278966E-1,4.065256217E-1,1.605423857E0
2.035188792E0,-1.322601004E0,8.951063901E-1,3.796000707E-1,1.641519138E0
2.045135792E0,-1.048212370E0,1.268485023E0,4.177864820E-1,1.697748206E0
2.055081792E0,-5.015161251E-1,1.600604534E0,5.178414050E-1,1.755452368E0
2.065028792E0,5.387156725E-2,1.809197520E0,7.932859004E-1,1.976208575E0
2.074974792E0,4.976882453E-1,1.988459703E0,8.803336921E-1,2.230841319E0
2.084921792E0,8.327582605E-1,2.167575706E0,6.165213552E-1,2.402492319E0
2.094868792E0,1.156079465E0,2.328567680E0,2.760286322E-1,2.614371621E0
2.104814792E0,1.538102622E0,2.419630462E0,-1.270713982E-1,2.869933516E0
2.114761792E0,1.889195470E0,2.394397972E0,-4.276995590E-1,3.079793514E0
2.124707792E0,2.089277980E0,2.303976045E0,-3.724001017E-1,3.132422374E0
2.134654792E0,2.347578586E0,2.322483067E0,-4.155450980E-1,3.328322481E0
2.144600792E0,2.562439056E0,2.298144032E0,-4.995858130E-1,3.478095153E0
2.154547792E0,2.812414250E0,2.127304763E0,-5.428249495E-1,3.567878696E0
2.164493792E0,3.005898323E0,1.852768632E0,-5.467520857E-1,3.573109875E0
2.174440792E0,2.988072209E0,1.527518431E0,-4.241371429E-1,3.382570088E0
2.184386792E0,2.927717834E0,1.294304574E0,-1.898590922E-1,3.206680920E0
2.194333792E0,2.811777780E0,1.124390334E0,-8.560426041E-2,3.029467940E0
2.204279792E0,2.619176636E0,9.219223058E-1,-1.403097868E-2,2.776728985E0
2.214226792E0,2.471680329E0,9.010179251E-1,3.281996830E-1,2.651179357E0
2.224172792E0,2.530993315E0,9.623218882E-1,7.022095232E-1,2.797336017E0
2.234119792E0,2.436942313E0,7.978245091E-1,6.438404238E-1,2.643812073E0
2.244066792E0,1.963777144E0,7.348774785E-1,7.039897080E-1,2.211801774E0
2.254012792E0,1.363909536E0,6.891183382E-1,8.960017450E-1,1.771426666E0
2.263959792E0,8.003502139E-1,6.269103956E-1,1.058014057E0,1.467300533E0
2.273905792E0,3.530350006E-1,5.122038120E-1,1.066035122E0,1.234267936E0
2.283852792E0,-5.038762075E-1,2.607483959E-1,5.283181536E-1,7.752425620E-1
2.293798792E0,-1.281445669E0,1.222506613E-1,-2.390808074E-1,1.309277610E0
2.303745792E0,-1.487649337E0,5.567426383E-2,-5.662195131E-1,1.592734978E0
2.313691792E0,-1.187151569E0,1.031109703E-1,-5.275767267E-1,1.303187601E0
2.323638792E0,-7.664012799E-1,6.052955782E-1,-5.136167917E-1,1.103429140E0
2.333584792E0,-6.774348705E-1,1.453906079E0,-8.846436748E-1,1.831762900E0
2.343531792E0,-8.553125793E-1,2.125129598E0,-9.784100635E-1,2.490988091E0
2.353478792E0,-5.734512033E-1,2.308480155E0,-6.602395248E-1,2.468571072E0
2.363424792E0,-1.597345296E-1,1.973976150E0,-6.990214750E-2,1.981661745E0
2.373371792E0,-1.695347553E-1,1.507024525E0,7.826825595E-1,1.706592201E0
2.383317792E0,-9.138730288E-2,1.392944763E0,1.246292940E0,1.871334508E0
2.393264792E0,-7.013954446E-2,1.447549571E0,1.272571204E0,1.928667100E0
2.403210792E0,-2.190836222E-1,1.327044888E0,1.506102565E0,2.019254988E0
2.413157792E0,-8.239508919E-1,6.858164155E-1,1.592298856E0,1.919545487E0
2.423103792E0,-1.455494329E0,-5.772505778E-1,1.142216302E0,1.938127976E0
2.433050792E0,-1.276078364E0,-1.209624612E0,1.072438700E0,2.059536952E0
2.442996792E0,-3.353259771E-1,-3.904986960E-1,2.119051710E0,2.180667992E0
2.452943792E0,5.478197873E-1,1.156538910E0,2.734941566E0,3.019535418E0
2.462889792E0,8.340804622E-1,2.387806991E0,2.027989805E0,3.241921512E0
2.472836500E0,8.102533507E-1,2.988500226E0,6.590209651E-1,3.165746788E0
2.482782500E0,1.633345871E0,2.747846956E0,1.110990562E0,3.384195866E0
2.492729500E0,2.240025924E0,2.067108847E0,2.825491840E0,4.156207317E0
2.502676500E0,1.624902053E0,1.266059598E0,2.221838745E0,3.029815340E0
2.512622500E0,1.289228898E0,4.650273067E-1,-2.183247998E-1,1.387813844E0
2.522569500E0,6.625278327E-1,-9.749471962E-2,-1.140962512E0,1.322967802E0
2.532515500E0,1.893544775E-1,-4.659985292E-1,-2.093268120E-1,5.448187420E-1
2.542462500E0,1.010833021E0,-5.850267899E-1,1.004551649E-3,1.167921551E0
2.552408500E0,2.267101749E0,2.294377255E-1,-6.602579436E-1,2.372410707E0
2.562355500E0,3.321154464E0,7.100408453E-1,1.124115515E-1,3.398067293E0
2.572301500E0,2.119063112E0,1.158841544E0,2.381896040E0,3.392163166E0
2.582248500E0,-7.586418785E-2,2.189163042E0,3.817652947E0,4.401438881E0
2.592194500E0,-7.299362889E-1,3.024209172E0,4.465351948E0,5.442243666E0
2.602141500E0,-9.254265422E-1,2.877918853E0,2.273010945E0,3.782249326E0
2.612087500E0,-1.671685918E0,1.782896744E0,2.574803871E0,3.550052054E0
2.622034500E0,-3.083836738E0,3.830025655E-1,3.535135367E0,4.706795306E0
2.631981500E0,-3.477912760E0,-8.481971025E-1,3.076983801E0,4.720502601E0
2.641927500E0,-2.157768756E0,-1.639510152E0,2.155777194E0,3.462850684E0
2.651874500E0,-1.278084982E0,-1.817859585E0,2.268118579E0,3.175291575E0
2.661820500E0,-1.872460300E0,-2.034602421E0,2.838885764E0,3.962951800E0
