"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.931583207E-3,3.002486765E-2,1.776641393E-1,2.231572312E-1,2.868190874E-1
1.287758350E-2,9.647087216E-2,2.006910592E-1,1.354782325E-1,2.606489630E-1
2.282358333E-2,1.680016154E-1,2.634620887E-1,4.003939390E-2,3.150237579E-1
3.276958317E-2,1.905508178E-1,3.027390057E-1,-5.790731549E-2,3.623724285E-1
4.271558346E-2,1.868606400E-1,3.286643904E-1,-1.417920560E-1,4.037848034E-1
5.266158329E-2,1.704457515E-1,3.385485238E-1,-2.319007190E-1,4.443476124E-1
6.260758312E-2,1.484935498E-1,2.826386172E-1,-2.873463567E-1,4.295379505E-1
7.255358342E-2,8.557458580E-2,2.117522371E-1,-3.234130061E-1,3.959267510E-1
8.249958325E-2,1.289427996E-2,1.368575907E-1,-3.227218652E-1,3.507786551E-1
9.244558308E-2,-2.891272724E-2,5.704602063E-2,-2.593513499E-1,2.671204166E-1
1.023925832E-1,-6.585134268E-2,-4.102114141E-2,-1.717771626E-1,1.884848189E-1
1.123385835E-1,-1.182160825E-1,-1.187300527E-1,-1.135511738E-1,2.023999423E-1
1.222845833E-1,-1.618082446E-1,-1.628040254E-1,-2.050867036E-2,2.304510019E-1
1.322305831E-1,-1.658282053E-1,-1.979867220E-1,6.672199309E-2,2.667387488E-1
1.421765834E-1,-1.558218652E-1,-1.988421696E-1,1.389631730E-1,2.883217397E-1
1.521225832E-1,-1.369014448E-1,-1.480479920E-1,1.596769345E-1,2.572099083E-1
1.620685831E-1,-8.239019215E-2,-8.642477095E-2,1.695796327E-1,2.073997026E-1
1.720145834E-1,-3.949326396E-2,9.999323487E-3,1.637296396E-1,1.687219585E-1
1.819605832E-1,6.529585719E-3,8.295620263E-2,1.369681031E-1,1.602642452E-1
1.919065835E-1,4.876168549E-2,1.125162166E-1,6.600059286E-2,1.392611907E-1
2.018525833E-1,4.981593847E-2,8.078103840E-2,-1.638097465E-2,9.630960607E-2
2.117985832E-1,7.099104524E-3,4.551881969E-2,-8.570322454E-2,9.730058030E-2
2.217445835E-1,-7.049052358E-2,1.644061625E-2,-1.334925181E-1,1.518534167E-1
2.316905833E-1,-9.005413771E-2,9.960731864E-3,-1.238202001E-1,1.534288299E-1
2.416365831E-1,-1.244305032E-1,-2.259948850E-3,-7.389711142E-2,1.447371431E-1
2.515825834E-1,-1.081845993E-1,-3.998676896E-2,-1.883972883E-3,1.153533639E-1
2.615285832E-1,-1.074694848E-1,-6.101920366E-2,1.055217773E-1,1.625050118E-1
2.714745831E-1,-1.289398760E-1,-7.055308878E-2,1.810430990E-1,2.331948405E-1
2.814205834E-1,-1.313179386E-1,-5.071874857E-2,2.185833929E-1,2.599913309E-1
2.913665832E-1,-1.167957938E-1,-3.039967418E-3,2.473530096E-1,2.735580563E-1
3.013125835E-1,-8.437181354E-2,2.174228668E-2,1.917791717E-1,2.106432544E-1
3.112585833E-1,-6.600103140E-2,7.968994796E-2,1.139433758E-1,1.539146414E-1
3.212045832E-1,-1.815969765E-2,9.483365178E-2,4.301197216E-2,1.057034809E-1
3.311505835E-1,2.463081121E-2,9.328238547E-2,-2.486528456E-2,9.963213676E-2
3.410965833E-1,3.213454306E-2,7.312352479E-2,-1.547524095E-2,8.135823140E-2
3.510425831E-1,1.318196297E-2,7.245401859E-2,-3.244619966E-3,7.371483241E-2
3.609885834E-1,-4.221806645E-2,3.605627060E-2,3.466872633E-2,6.545487277E-2
3.709345832E-1,-1.294538462E-1,-7.249962687E-3,7.838952720E-2,1.515116439E-1
3.808805831E-1,-1.628642517E-1,-7.490049362E-2,1.026313524E-1,2.065624432E-1
3.908265834E-1,-1.564206201E-1,-1.676197922E-1,1.522509706E-1,2.752165750E-1
4.007725832E-1,-1.767519736E-1,-2.282501560E-1,1.617072339E-1,3.308906518E-1
4.107185835E-1,-2.033801937E-1,-2.317818743E-1,1.555827141E-1,3.453872050E-1
4.206645833E-1,-2.398159486E-1,-2.262369597E-1,1.531670831E-1,3.635313006E-1
4.306105832E-1,-2.096361297E-1,-2.282741296E-1,1.178382061E-1,3.315753730E-1
