"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.194583399E-4,1.998256713E-2,-5.374760628E-3,1.346572834E-1,1.362379353E-1
1.086645829E-2,6.881712355E-2,1.907771051E-2,1.019485255E-1,1.244719140E-1
2.081245824E-2,1.214839451E-1,3.066396832E-2,1.557698433E-1,1.999071583E-1
3.075845831E-2,1.295218201E-1,2.845079720E-2,2.177550069E-1,2.549560605E-1
4.070445825E-2,1.059028696E-1,1.664117575E-3,2.684445194E-1,2.885838649E-1
5.065045832E-2,6.615466699E-2,-1.190493107E-3,2.468285326E-1,2.555429157E-1
6.059687492E-2,5.413074508E-2,-1.001978874E-2,2.045853414E-1,2.118624451E-1
7.054287498E-2,5.533512533E-2,-3.705731392E-2,1.421428889E-1,1.569707663E-1
8.048887493E-2,6.406969607E-2,-1.476772785E-2,1.000587237E-1,1.197278578E-1
9.043487499E-2,8.956735700E-2,-1.575356841E-2,9.081310630E-2,1.285204522E-1
1.003808749E-1,8.249997362E-2,-2.028516054E-2,9.417176524E-2,1.268308115E-1
1.103278749E-1,4.855045483E-2,-2.186858654E-4,9.386829475E-2,1.056808935E-1
1.202738750E-1,2.702802345E-2,-2.594994307E-3,9.070904413E-2,9.468568389E-2
1.302198749E-1,3.392963827E-2,-5.433817506E-3,1.073379225E-1,1.127039322E-1
1.401658750E-1,2.451284364E-2,-2.397709250E-2,8.473962167E-2,9.141435308E-2
1.501118749E-1,-2.124878168E-3,-4.761387706E-2,9.075346470E-2,1.025075009E-1
1.600588750E-1,-1.500073940E-2,-2.602361798E-2,1.054527801E-1,1.096473425E-1
1.700048749E-1,1.840849668E-2,-2.817188501E-2,1.054182816E-1,1.106595768E-1
1.799508750E-1,6.250037648E-2,1.146580517E-2,1.016228356E-1,1.198539214E-1
1.898968749E-1,5.301911630E-2,1.739839017E-2,1.562744214E-1,1.659380169E-1
1.998428750E-1,2.754974127E-2,2.749009967E-2,1.800112116E-1,1.841703834E-1
2.097898750E-1,1.347622409E-2,1.733524024E-2,1.900877366E-1,1.913516835E-1
2.197358749E-1,4.258088619E-3,2.539972007E-2,1.715549866E-1,1.734773488E-1
2.296818750E-1,2.482735075E-2,3.716139436E-2,1.704007097E-1,1.761640385E-1
2.396278749E-1,3.538369462E-2,2.583650708E-2,1.473323111E-1,1.537086231E-1
2.495738750E-1,2.428348660E-2,-2.077398777E-2,1.327855897E-1,1.365769348E-1
2.595208749E-1,-1.266638473E-2,-2.755324960E-2,1.306975673E-1,1.341695679E-1
2.694668750E-1,-4.161331818E-2,-3.194684744E-2,6.415680131E-2,8.287559632E-2
2.794128750E-1,-3.976632893E-2,-1.780360222E-2,-4.622340918E-2,6.352112030E-2
2.893588749E-1,-1.472095013E-2,-4.951305270E-2,-2.005501413E-1,2.070956493E-1
2.993048750E-1,-4.427277803E-2,-1.050674486E-1,-2.557139432E-1,2.799801214E-1
3.092518749E-1,-2.314927295E-2,-1.902292210E-1,-1.880493607E-1,2.684876299E-1
3.191978750E-1,-8.046061099E-3,-1.497863692E-1,-1.586372995E-1,2.183265634E-1
3.291438749E-1,-1.518280707E-2,-3.081307232E-2,-4.869152804E-2,5.958882412E-2
3.390898750E-1,-5.672098853E-2,8.193235517E-2,9.046224595E-2,1.345867724E-1
3.490358749E-1,-1.259811848E-1,2.606326210E-1,1.986381018E-1,3.510807850E-1
3.589828749E-1,-1.523343665E-1,2.535826331E-1,3.368276882E-1,4.482887491E-1
3.689288750E-1,-6.525331870E-2,1.771092385E-1,5.710572070E-1,6.014416111E-1
3.788748749E-1,1.289153177E-1,6.065433741E-2,7.296564996E-1,7.434357506E-1
3.888208750E-1,2.261721287E-1,-7.827667594E-3,7.125849688E-1,7.476579712E-1
3.987668749E-1,2.400586811E-1,-3.933597386E-2,4.472085017E-1,5.090883354E-1
4.087138750E-1,1.239716430E-1,-3.311512113E-2,1.655130404E-1,2.094281406E-1
4.186598749E-1,2.885250092E-2,-1.158146310E-1,-1.885142326E-3,1.193693818E-1
4.286058750E-1,-6.534380436E-2,-1.622374302E-1,-3.225908875E-2,1.778523133E-1
4.385518749E-1,-1.227109833E-1,-1.834867966E-1,7.028586189E-2,2.316581368E-1
4.484978749E-1,-1.353968831E-1,-1.905929178E-1,1.630425918E-1,2.850278285E-1
4.584448750E-1,-1.478649011E-1,-1.776085907E-1,2.073182935E-1,3.104669310E-1
4.683908749E-1,-5.553349212E-2,-1.387713844E-1,2.470109475E-1,2.887141736E-1
4.783368750E-1,3.268959001E-3,-8.768660009E-2,3.674179816E-1,3.777507103E-1
4.882828749E-1,-2.505086057E-2,-1.973400199E-1,3.879001933E-1,4.359325511E-1
4.982288750E-1,-7.580739677E-2,-1.562171370E-1,2.801722616E-1,3.296165218E-1
5.081758749E-1,-1.878103741E-1,1.300993788E-1,2.194413257E-1,3.167855432E-1
5.181218750E-1,-7.955992050E-2,-4.967677474E-2,1.313062441E-1,1.613657109E-1
5.280678750E-1,7.492724463E-2,-1.738552630E-1,1.507342029E-1,2.419928602E-1
5.380138749E-1,1.025075376E-2,-1.829362813E0,-1.807491302E-1,1.838299112E0
5.479598750E-1,-3.279880138E-1,-9.495012832E-1,-2.802465212E-1,1.042912718E0
5.579068749E-1,-4.714977624E-1,8.956829256E-1,-7.147869389E-2,1.014725208E0
5.678528750E-1,-1.768734495E-1,1.269532260E0,2.915609201E-1,1.314535715E0
5.777988749E-1,-1.517842897E-1,1.363311659E0,7.792993605E-1,1.577645284E0
