"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.682583411E-3,-2.205587286E-1,1.003002137E-1,-4.015915219E-1,4.690224260E-1
1.762958337E-2,2.801634908E-2,1.922622979E-2,-2.746436461E-1,2.767375943E-1
2.757558343E-2,2.511987233E-1,-2.861802757E-2,-1.031050500E-1,2.730392672E-1
3.752158338E-2,3.977615225E-1,-3.025583267E-2,4.952123880E-2,4.019726325E-1
4.746858333E-2,5.055537736E-1,-3.921201289E-2,1.460165962E-1,5.276770285E-1
5.741458340E-2,5.680225021E-1,-2.838998616E-2,2.255480846E-1,6.118230893E-1
6.736058334E-2,5.018869847E-1,-7.350125492E-2,2.325063809E-1,5.579894238E-1
7.730758341E-2,3.771834165E-1,-1.545331389E-1,7.767675161E-2,4.149475852E-1
8.725358336E-2,2.527517438E-1,-2.009635395E-1,-1.726589958E-1,3.661706119E-1
9.719958343E-2,1.256356144E-1,-1.874061853E-1,-4.036461604E-1,4.624236247E-1
1.071465834E-1,1.600441396E-2,-1.385281402E-1,-5.417048422E-1,5.593660009E-1
1.170925833E-1,-7.215054810E-2,-7.366673112E-2,-6.542636704E-1,6.623393687E-1
1.270385834E-1,-1.357805336E-1,-1.151901484E-4,-7.198835365E-1,7.325767350E-1
1.369855833E-1,-1.538893604E-1,5.642796993E-2,-6.879775465E-1,7.072334519E-1
1.469315834E-1,-2.100512820E-1,1.270295906E-1,-6.056826274E-1,6.535361528E-1
1.568775834E-1,-2.721463734E-1,1.685758120E-1,-5.260084669E-1,6.157648579E-1
1.668245834E-1,-3.001270545E-1,2.458075905E-1,-4.543929025E-1,5.974701082E-1
1.767707501E-1,-2.527815646E-1,3.162565988E-1,-3.853595781E-1,5.589443265E-1
1.867167500E-1,-1.857818288E-1,3.686920899E-1,-3.124517791E-1,5.177594609E-1
1.966627501E-1,-1.217489702E-1,3.799210829E-1,-2.597847017E-1,4.760787037E-1
2.066097501E-1,-6.552331388E-2,3.781786126E-1,-1.986907998E-1,4.321925516E-1
2.165557500E-1,-9.396884859E-2,3.374381375E-1,-1.677496735E-1,3.883742964E-1
2.265017501E-1,-1.868647331E-1,2.860674244E-1,-2.130539004E-1,4.026722790E-1
2.364487500E-1,-2.842407542E-1,2.399989665E-1,-2.866024446E-1,4.696097013E-1
2.463947501E-1,-3.033360064E-1,1.713473922E-1,-3.541377854E-1,4.967758374E-1
2.563407500E-1,-2.231192243E-1,1.550798535E-1,-3.971170863E-1,4.811797268E-1
2.662877501E-1,-2.519343030E-1,1.879552388E-1,-4.358315011E-1,5.373519910E-1
2.762337500E-1,-2.470992404E-1,1.956671315E-1,-4.410670980E-1,5.421105477E-1
2.861797500E-1,-2.576370925E-1,1.730267125E-1,-5.082772605E-1,5.955341201E-1
2.961267501E-1,-4.100032532E-1,2.328010440E-1,-5.681854932E-1,7.383317333E-1
3.060727500E-1,-4.132315010E-1,2.195173395E-1,-6.599447521E-1,8.089964224E-1
3.160187501E-1,-2.171351838E-1,4.473353863E-2,-6.397263229E-1,6.770513612E-1
3.259657500E-1,-7.263937533E-2,-9.699244380E-2,-6.485649010E-1,6.597881810E-1
3.359117501E-1,6.037367105E-2,-2.038965029E-1,-6.456038710E-1,6.797228275E-1
3.458577500E-1,1.878950125E-1,-3.070799786E-1,-5.255149253E-1,6.369996748E-1
3.558047500E-1,1.720940816E-1,-3.610684901E-1,-2.155997781E-1,4.543898016E-1
3.657507501E-1,1.152977371E-1,-3.465410829E-1,3.677657448E-2,3.670651260E-1
3.756967500E-1,1.200164402E-1,-3.339777553E-1,-4.466797672E-2,3.576874545E-1
3.856427501E-1,1.174992138E-1,-1.771022218E-1,-1.727219995E-1,2.738688579E-1
3.955897500E-1,1.204117119E-2,4.542117119E-2,1.484023333E-3,4.701356103E-2
4.055357501E-1,-1.191884744E-1,3.087563753E-1,2.406958815E-1,4.092320846E-1
4.154817500E-1,-1.508616722E-1,5.672214335E-1,2.992629091E-1,6.588305454E-1
4.254287501E-1,4.205434442E-2,7.782164562E-1,1.106502970E-1,7.871676497E-1
4.353747501E-1,2.461642706E-1,8.854894745E-1,-1.425667389E-1,9.300611446E-1
4.453207500E-1,5.026301658E-1,8.190142339E-1,-3.449621885E-1,1.020989868E0
4.552677501E-1,8.159590638E-1,5.454756385E-1,-3.222179083E-1,1.033033033E0
4.652137500E-1,1.022377471E0,2.729918808E-1,-1.489659318E-1,1.068630483E0
4.751597501E-1,1.051716460E0,-5.816985548E-2,1.120303130E-1,1.059264856E0
4.851067500E-1,8.168285447E-1,-3.094925398E-1,3.243870791E-1,9.317840312E-1
4.950527501E-1,4.800493884E-1,-6.093833667E-1,4.976587900E-1,9.216614206E-1
5.049987501E-1,2.558589542E-1,-6.097856551E-1,5.934164480E-1,8.885074172E-1
5.149457500E-1,2.343330145E-2,-3.389566594E-1,6.477837861E-1,7.314810798E-1
5.248917501E-1,-1.286036611E-1,3.256899118E-3,5.741019253E-1,5.883387881E-1
5.348377500E-1,-2.620534945E-1,3.330875167E-1,5.399389100E-1,6.864061147E-1
5.447847501E-1,-2.235671210E-1,5.702657863E-1,4.539754844E-1,7.624165955E-1
5.547307500E-1,-1.732167470E-1,7.548764178E-1,3.822372015E-1,8.636826534E-1
5.646767501E-1,-6.984557569E-2,9.867813760E-1,4.072527230E-1,1.069799359E0
5.746237501E-1,1.511534482E-1,1.090571500E0,5.486910224E-1,1.230144463E0
5.845697500E-1,1.362448025E-1,1.184809613E0,6.337317574E-1,1.350537821E0
5.945157501E-1,1.757731497E-1,1.297395704E0,6.889095926E-1,1.479435108E0
6.044617500E-1,2.403135467E-1,1.245950439E0,9.140157008E-1,1.563831128E0
6.144087501E-1,-3.431555450E-2,1.278621464E0,9.482078791E-1,1.592214994E0
6.243547500E-1,1.314834148E-1,1.308763276E0,8.721157229E-1,1.578206271E0
6.343007501E-1,1.209976029E-1,1.368467149E0,5.920984125E-1,1.495969013E0
