"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.686291795E-3,-1.341522477E1,2.637576655E-2,-1.636689456E0,1.351472174E1
1.463329187E-2,-1.238050383E1,-2.758565779E-1,-1.260981876E0,1.244761211E1
2.457929170E-2,-1.069339851E1,-2.445657881E-1,-1.141464057E0,1.075692913E1
3.452529199E-2,-9.498541042E0,2.061099663E-1,-9.656624025E-1,9.549726023E0
4.447229160E-2,-8.960407752E0,5.736881617E-1,-9.587492394E-1,9.029796525E0
5.441829190E-2,-8.607655756E0,8.673267071E-1,-1.160642048E0,8.728750380E0
6.436429173E-2,-8.481150076E0,1.132702151E0,-1.496185541E0,8.686281826E0
7.431029202E-2,-8.422787848E0,1.368344942E0,-1.618636762E0,8.685373220E0
8.425729163E-2,-8.357697228E0,1.635650990E0,-1.492066762E0,8.645965552E0
9.420329193E-2,-8.290800987E0,1.898752306E0,-9.586890131E-1,8.559306395E0
1.041492918E-1,-8.228795359E0,1.996821514E0,-1.592692374E-1,8.469104788E0
1.140962918E-1,-8.307424037E0,1.931683824E0,9.969492455E-1,8.587118511E0
1.240422917E-1,-8.994639691E0,1.445214778E0,2.755518503E0,9.517618985E0
1.339882920E-1,-9.845480905E0,4.916952878E-1,4.464425749E0,1.082156901E1
1.439352920E-1,-8.786001096E0,-1.517237125E0,6.923368796E0,1.128843919E1
1.538812919E-1,-5.316894827E0,-7.241425753E0,6.990953254E0,1.138336703E1
1.638272917E-1,2.935886979E-2,-6.157995749E0,4.158174906E0,7.430490706E0
1.737742918E-1,9.916321092E0,-6.259402841E0,-7.119879681E0,1.371882774E1
1.837202921E-1,4.218291299E1,-1.105117677E1,-3.240483645E1,5.432863041E1
1.936662919E-1,9.377700846E1,-2.225007292E1,-4.840663788E1,1.078535843E2
2.036132920E-1,6.903291563E1,-2.854655588E1,-2.341749292E1,7.828683329E1
2.135592918E-1,2.346060093E1,-1.880758552E1,3.122083375E0,3.023032374E1
2.235052916E-1,2.379302449E1,-6.979799690E0,3.239865010E0,2.500644604E1
2.334522917E-1,2.009619490E1,-5.306379780E0,-5.534352193E0,2.150915550E1
2.433982920E-1,1.759100214E1,-6.753710665E0,-9.246274617E0,2.098927245E1
2.533442918E-1,1.309669887E1,-7.592006092E0,-6.517022392E0,1.648131241E1
2.632902917E-1,6.275725343E0,-8.277913724E0,-2.827639815E0,1.076587809E1
2.732372917E-1,2.828971226E0,-8.664338665E0,-4.408811931E-1,9.125142132E0
2.831832920E-1,2.002487174E0,-7.852149886E0,2.312861474E0,8.427071906E0
2.931292919E-1,-4.942774183E-1,-5.049996330E0,7.014324574E0,8.657223708E0
3.030762919E-1,-2.980249220E0,-1.280988417E0,1.055496334E1,1.104219488E1
3.130222918E-1,-5.379284034E0,1.362004806E0,9.900608454E0,1.134961680E1
3.229682921E-1,-7.631889365E0,2.640824198E0,6.840975680E0,1.058388568E1
3.329152917E-1,-9.405834022E0,3.249264409E0,3.841181558E0,1.066686967E1
3.428612920E-1,-1.082803065E1,3.311650107E0,1.481666320E0,1.141965890E1
3.528072918E-1,-1.159733478E1,3.183128892E0,1.646826627E-1,1.202736895E1
3.627542919E-1,-1.182721339E1,2.917139052E0,-7.545440767E-1,1.220499953E1
3.727002917E-1,-1.178948598E1,2.449863490E0,-1.142788159E0,1.209544442E1
3.826462920E-1,-1.177922997E1,2.003789933E0,-1.226346041E0,1.201121798E1
3.925932921E-1,-1.177945099E1,1.593929645E0,-1.134750577E0,1.194084320E1
4.025392919E-1,-1.175771221E1,1.174529916E0,-1.354657195E0,1.189362910E1
4.124852917E-1,-1.196820730E1,7.433287516E-1,-1.733860239E0,1.211597272E1
4.224322918E-1,-1.242494267E1,7.093681231E-2,-2.374959927E0,1.265008565E1
4.323782916E-1,-1.294328664E1,-3.645953844E-1,-3.103077586E0,1.331505499E1
4.423242919E-1,-1.573268917E1,3.044382066E-2,-5.298813483E0,1.660108008E1
4.522702917E-1,-2.185844513E1,4.737735718E-1,-8.682552742E0,2.352451502E1
4.622172918E-1,-2.141785509E1,1.019002896E0,-7.825286608E0,2.282538048E1
4.721632916E-1,-1.723959266E1,1.914651762E0,-5.595835665E0,1.822588333E1
