"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.635541562E-3,1.406249517E-1,-1.920886356E-1,1.886002598E-1,3.037161157E-1
1.658154163E-2,1.067222106E-1,-4.514073873E-1,1.210846899E-1,4.793952040E-1
2.652854158E-2,1.988842696E-1,-4.028597099E-1,1.672361052E-1,4.793942150E-1
3.647454164E-2,2.768639070E-1,-2.186946362E-1,1.793890679E-1,3.958047556E-1
4.642054159E-2,3.564293092E-1,-2.250178152E-1,1.850403653E-1,4.603420537E-1
5.636754166E-2,4.322507393E-1,-1.945783800E-1,2.795816928E-1,5.503338719E-1
6.631354161E-2,4.269946772E-1,-1.207023185E-1,2.691479943E-1,5.189741293E-1
7.625954167E-2,3.854016781E-1,-1.918471456E-1,1.521041689E-1,4.565911288E-1
8.620654163E-2,2.752652782E-1,-2.802342421E-1,4.578837633E-2,3.954728552E-1
9.615254158E-2,1.540782255E-1,-3.277837998E-1,-8.969281632E-2,3.731315053E-1
1.060995416E-1,-3.795310736E-2,-3.606200087E-1,-1.809175301E-1,4.052386725E-1
1.160455416E-1,-1.873664242E-1,-2.462870622E-1,-1.665351337E-1,3.514220321E-1
1.259915417E-1,-2.654676837E-1,-9.575049520E-2,-2.043245556E-1,3.484103506E-1
1.359385416E-1,-3.094516093E-1,-1.422054541E-1,-3.021314069E-1,4.552648423E-1
1.458845416E-1,-2.804792404E-1,-2.850365603E-1,-3.233352381E-1,5.142568631E-1
1.558315416E-1,-1.095136714E-1,-2.654138893E-1,-1.517854591E-1,3.247716158E-1
1.657775416E-1,5.334707201E-2,-2.187244570E-1,-3.642581463E-2,2.280638905E-1
1.757235416E-1,1.686489022E-1,-2.101395750E-1,6.100290455E-3,2.695149471E-1
1.856705416E-1,2.186484432E-1,-1.530619794E-1,8.301990073E-2,2.795128176E-1
1.956165417E-1,1.824916005E-1,-1.176149887E-1,7.884031098E-2,2.309810911E-1
2.055625416E-1,1.450331676E-1,-1.380843365E-1,3.588783424E-2,2.034449320E-1
