"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.393708590E-3,6.520958152E-1,-1.989900457E0,2.608834081E0,3.345287438E0
1.533770841E-2,7.531441802E-1,-1.950437014E0,2.851071947E0,3.535539838E0
2.528170822E-2,7.673771802E-1,-1.991257011E0,2.999397097E0,3.681080706E0
3.522570850E-2,7.195337999E-1,-2.059489925E0,2.856304035E0,3.594120251E0
4.516970832E-2,6.389609224E-1,-2.165285352E0,2.315421385E0,3.233868875E0
5.511370860E-2,5.008982205E-1,-2.299768973E0,1.376690088E0,2.726740170E0
6.505770842E-2,3.442203230E-1,-2.337065438E0,2.859498954E-1,2.379523027E0
7.500170823E-2,2.637273330E-1,-2.158351724E0,-6.422143131E-1,2.267261232E0
8.494570851E-2,1.533505395E-1,-1.887026884E0,-1.227239349E0,2.256214367E0
9.488970833E-2,-1.136657792E-1,-1.693504511E0,-1.608931553E0,2.338704381E0
1.048337086E-1,-4.572559185E-1,-1.580210030E0,-1.665061900E0,2.340636205E0
1.147777084E-1,-6.741348481E-1,-1.518615460E0,-1.346259423E0,2.138472620E0
1.247217082E-1,-7.429147688E-1,-1.434986243E0,-7.847805405E-1,1.796382022E0
1.346657085E-1,-6.322540198E-1,-1.294884617E0,-6.849077582E-2,1.442623410E0
1.446097083E-1,-5.267559238E-1,-1.145012879E0,7.209891719E-1,1.452016419E0
1.545544583E-1,-4.566105321E-1,-1.016494587E0,1.377496419E0,1.771793105E0
1.644984586E-1,-3.423141307E-1,-8.476802087E-1,1.928080185E0,2.133830804E0
1.744424584E-1,-1.513260873E-1,-4.945604235E-1,2.288345268E0,2.346063439E0
1.843864582E-1,-1.390760243E-1,-3.816594601E-2,2.416033840E0,2.420334335E0
1.943304585E-1,-3.634361739E-1,4.615739411E-1,2.132007678E0,2.211468538E0
2.042744583E-1,-7.116040984E-1,9.044514102E-1,1.627336249E0,1.993147264E0
2.142184586E-1,-9.880019823E-1,1.266609237E0,1.071422746E0,1.930904859E0
2.241614582E-1,-1.305418376E0,1.416745269E0,5.684359002E-1,2.008582502E0
2.341064583E-1,-1.706620547E0,1.287745752E0,1.424928448E-1,2.142696204E0
2.440494583E-1,-2.017415115E0,9.260036623E-1,-5.777107537E-2,2.220536878E0
2.539944584E-1,-2.133306783E0,5.555585772E-1,-1.730334368E-1,2.211240316E0
2.639374584E-1,-2.021690015E0,3.005462998E-1,-2.009372270E-1,2.053761029E0
2.738824585E-1,-1.643594725E0,1.712514979E-1,-9.262925148E-2,1.655086364E0
2.838254585E-1,-1.245421851E0,7.974081874E-2,2.442551547E-1,1.271650410E0
2.937694583E-1,-8.651613370E-1,-8.032495558E-2,6.004543760E-1,1.056173137E0
3.037134586E-1,-4.354368871E-1,-2.941576320E-1,1.073228659E0,1.194970188E0
3.136584582E-1,-3.040098980E-1,-6.385516173E-1,7.504904214E-1,1.031215816E0
3.236014582E-1,-2.958708662E-1,-8.546576911E-1,6.442295560E-1,1.110410311E0
3.335464583E-1,-2.421448946E-2,-7.263949227E-1,1.488832083E0,1.656760965E0
3.434894583E-1,3.052208564E-1,-4.685356361E-1,2.624135368E0,2.683052709E0
3.534334586E-1,3.762244731E-1,-1.676349950E-1,2.768066627E0,2.798542335E0
3.633774584E-1,3.488904941E-1,7.138807118E-2,1.959059903E0,1.991164618E0
3.733214582E-1,2.393788692E-1,3.009187675E-1,1.237289836E0,1.295662180E0
3.832654585E-1,1.148776147E-1,5.299699920E-1,8.224956661E-1,9.851721574E-1
3.932094583E-1,1.066634461E-1,7.632218564E-1,4.780280060E-1,9.068602248E-1
4.031534586E-1,8.578508556E-2,7.373736548E-1,1.450568488E-1,7.563864602E-1
4.130974584E-1,-5.930918545E-2,5.392337358E-1,5.011823952E-2,5.447957775E-1
4.230414582E-1,-2.526643279E-1,2.990324557E-1,7.481366247E-2,3.985683834E-1
4.329854585E-1,-6.571334839E-1,-3.570894599E-3,7.825445652E-2,6.617861640E-1
4.429294583E-1,-1.075188061E0,-3.062391490E-1,-2.535700616E-1,1.146346177E0
4.528734586E-1,-1.258739761E0,-5.286011589E-1,-8.954870439E-1,1.632710023E0
4.628174584E-1,-1.155515940E0,-4.127409196E-1,-1.798764333E0,2.177412520E0
4.727614583E-1,-8.403466308E-1,2.418151116E-1,-1.790132673E0,1.992293150E0
4.827054585E-1,-7.229550058E-1,1.104927877E0,-1.401537246E0,1.925574253E0
