"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.344416618E-3,4.562005838E0,5.109637930E0,-7.920376952E0,1.047151699E1
1.328841690E-2,2.010954819E0,5.220382440E0,-5.536671199E0,7.870899572E0
2.323241672E-2,-4.554510292E-1,5.147932515E0,-2.888347362E0,5.920404994E0
3.317641700E-2,-2.541036493E0,5.223600748E0,-6.683174533E-1,5.847180470E0
4.311941704E-2,-3.969425323E0,5.781258475E0,1.158882474E0,7.107903737E0
5.306341685E-2,-3.916858854E0,6.914588617E0,3.602709884E0,8.725413316E0
6.300741667E-2,-4.618963273E0,7.443638842E0,7.401016733E0,1.146811360E1
7.295041671E-2,-7.421566772E0,7.258710122E0,5.629479375E0,1.180929990E1
8.289441699E-2,-6.562836496E0,7.141031983E0,9.033328378E-1,9.740696632E0
9.283841681E-2,-5.381447504E0,6.123781936E0,-1.289791692E0,8.253741276E0
1.027824166E-1,-3.358642425E0,4.472542269E0,-3.069614555E0,6.380176080E0
1.127254167E-1,-7.682413986E-1,2.855207682E0,-2.542127291E0,3.899335446E0
1.226694169E-1,1.712106843E0,9.989295512E-1,-3.098242523E0,3.678080589E0
1.326134168E-1,5.445108479E0,-2.527578834E0,-1.751079705E0,6.253330412E0
1.425564168E-1,9.863031907E0,-7.507222635E0,8.268764001E-1,1.242262109E1
1.525004166E-1,8.950662782E0,-1.191548880E1,1.420633668E0,1.497035195E1
1.624444169E-1,2.186518054E0,-1.166328670E1,1.778552848E0,1.199901529E1
1.723884167E-1,6.485977185E-1,-9.660993649E0,1.160294285E0,9.752013132E0
1.823314168E-1,1.894219252E0,-7.120933349E0,7.166850364E-1,7.403336800E0
1.922754170E-1,2.684518687E0,-3.356922759E0,9.860545671E-1,4.409974444E0
2.022194169E-1,2.409655112E0,-1.265583635E0,2.027033200E0,3.393671064E0
2.121624169E-1,2.130447349E0,-1.712446566E0,3.483931592E0,4.428211658E0
2.221064167E-1,1.374940309E0,-3.431920316E0,5.281501046E0,6.446921065E0
2.320504170E-1,1.459798903E0,-5.835278562E0,6.803196820E0,9.081022833E0
2.419944168E-1,1.649402764E0,-8.491724181E0,6.437704911E0,1.078304009E1
2.519374168E-1,1.599757857E0,-9.706852777E0,5.290375950E0,1.117006239E1
2.618814167E-1,5.604138127E-1,-9.578468971E0,4.446611330E0,1.057513517E1
2.718254169E-1,-2.115838373E0,-6.762951604E0,3.794922481E0,8.038390576E0
2.817684170E-1,-3.834937901E0,-3.266966270E0,1.553549358E0,5.271938251E0
2.917124168E-1,-4.742974239E0,-1.861128981E0,-1.181368527E0,5.230223448E0
3.016564166E-1,-5.065579745E0,-1.477006674E0,-3.338413398E0,6.243929122E0
3.115994167E-1,-5.820821321E0,-1.447896311E0,-5.332242014E0,8.025656950E0
3.215434169E-1,-7.008938704E0,-1.311146894E0,-6.069211627E0,9.363741651E0
3.314874168E-1,-8.137157795E0,-1.113860083E0,-5.737525980E0,1.001864390E1
3.414314170E-1,-8.404426421E0,-7.546983701E-1,-5.428548580E0,1.003359820E1
3.513744166E-1,-7.671758605E0,-4.550946414E-2,-5.166919593E0,9.249595088E0
3.613184169E-1,-8.133191628E0,6.371477008E-2,-4.952788709E0,9.522761240E0
3.712624167E-1,-9.279983815E0,1.914992362E-1,-4.612697982E0,1.036492905E1
3.812054168E-1,-9.847174258E0,1.055161055E0,-3.313863278E0,1.044327035E1
3.911494170E-1,-9.470226485E0,2.365916770E0,-1.945804850E0,9.953336543E0
4.010934168E-1,-8.018533577E0,3.781828226E0,-1.415424968E0,8.977891361E0
4.110374167E-1,-5.961359149E0,5.109516892E0,-8.860926148E-1,7.901273689E0
4.209804167E-1,-3.976019228E0,5.892140395E0,-8.368616903E-1,7.157260986E0
4.309244170E-1,-2.146448547E0,5.757034045E0,-1.506408228E0,6.326132161E0
4.408684168E-1,-6.614656860E-1,5.390420056E0,-2.175340809E0,5.850322458E0
4.508114168E-1,3.016993707E-1,5.019571513E0,-2.552017856E0,5.639141408E0
4.607554167E-1,1.507676197E0,4.459014736E0,-2.634122997E0,5.393932136E0
4.706994169E-1,2.804571964E0,3.542963619E0,-1.934610940E0,4.915377361E0
4.806434168E-1,3.534179055E0,2.227670465E0,1.604168996E-2,4.177702075E0
4.905864168E-1,1.995449173E0,-3.240398276E-1,2.078226743E0,2.899283636E0
5.005304166E-1,1.219712521E0,-3.281918769E0,2.705619534E0,4.424823895E0
5.104744169E-1,1.798638326E0,-4.825776660E0,4.371109450E0,6.754984679E0
5.204174169E-1,1.832284082E0,-5.077979350E0,6.131455237E0,8.169325710E0
5.303608333E-1,1.574274814E0,-3.717608256E0,6.727756044E0,7.846123484E0
5.403048336E-1,1.617571107E0,-1.485104483E0,6.805707030E0,7.151204079E0
5.502478336E-1,1.932737785E0,4.815345812E-1,6.386355833E0,6.689760214E0
5.601918334E-1,2.272375937E0,1.933373085E0,4.758130222E0,5.616175486E0
5.701358337E-1,2.554550578E0,3.048733563E0,2.905836384E0,4.925889776E0
5.800798335E-1,2.475881846E0,4.073329468E0,1.567485027E0,5.017869386E0
5.900228336E-1,2.397332105E0,5.151643742E0,1.044444716E0,5.777326305E0
