"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.006041653E-3,7.675011411E-2,1.844702983E-1,-8.352118984E-2,2.165540582E-1
8.938958403E-3,9.535917029E-2,1.987094378E-1,-2.475857288E-2,2.217922428E-1
1.888495823E-2,7.783638060E-2,1.694236583E-1,3.344592735E-2,1.894241489E-1
2.882995829E-2,5.203802660E-2,1.375089705E-1,7.579263255E-2,1.654122013E-1
3.877595812E-2,1.165510878E-2,9.546632051E-2,7.031510711E-2,1.191380468E-1
4.872195842E-2,4.714317620E-4,8.523135424E-2,5.808565557E-2,1.031433438E-1
5.866695801E-2,-8.090938479E-3,1.019175535E-1,4.668884754E-2,1.123943926E-1
6.861295830E-2,-1.831479505E-2,1.474755496E-1,4.635906458E-2,1.556715527E-1
7.855795836E-2,6.706463993E-3,1.984118146E-1,5.380081594E-2,2.056860535E-1
8.850395819E-2,3.558293849E-2,2.515945798E-1,5.208977446E-2,2.593825798E-1
9.844995802E-2,8.170533702E-2,2.558390737E-1,6.919858128E-2,2.773406522E-1
1.083949581E-1,1.701647928E-1,1.952473015E-1,9.641298473E-2,2.763567062E-1
1.183409584E-1,1.895866120E-1,1.098025239E-1,1.195759986E-1,2.495958676E-1
1.282859584E-1,1.837560609E-1,6.793002784E-2,8.681010246E-2,2.142819929E-1
1.382319583E-1,1.988262360E-1,1.782406747E-2,5.384160027E-2,2.067570734E-1
1.481769583E-1,2.125927743E-1,-7.562788725E-2,2.795056790E-2,2.273686418E-1
1.581229581E-1,2.578927620E-1,-2.348674500E-1,7.150560021E-3,3.488875553E-1
1.680689580E-1,2.948313774E-1,-3.832551652E-1,-3.800412431E-2,4.850302838E-1
1.780139580E-1,3.405586503E-1,-4.985032010E-1,-1.335635617E-1,6.183242360E-1
1.879599583E-1,3.980290326E-1,-5.037645257E-1,-2.597561234E-1,6.925886599E-1
1.979049584E-1,4.273286994E-1,-4.338435209E-1,-3.198546830E-1,6.878495738E-1
2.078509582E-1,4.486214814E-1,-3.982760775E-1,-3.717840976E-1,7.057680091E-1
2.177969581E-1,4.109662896E-1,-3.295022964E-1,-4.237440638E-1,6.760355658E-1
2.277419581E-1,3.841392642E-1,-1.917997831E-1,-5.125017276E-1,6.685866825E-1
2.376879584E-1,3.674431247E-1,1.772115648E-2,-6.351146239E-1,7.339612215E-1
2.476329580E-1,3.528679164E-1,2.190507317E-1,-7.391023842E-1,8.478038238E-1
2.575789583E-1,4.226854254E-1,3.418849450E-1,-7.834177007E-1,9.535678152E-1
2.675239583E-1,5.016022253E-1,3.488752913E-1,-7.507487221E-1,9.679578529E-1
2.774699582E-1,5.943237166E-1,2.548842233E-1,-6.274097478E-1,9.010158928E-1
2.874159580E-1,6.684801520E-1,6.857263684E-2,-4.888588035E-1,8.309938929E-1
2.973609581E-1,7.509655076E-1,-4.500952721E-2,-3.745786281E-1,8.404071631E-1
3.073069584E-1,8.811075711E-1,-1.863665503E-1,-3.751083858E-1,9.755969168E-1
3.172519584E-1,9.921767481E-1,-2.522728568E-1,-4.448943199E-1,1.116237990E0
3.271979582E-1,1.078442036E0,-2.839425462E-1,-5.455121836E-1,1.241468541E0
3.371439581E-1,1.068132226E0,-2.808025914E-1,-6.911786047E-1,1.302875439E0
3.470889581E-1,1.007131002E0,-3.202327055E-1,-8.680299810E-1,1.367602972E0
3.570349584E-1,9.529236585E-1,-5.482238299E-1,-9.961041766E-1,1.483521620E0
3.669799580E-1,8.794631879E-1,-9.297482193E-1,-1.054368318E0,1.658185696E0
3.769259583E-1,6.713103506E-1,-1.292781374E0,-1.077306945E0,1.811775792E0
3.868709584E-1,3.383345157E-1,-1.547228810E0,-1.112454413E0,1.935443633E0
3.968169582E-1,-7.728951976E-2,-1.658543424E0,-1.195203039E0,2.045788421E0
4.067629580E-1,-4.554897670E-1,-1.718114272E0,-1.291763374E0,2.197280181E0
4.167079581E-1,-7.494634310E-1,-1.797711250E0,-1.353400043E0,2.371740468E0
4.266539584E-1,-9.319510116E-1,-1.783866797E0,-1.406152161E0,2.455193951E0
