"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-5.439999513E-4,-6.192859188E-2,-7.467052263E-1,-1.041130661E0,1.282714660E0
9.401000105E-3,7.459146827E-1,-2.523541331E-1,-2.611079997E-1,8.296075638E-1
1.934662508E-2,1.571033848E0,9.751810849E-2,5.182796538E-1,1.657187658E0
2.929162513E-2,2.210614722E0,3.223283476E-1,1.180558687E0,2.526743324E0
3.923662473E-2,2.557714798E0,4.533702976E-1,1.736649946E0,3.124644404E0
4.918262502E-2,2.608030089E0,5.721506363E-1,2.158136254E0,3.433180652E0
5.912762508E-2,2.418715519E0,6.519388175E-1,2.320529805E0,3.414684108E0
6.907362491E-2,1.917571861E0,6.632432395E-1,2.119952766E0,2.934480051E0
7.901862497E-2,1.421690990E0,7.111085469E-1,1.799723861E0,2.401226065E0
8.896362502E-2,8.550194876E-1,3.033400995E-1,1.336995680E0,1.615744716E0
9.890962485E-2,1.138368103E-1,-7.276947588E-1,9.533382261E-1,1.204720820E0
1.088546249E-1,-4.169652405E-1,-2.026193540E0,6.997117388E-1,2.183784969E0
1.188006247E-1,-3.242941815E-1,-3.185137995E0,5.179893395E-1,3.243236612E0
1.287456248E-1,9.080690825E-1,-4.024463702E0,5.254673436E-1,4.158967838E0
1.386906249E-1,2.453938123E0,-4.968603088E0,7.069049835E-1,5.586460741E0
1.486366247E-1,3.323318226E0,-6.030796589E0,8.476378164E-1,6.937826850E0
1.585816247E-1,2.833168065E0,-6.724994988E0,7.018605906E-1,7.331098633E0
1.685276250E-1,1.497474267E0,-6.285673211E0,3.214155972E-1,6.469576871E0
1.784726251E-1,4.703795555E-1,-4.391684048E0,-1.276745385E-1,4.418647586E0
1.884176247E-1,8.849746272E-2,-1.936580282E0,-5.777312189E-1,2.022856483E0
1.983636250E-1,-7.911882117E-2,2.102898484E-1,-9.562182721E-1,9.822601449E-1
