"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.337750211E-3,-5.505219318E-2,-2.558197778E-1,7.484272313E-1,7.928542257E-1
1.328275027E-2,5.782918207E-2,-4.767351866E-2,8.146337923E-1,8.180740763E-1
2.322775032E-2,1.927472513E-1,1.120741671E-1,8.480392277E-1,8.768595404E-1
3.317275038E-2,2.527574448E-1,9.697665632E-2,8.342327821E-1,8.770605068E-1
4.311675020E-2,2.920348734E-1,-9.596567273E-2,7.806477284E-1,8.389902583E-1
5.306175025E-2,2.263971734E-1,-4.190711153E-1,6.907426947E-1,8.390481214E-1
6.300675031E-2,6.559158012E-2,-6.842166173E-1,5.375818974E-1,8.726104121E-1
7.295075012E-2,-8.743078440E-2,-7.814885581E-1,3.278007567E-1,8.519517853E-1
8.289575018E-2,-1.827838151E-1,-7.163757187E-1,1.155912673E-1,7.483083820E-1
9.284075024E-2,-2.519071135E-1,-4.779052144E-1,-5.671799183E-2,5.432011767E-1
1.027857503E-1,-2.561546771E-1,-1.633209193E-1,-1.533695430E-1,3.403103848E-1
1.127297501E-1,-1.928742821E-1,5.476034403E-2,-2.235416856E-1,3.002833149E-1
1.226747502E-1,-1.863271547E-1,1.485935372E-1,-1.434114423E-1,2.781450875E-1
1.326197502E-1,-1.282220571E-1,1.391070145E-1,3.842760891E-2,1.930500934E-1
1.425637500E-1,-3.752509117E-2,4.181870162E-2,2.228800732E-1,2.298531342E-1
1.525087501E-1,1.166066363E-2,-1.317944866E-1,3.354015523E-1,3.605550708E-1
1.624537501E-1,1.608656734E-2,-3.066928929E-1,3.639254397E-1,4.761943237E-1
1.723987502E-1,3.014385849E-3,-4.082830024E-1,2.548719442E-1,4.813146627E-1
1.823427500E-1,-2.901286080E-2,-4.447778141E-1,7.509111285E-2,4.520041209E-1
1.922877501E-1,-9.589229017E-2,-3.722372568E-1,-1.466154242E-1,4.114024663E-1
2.022327501E-1,-1.507350069E-1,-1.958887410E-1,-3.102108702E-1,3.966411793E-1
2.121767504E-1,-1.590827843E-1,1.384445250E-2,-4.723874894E-1,4.986471109E-1
2.221217500E-1,-1.926099879E-1,1.427498299E-1,-5.593806097E-1,6.085908214E-1
2.320667501E-1,-2.084244405E-1,1.360600305E-1,-4.944861639E-1,5.535970064E-1
2.420117501E-1,-2.771200881E-1,-3.650182843E-2,-3.575551906E-1,4.538431899E-1
2.519557504E-1,-2.207950292E-1,-3.923236120E-1,-2.498857310E-1,5.148894444E-1
2.619007500E-1,-2.293866355E-1,-8.443946582E-1,-2.225652006E-1,9.028598097E-1
2.718457500E-1,-2.507291188E-1,-1.265364949E0,-3.352229199E-1,1.332812047E0
2.817897503E-1,-2.837432293E-1,-1.610645957E0,-5.690682766E-1,1.731626207E0
2.917347504E-1,-1.905890440E-1,-1.863324611E0,-8.500983247E-1,2.056932169E0
3.016797504E-1,-8.856602132E-2,-2.007732126E0,-1.115109633E0,2.298325853E0
3.116247500E-1,3.367089897E-2,-1.992835760E0,-1.441976005E0,2.460045303E0
3.215687503E-1,2.501799191E-1,-1.791861110E0,-1.743611349E0,2.512675221E0
3.315137504E-1,6.372795555E-1,-1.448350055E0,-1.903997258E0,2.475691554E0
3.414587504E-1,8.504257688E-1,-1.084531034E0,-1.808167241E0,2.273521569E0
3.514027502E-1,9.352195320E-1,-6.924413109E-1,-1.573518769E0,1.957056938E0
3.613477503E-1,1.042672937E0,-2.412146026E-1,-1.349456389E0,1.722319332E0
3.712927504E-1,1.130964358E0,3.112145448E-1,-1.167251594E0,1.654814538E0
3.812377504E-1,1.253135790E0,9.949744946E-1,-1.042524345E0,1.909759294E0
3.911817502E-1,1.333918290E0,1.659528680E0,-9.123963144E-1,2.316428388E0
4.011267503E-1,1.239441903E0,2.279083863E0,-7.172750205E-1,2.691639452E0
4.110717503E-1,9.905311954E-1,2.776534565E0,-5.547744656E-1,2.999678474E0
4.210157502E-1,5.630574120E-1,3.126917853E0,-5.300936607E-1,3.221125300E0
4.309607502E-1,1.537299507E-1,3.407418144E0,-7.286475626E-1,3.487844402E0
4.409057503E-1,-1.340890072E-1,3.710154226E0,-1.186473438E0,3.897556088E0
4.508507503E-1,-2.608760114E-1,4.034776436E0,-1.730081769E0,4.397801736E0
4.607947501E-1,-4.231417275E-1,4.392452956E0,-2.289345142E0,4.971296921E0
4.707397502E-1,-5.792010628E-1,4.798102373E0,-2.783241321E0,5.577068451E0
4.806847502E-1,-7.436316374E-1,5.268419656E0,-3.088685249E0,6.152171182E0
4.906297503E-1,-9.378928059E-1,5.804815153E0,-3.142701827E0,6.667240557E0
5.005737501E-1,-1.181630628E0,6.542432052E0,-2.920890040E0,7.261629757E0
5.105187502E-1,-1.549034577E0,7.123663999E0,-2.350872468E0,7.659810588E0
5.204637502E-1,-1.896321764E0,7.440263245E0,-1.561505957E0,7.835295415E0
5.304077500E-1,-2.067011052E0,7.340279950E0,-8.019017726E-1,7.667808741E0
5.403527501E-1,-2.028070204E0,7.144017572E0,-1.658013082E-1,7.428158984E0
5.502977502E-1,-1.486540851E0,7.167812816E0,5.279784304E-1,7.339353206E0
5.602427502E-1,-7.430089089E-1,7.042799345E0,1.189759281E0,7.181128881E0
5.701867500E-1,-3.228551817E-1,6.395986782E0,1.829590269E0,6.660351562E0
5.801317501E-1,-2.802460827E-1,5.357151153E0,2.407709743E0,5.880023176E0
5.900767501E-1,1.751584612E-1,4.302506407E0,3.167566527E0,5.345626210E0
