"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.379041467E-3,-4.769382604E0,-2.605600571E0,3.991369046E0,6.742936424E0
1.132304128E-2,-4.751174959E0,-2.814674783E0,3.821967022E0,6.715913158E0
2.126704156E-2,-4.763113219E0,-3.138238648E0,4.045010233E0,6.992703135E0
3.121004160E-2,-4.473461452E0,-3.394511585E0,4.043689932E0,6.919970702E0
4.115379136E-2,-4.730983354E0,-3.447883800E0,3.829205875E0,6.995207204E0
5.109779164E-2,-5.073343678E0,-3.447528874E0,3.475342909E0,7.049984379E0
6.104079168E-2,-5.346155464E0,-3.341863255E0,3.017178479E0,6.989477394E0
7.098479150E-2,-5.302921152E0,-3.142876074E0,2.699340209E0,6.729419018E0
8.092879131E-2,-4.986081585E0,-2.888929160E0,2.309152000E0,6.207987131E0
9.087279160E-2,-4.902868690E0,-2.527453703E0,1.896283611E0,5.832841087E0
1.008157916E-1,-4.807646198E0,-2.371109682E0,1.571241278E0,5.586091858E0
1.107597915E-1,-4.898289151E0,-2.413975035E0,1.302483659E0,5.613998197E0
1.207037913E-1,-4.869036115E0,-2.434049696E0,1.124176326E0,5.558406519E0
1.306467913E-1,-4.746027655E0,-2.525046989E0,1.008455104E0,5.469700403E0
1.405907916E-1,-4.726472227E0,-2.758768970E0,9.635742156E-1,5.556871531E0
1.505347914E-1,-4.671941679E0,-2.984224741E0,9.352048409E-1,5.622032057E0
1.604777914E-1,-4.567360718E0,-3.052382226E0,8.935374360E-1,5.565629374E0
1.704217913E-1,-4.392706141E0,-2.980937437E0,8.548908488E-1,5.377052502E0
1.803657915E-1,-4.109444211E0,-2.742759878E0,7.581337555E-1,4.998502802E0
1.903087916E-1,-4.507471781E0,-2.806845362E0,5.737323081E-1,5.340866176E0
2.002527914E-1,-4.173754227E0,-2.600929230E0,5.213389901E-1,4.945386896E0
