"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.138749860E-3,1.482920548E0,7.916039488E-1,-1.373926109E0,2.171028124E0
1.308374992E-2,5.154004848E-1,4.802552104E-1,-3.170559498E-1,7.725329780E-1
2.302974975E-2,-2.004156554E-1,1.647453010E-1,5.671974234E-1,6.237149719E-1
3.297575004E-2,-5.932976764E-1,-8.985533237E-2,1.264814726E0,1.399940143E0
4.292174987E-2,-7.686913419E-1,-3.100269753E-1,1.638403859E0,1.836129165E0
5.286674993E-2,-6.834272432E-1,-4.283234569E-1,1.824652880E0,1.994966645E0
6.281274976E-2,-6.941182923E-1,-4.604708639E-1,1.775271975E0,1.960975320E0
7.275875006E-2,-5.814845467E-1,-2.814881775E-1,1.611243542E0,1.735933647E0
8.270474989E-2,-5.233801800E-1,-8.874026835E-3,1.121590687E0,1.237728254E0
9.265074972E-2,-3.507317823E-1,2.727176464E-1,6.727303469E-1,8.061971331E-1
1.025957498E-1,-2.145015979E-1,4.577785134E-1,2.347189307E-1,5.573733751E-1
1.125417501E-1,-8.231710196E-2,6.557161188E-1,-1.818624767E-1,6.854295691E-1
1.224877499E-1,2.842740834E-2,8.198430768E-1,-6.060498691E-1,1.019925111E0
1.324337497E-1,1.811444020E-1,8.151723209E-1,-8.249718889E-1,1.173838926E0
1.423787498E-1,2.769323194E-1,6.377774459E-1,-9.318766057E-1,1.162688947E0
1.523247501E-1,9.930677176E-2,2.305969360E-1,-9.529476321E-1,9.854673872E-1
1.622707499E-1,7.602023542E-2,-1.834622383E-1,-1.071412221E0,1.089661239E0
1.722167498E-1,1.548500580E-1,-5.101759976E-1,-1.059787956E0,1.186342531E0
1.821617498E-1,1.947052646E-1,-7.581078815E-1,-1.042602990E0,1.303709590E0
1.921077501E-1,1.049861723E-1,-9.300376564E-1,-1.079760876E0,1.428942157E0
2.020537499E-1,-1.046499574E-1,-1.041814785E0,-1.058999752E0,1.489231390E0
2.119997498E-1,-5.023132467E-1,-1.376636294E0,-7.764810026E-1,1.658423598E0
2.219457501E-1,-1.186055070E0,-1.819419330E0,-3.581033671E-1,2.201193165E0
2.318907501E-1,-2.111676325E0,-2.731028317E0,4.482007011E-1,3.481174577E0
2.418367499E-1,-2.917052513E0,-3.508897741E0,1.147721894E0,4.705191204E0
2.517827498E-1,-2.154355736E0,-3.023704264E0,1.232216499E0,3.911827401E0
2.617287501E-1,-2.734731066E0,-2.387402363E0,6.081875380E-1,3.680806451E0
2.716737501E-1,-3.847990056E0,-2.787523822E0,1.235929481E0,4.909667831E0
2.816197500E-1,-4.331929012E0,-3.069339151E0,2.146282486E0,5.726515546E0
2.915657498E-1,-3.996855488E0,-2.749103815E0,2.135742295E0,5.300360434E0
3.015117501E-1,-2.811293339E0,-2.125187778E0,1.664874204E0,3.897640240E0
3.114577499E-1,-1.654040483E0,-1.124175449E0,1.519278535E0,2.511538896E0
3.214027500E-1,-1.127958890E0,7.068406641E-2,1.106610194E0,1.581731208E0
3.313487498E-1,-6.540233499E-1,1.241233198E0,3.898211499E-1,1.456147974E0
3.412947501E-1,-9.995066714E-1,1.926973015E0,-2.856599466E-1,2.189484001E0
3.512407499E-1,-1.576736199E0,2.548312183E0,-7.387150061E-1,3.086371962E0
3.611857500E-1,-1.848946307E0,2.969647048E0,-9.308346319E-1,3.619925296E0
3.711317498E-1,-1.269607104E0,2.868799827E0,-4.518270712E-1,3.169552390E0
3.810777501E-1,6.396947479E-1,2.283139784E0,1.831921700E-1,2.378128679E0
3.910237500E-1,3.060832037E0,1.580592438E0,8.514048851E-1,3.548500457E0
4.009697498E-1,4.899823460E0,8.398110259E-1,1.732156945E0,5.264401218E0
4.109147498E-1,5.327664814E0,1.075881833E-1,1.688588172E0,5.589894239E0
4.208607501E-1,4.468909979E0,3.210559934E-2,1.341220293E0,4.665946747E0
4.308067500E-1,3.160953326E0,-2.429363152E-1,4.850008106E-1,3.207159143E0
4.407527498E-1,2.523012743E0,-3.068212393E-1,-4.944873333E-1,2.589256707E0
4.506977499E-1,2.480028691E0,-1.009510088E0,-1.515656769E0,3.076827647E0
4.606437501E-1,3.196610232E0,-1.358034546E0,-1.809546014E0,3.916252237E0
4.705897500E-1,2.774049498E0,-1.010057972E0,-1.725321550E0,3.419400851E0
4.805357498E-1,7.937513387E-1,-4.903112519E-1,-2.043116552E0,2.246056890E0
4.904807499E-1,-1.317078309E0,-4.904279038E-1,-2.188233919E0,2.600688848E0
5.004267497E-1,-1.960089598E0,-3.478947133E-1,-1.754393907E0,2.653465647E0
5.103727500E-1,-7.822697461E-1,5.601094651E-1,-1.107540997E0,1.467077240E0
5.203187498E-1,-1.199144062E0,1.609535571E0,-7.141356504E-1,2.130385168E0
5.302647501E-1,-2.440570511E0,1.913605695E0,-6.468435538E-1,3.168071615E0
5.402097497E-1,-2.603330682E0,2.099362673E0,-4.543298622E-1,3.375065910E0
5.501557500E-1,-1.159632672E0,2.301027001E0,2.761616564E-1,2.591474186E0
5.601017498E-1,-5.554270148E-2,2.251630016E0,1.139108945E0,2.523983342E0
5.700477501E-1,6.014609742E-1,2.457978841E0,1.613806962E0,3.001297752E0
5.799927497E-1,9.808815354E-1,2.859191098E0,1.771491165E0,3.503610034E0
5.899387500E-1,1.033681893E0,3.198287798E0,1.699579768E0,3.766445869E0
5.998847499E-1,8.149281996E-1,3.436504533E0,1.444948729E0,3.815959671E0
6.098307502E-1,5.036253619E-1,3.555448302E0,1.056210630E0,3.743051165E0
6.197767500E-1,1.807438678E-1,3.378272990E0,5.248624492E-1,3.423576687E0
6.297217500E-1,1.233879447E-1,2.952334320E0,6.380247831E-2,2.955600324E0
6.396677499E-1,4.503671676E-1,2.456679590E0,-6.873986721E-2,2.498565661E0
6.496137497E-1,3.646493250E-1,1.931813340E0,-9.032544851E-2,1.968001676E0
6.595597500E-1,5.159173787E-2,1.583282157E0,3.998910785E-2,1.584627157E0
6.695047501E-1,-3.899513966E-1,1.403285564E0,9.834606509E-2,1.459775467E0
6.794507499E-1,-8.884423184E-1,1.374122576E0,3.682460387E-2,1.636734144E0
6.893967497E-1,-1.237921627E0,1.337233077E0,-6.909186959E-2,1.823572303E0
6.993427500E-1,-1.240646430E0,1.336552753E0,-1.449524943E-1,1.829368211E0
7.092887498E-1,-1.066996404E0,1.309125803E0,-2.059600035E-1,1.701385088E0
7.192337499E-1,-7.753203303E-1,1.289048219E0,-1.813473370E-1,1.515141506E0
7.291797497E-1,-4.813077092E-1,1.435105819E0,-1.721531385E-1,1.523424604E0
