"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.857458338E-3,1.383659969E0,1.756880143E0,-3.505385903E0,4.157989066E0
1.580245839E-2,1.369399487E0,1.374251799E0,-3.688629748E0,4.167710688E0
2.574645821E-2,1.006933220E0,8.559744841E-1,-3.778001808E0,4.002487288E0
3.569045849E-2,5.020343345E-1,4.205872983E-1,-3.697131892E0,3.754692581E0
4.563445831E-2,6.374342144E-3,1.684565288E-1,-3.437477218E0,3.441608324E0
5.557845812E-2,-3.591801319E-1,3.225967348E-2,-3.129876544E0,3.150583793E0
6.552245840E-2,-7.185017663E-1,-5.117483139E-3,-2.746782178E0,2.839204696E0
7.546645822E-2,-1.152127186E0,-3.587734580E-2,-2.265670789E0,2.542036262E0
8.541045804E-2,-1.498764456E0,-4.662277400E-2,-1.850905417E0,2.382083004E0
9.535445832E-2,-1.615062359E0,3.562182248E-2,-1.390716535E0,2.131616246E0
1.052984581E-1,-1.414737628E0,1.488169008E-1,-8.811730599E-1,1.673348436E0
1.152424584E-1,-1.376110044E0,2.511221248E-1,-6.154428363E-1,1.528237894E0
1.251864582E-1,-1.530746386E0,3.659076458E-1,-3.782169119E-1,1.618678763E0
1.351304580E-1,-1.667185609E0,4.799985176E-1,-7.792511210E-2,1.736657351E0
1.450744583E-1,-1.625676225E0,6.131577444E-1,2.437525865E-1,1.754480245E0
1.550194584E-1,-1.619921103E0,6.556523842E-1,4.227417049E-1,1.797980806E0
1.649634582E-1,-1.684943018E0,6.707785463E-1,3.597980364E-1,1.848900067E0
1.749074585E-1,-1.703648553E0,7.525109267E-1,2.795966032E-1,1.883312334E0
1.848514583E-1,-1.667189994E0,7.685983711E-1,3.058563025E-1,1.861132454E0
1.947954581E-1,-1.685627435E0,7.514981890E-1,2.344476199E-1,1.860391105E0
2.047394584E-1,-1.582162123E0,7.552240348E-1,1.143197903E-1,1.756891955E0
2.146834582E-1,-1.438142278E0,6.503097832E-1,-3.614997223E-2,1.578753574E0
2.246274585E-1,-1.427351826E0,4.970601082E-1,-2.070547302E-1,1.525540445E0
2.345714583E-1,-1.337749678E0,4.249247628E-1,-4.603394477E-1,1.477175569E0
2.445154581E-1,-1.246136965E0,4.260766643E-1,-6.235773365E-1,1.457136697E0
2.544594584E-1,-1.168096224E0,2.839893240E-1,-7.393627314E-1,1.411295849E0
2.644034582E-1,-1.054098031E0,2.072212297E-1,-9.050400786E-1,1.404692436E0
2.743474580E-1,-1.018562455E0,2.012009364E-1,-1.050401860E0,1.476920905E0
2.842924581E-1,-1.108613084E0,3.118191469E-1,-1.021433730E0,1.539344346E0
2.942364584E-1,-1.159137705E0,3.783633846E-1,-8.617171808E-1,1.493089271E0
3.041804582E-1,-1.120417736E0,4.618943685E-1,-7.559702857E-1,1.428346381E0
3.141244585E-1,-1.178888138E0,6.258701760E-1,-5.072389412E-1,1.427859259E0
3.240684583E-1,-1.230388075E0,7.689000875E-1,-1.553662209E-1,1.459178132E0
3.340124581E-1,-1.233889680E0,8.619637871E-1,1.406933641E-1,1.511707622E0
3.439564584E-1,-1.208460723E0,9.920713520E-1,3.648029606E-1,1.605510538E0
3.539004582E-1,-1.154462856E0,1.134900704E0,5.759529345E-1,1.718285738E0
3.638444585E-1,-1.188339577E0,1.225264744E0,7.311732674E-1,1.856889601E0
3.737884583E-1,-1.177929195E0,1.310137079E0,8.341345489E-1,1.949296488E0
3.837324581E-1,-1.063609697E0,1.297621114E0,9.413363774E-1,1.923850389E0
3.936764584E-1,-9.703600556E-1,1.144412954E0,1.007228504E0,1.807149387E0
4.036214584E-1,-8.037968552E-1,8.789721680E-1,1.188784697E0,1.682822187E0
4.135654583E-1,-7.646857068E-1,6.479282123E-1,1.310048786E0,1.649479621E0
4.235094581E-1,-5.712174207E-1,4.447667044E-1,1.402990279E0,1.578761694E0
4.334534584E-1,-2.856975880E-1,3.364137053E-1,1.502010537E0,1.565513637E0
4.433974582E-1,-1.688670033E-1,3.030606025E-1,1.645418033E0,1.681595164E0
4.533414585E-1,-1.017740044E-1,1.990526694E-1,1.797076388E0,1.810928894E0
4.632857083E-1,-4.070860773E-2,-4.869970500E-2,1.911833843E0,1.912887214E0
4.732297082E-1,-6.592969537E-2,-3.576572245E-1,1.884649991E0,1.919419444E0
4.831737084E-1,-1.535104609E-1,-6.789050066E-1,1.996816982E0,2.114652579E0
4.931177082E-1,-5.563625693E-2,-9.227134341E-1,2.193551377E0,2.380370374E0
5.030617081E-1,1.685316655E-1,-1.027904844E0,2.260140492E0,2.488619363E0
5.130057083E-1,4.693647712E-1,-9.351767743E-1,2.269486828E0,2.499085703E0
5.229497082E-1,6.229319501E-1,-6.640443081E-1,2.193484573E0,2.374947079E0
5.328947082E-1,6.394491649E-1,-3.201999611E-1,2.127200682E0,2.244193840E0
5.428387080E-1,5.619659561E-1,7.689088583E-3,2.063513686E0,2.138680339E0
5.527827083E-1,3.764326340E-1,2.869567859E-1,2.083293940E0,2.136389329E0
5.627267081E-1,3.217453802E-1,4.431663215E-1,2.158997841E0,2.227372478E0
5.726707084E-1,3.519690531E-1,4.494900852E-1,2.293078004E0,2.363076445E0
5.826147082E-1,4.492041564E-1,3.310751975E-1,2.459996130E0,2.522494028E0
5.925587080E-1,6.445754188E-1,-2.761289120E-2,2.572291907E0,2.651966364E0
6.025027083E-1,7.619126648E-1,-4.270397007E-1,2.550471268E0,2.695881582E0
6.124467081E-1,7.899149805E-1,-7.744122577E-1,2.530757965E0,2.761958707E0
6.223907084E-1,8.185447025E-1,-9.388172507E-1,2.490600457E0,2.784687397E0
6.323347082E-1,8.403904849E-1,-1.027475658E0,2.315169954E0,2.668702740E0
6.422787081E-1,1.031863409E0,-1.176350446E0,1.941516502E0,2.493597561E0
6.522227083E-1,1.409342694E0,-1.451254951E0,1.442432088E0,2.484551889E0
6.621677084E-1,1.935709632E0,-1.762733790E0,8.527462363E-1,2.753430286E0
6.721117082E-1,2.437503646E0,-2.129930747E0,1.914869571E-1,3.242637239E0
6.820557085E-1,2.808706530E0,-2.599654537E0,-4.512916124E-1,3.853660624E0
6.919997083E-1,2.964132539E0,-3.007580275E0,-1.083496077E0,4.359539490E0
7.019437081E-1,2.920167909E0,-3.462701814E0,-1.602083294E0,4.804618127E0
7.118877084E-1,2.865303485E0,-3.882319643E0,-2.199184585E0,5.302714655E0
7.218317082E-1,2.486612071E0,-4.101406628E0,-2.670677158E0,5.489744293E0
7.317757085E-1,1.793186089E0,-4.006405746E0,-2.957221130E0,5.292632631E0
7.417197083E-1,7.419292206E-1,-3.366229187E0,-3.243427134E0,4.733051603E0
7.516637081E-1,-5.239537919E-1,-2.474638143E0,-3.454570091E0,4.281637073E0
7.616077084E-1,-1.697293507E0,-1.618281836E0,-3.297565334E0,4.046427867E0
7.715517082E-1,-2.329842373E0,-7.156442320E-1,-3.263034017E0,4.072800406E0
7.814957080E-1,-2.686833014E0,1.831804025E-1,-3.285908325E0,4.248508000E0
7.914407081E-1,-2.440342469E0,1.059919519E0,-3.245085404E0,4.196341267E0
8.013847084E-1,-1.738762545E0,1.701238623E0,-3.106131002E0,3.945321006E0
8.113287082E-1,-1.089086015E0,1.947784717E0,-2.855145117E0,3.623786320E0
8.212727085E-1,-3.970165873E-1,1.919513429E0,-2.559054980E0,3.223494434E0
8.312167083E-1,2.657828486E-1,1.781247244E0,-2.091178325E0,2.759802358E0
8.411607081E-1,8.479871875E-1,1.526643687E0,-1.537383853E0,2.326644006E0
8.511047084E-1,1.235993800E0,1.153427022E0,-9.627370405E-1,1.945491501E0
8.610487082E-1,1.402084545E0,7.936431652E-1,-3.633915889E-1,1.651594379E0
8.709927085E-1,1.266009312E0,4.970729721E-1,1.082296228E-1,1.364395386E0
8.809367083E-1,1.050913053E0,2.731304598E-1,5.080505347E-1,1.198805171E0
8.908807081E-1,6.351982391E-1,2.019984967E-1,6.986066151E-1,9.655730931E-1
9.008247084E-1,2.133134437E-1,3.033161259E-1,6.537958932E-1,7.516331335E-1
9.107697085E-1,-2.639819062E-1,4.696144474E-1,4.444655728E-1,6.984080622E-1
9.207137083E-1,-6.871536738E-1,5.782095212E-1,2.012857211E-1,9.203381787E-1
9.306577081E-1,-9.304136324E-1,6.509389436E-1,-1.782700935E-2,1.135653485E0
9.406017084E-1,-1.037424111E0,7.528442180E-1,-1.396081392E-1,1.289384983E0
9.505457082E-1,-1.068959314E0,8.313232076E-1,-1.588922564E-1,1.363458485E0
9.604897085E-1,-1.037783715E0,8.962039125E-1,-1.024736238E-1,1.375019031E0
9.704337083E-1,-9.746144897E-1,9.516764474E-1,-1.111203035E-2,1.362235274E0
9.803777081E-1,-7.786023724E-1,9.998604280E-1,7.508409619E-2,1.269480268E0
9.903217084E-1,-6.694547367E-1,1.030328515E0,1.041716552E-1,1.233125389E0
1.000265708E0,-3.368218410E-1,1.128003328E0,7.356615901E-2,1.179513646E0
1.010209708E0,5.114968836E-2,1.253781030E0,7.825213591E-2,1.257261532E0
1.020153708E0,2.848570508E-1,1.401220912E0,-2.535703540E-2,1.430107186E0
1.030098708E0,3.910804939E-1,1.586660678E0,-3.442840576E-2,1.634509522E0
1.040042708E0,5.598118418E-1,1.864315714E0,9.688021380E-2,1.948960788E0
1.049986708E0,5.886672664E-1,2.105649599E0,2.504620107E-1,2.200686394E0
1.059930708E0,4.712996149E-1,2.265137669E0,3.571128853E-1,2.341047116E0
1.069874708E0,4.976506770E-1,2.355950775E0,5.206945539E-1,2.463591498E0
1.079818708E0,5.680973464E-1,2.366715499E0,6.660434711E-1,2.523428373E0
1.089762708E0,6.033981568E-1,2.243553257E0,7.924672902E-1,2.454714843E0
1.099706708E0,5.909564513E-1,2.068587608E0,9.901908875E-1,2.368282545E0
1.109650708E0,5.142035598E-1,1.709146398E0,1.276936004E0,2.194573368E0
1.119594708E0,5.418228829E-1,1.357651554E0,1.544955997E0,2.126894170E0
1.129538708E0,5.640130663E-1,1.031689746E0,1.869455416E0,2.208474140E0
1.139482708E0,4.394773132E-1,7.150378758E-1,2.098282692E0,2.259913655E0
1.149426708E0,2.375741261E-1,5.863523537E-1,2.261098412E0,2.347938794E0
1.159371708E0,-1.693996847E-2,5.514216721E-1,2.364985893E0,2.428479173E0
1.169315708E0,-2.794700110E-1,6.285084397E-1,2.379002838E0,2.476445204E0
1.179259708E0,-5.616811967E-1,7.587721252E-1,2.264659367E0,2.453549052E0
1.189203708E0,-8.792037177E-1,7.726902527E-1,2.176091591E0,2.470915623E0
1.199147708E0,-1.044812652E0,6.317401958E-1,2.118674272E0,2.445303627E0
1.209091708E0,-1.015655512E0,3.625875968E-1,2.050346049E0,2.316666744E0
1.219035708E0,-7.884239405E-1,6.613551736E-2,1.949690909E0,2.104110467E0
1.228979708E0,-4.928062588E-1,-2.257516408E-1,1.820154033E0,1.899153105E0
1.238923708E0,-1.967517900E-1,-4.429868120E-1,1.656862350E0,1.726308613E0
1.248867708E0,7.183889151E-3,-5.875007468E-1,1.424356005E0,1.540778623E0
1.258811708E0,2.147395796E-1,-6.225752699E-1,1.132065389E0,1.309688932E0
1.268755708E0,2.594976765E-1,-5.234474230E-1,8.915226316E-1,1.065902834E0
1.278700708E0,1.736482716E-1,-3.135481685E-1,7.332127762E-1,8.161293717E-1
1.288644708E0,-7.249377966E-3,-1.546606082E-1,8.143779767E-1,8.289655880E-1
1.298588708E0,-1.943058997E-1,-1.356577420E-1,1.155877590E0,1.179919832E0
1.308532708E0,-2.922467619E-1,-1.146913809E-1,1.511383624E0,1.543645925E0
1.318476708E0,-1.198831236E-1,-6.387381434E-2,1.739944267E0,1.745238631E0
1.328420708E0,8.309244275E-2,-8.810526073E-2,1.846819675E0,1.850786266E0
1.338364708E0,3.137025350E-1,-2.717709821E-1,1.836450223E0,1.882768750E0
1.348308708E0,7.483173037E-1,-7.425618893E-1,1.733312355E0,2.028730802E0
1.358252708E0,1.148375612E0,-1.390974836E0,1.547235242E0,2.376449965E0
1.368196708E0,1.517740132E0,-2.273532516E0,1.237074366E0,3.000472996E0
1.378140708E0,1.853498949E0,-3.334393437E0,7.213663173E-1,3.882525893E0
1.388084708E0,2.166599221E0,-4.376739149E0,-1.250599743E-2,4.883661963E0
1.398029708E0,2.573467197E0,-5.172760377E0,-8.616889679E-1,5.841463105E0
1.407973708E0,3.069330965E0,-5.661413358E0,-1.801791437E0,6.687215128E0
1.417917708E0,3.329557790E0,-5.516014155E0,-2.893471277E0,7.062899069E0
1.427861708E0,3.245963071E0,-4.292096025E0,-3.917325754E0,6.656110396E0
1.437805708E0,2.666989319E0,-2.300846030E0,-4.482712916E0,5.701003383E0
1.447749708E0,1.883616203E0,-4.066697556E-1,-4.121780666E0,4.549996280E0
1.457693708E0,1.116595995E0,1.316662572E0,-3.697459921E0,4.080636814E0
1.467640583E0,4.443696785E-1,2.565192218E0,-2.909621286E0,3.904301673E0
