"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.196582966E-3,-3.118880563E0,1.975132729E0,-4.304392719E0,5.670657982E0
7.747416850E-3,-2.919231770E0,2.594228321E0,-4.281836500E0,5.795348007E0
1.769041689E-2,-2.361453590E0,2.314473551E0,-2.029058530E0,3.879475402E0
2.763341693E-2,-1.819003154E0,1.737661514E0,8.884505045E-1,2.667880116E0
3.757741675E-2,-1.257789004E0,1.252995164E0,3.237451279E0,3.692305627E0
4.752041679E-2,-5.398532483E-1,8.845357937E-1,4.250225283E0,4.374729712E0
5.746341683E-2,2.023458213E-1,5.525554472E-1,3.824159728E0,3.869167738E0
6.740641687E-2,4.540026739E-1,8.976224470E-1,2.682052331E0,2.864480615E0
7.735041669E-2,3.955531023E-1,1.893643008E0,1.300677015E0,2.331117071E0
8.729312522E-2,-5.756823546E-1,3.497748270E0,-8.306788445E-2,3.545779661E0
9.723612526E-2,-1.838867169E0,5.028372157E0,-9.743285608E-1,5.441991838E0
1.071791253E-1,-2.526043940E0,6.187898995E0,-7.836531973E-1,6.729420799E0
1.171231251E-1,-2.837802568E0,6.999270918E0,1.279823944E-1,7.553760407E0
1.270661252E-1,-3.133626949E0,7.442438993E0,1.204560338E0,8.164587046E0
1.370091252E-1,-3.266217534E0,7.830525128E0,2.252222485E0,8.778257622E0
1.469521252E-1,-3.273449955E0,8.226106224E0,2.981185359E0,9.341935793E0
1.568961251E-1,-3.159689451E0,8.613947361E0,3.460940632E0,9.806214184E0
1.668391251E-1,-3.093280576E0,8.820047094E0,3.679931138E0,1.004507385E1
1.767821251E-1,-2.899315569E0,8.770182624E0,3.787145976E0,9.983216349E0
1.867251252E-1,-2.540645899E0,8.349438620E0,3.820389736E0,9.526981925E0
1.966691250E-1,-2.126507202E0,7.544829587E0,3.692023764E0,8.664728839E0
2.066121250E-1,-1.807988316E0,6.537832632E0,3.469907337E0,7.619208240E0
2.165551251E-1,-1.576100607E0,5.663649918E0,2.974733833E0,6.588631489E0
2.264991254E-1,-1.542523263E0,4.962910239E0,2.374324042E0,5.713779022E0
2.364421249E-1,-1.504764284E0,4.403839824E0,1.652507051E0,4.938511952E0
2.463851250E-1,-1.530383859E0,3.823231190E0,9.124642883E-1,4.218028280E0
2.563281250E-1,-1.673163510E0,3.133190162E0,4.587409651E-1,3.581452218E0
2.662721253E-1,-2.021466359E0,2.429029861E0,3.743634506E-1,3.182241395E0
2.762151253E-1,-2.498986534E0,1.832872896E0,5.190421307E-1,3.142254204E0
2.861581249E-1,-3.059013553E0,1.543298312E0,8.292103162E-1,3.525184158E0
2.961011250E-1,-3.480081785E0,1.687063803E0,9.132415295E-1,3.973809708E0
3.060451252E-1,-2.986368915E0,1.839139357E0,4.718072994E-1,3.538846564E0
3.159881253E-1,-1.543095706E0,1.487288418E0,3.567526603E-1,2.172658200E0
3.259311253E-1,-8.807979611E-1,4.020381761E-1,6.499226975E-1,1.166121459E0
3.358741254E-1,-2.176459673E0,-1.142124354E0,-3.425334013E-1,2.481683679E0
3.458181252E-1,-3.841264296E0,-3.322030084E0,-8.834170751E-1,5.154766823E0
3.557611252E-1,-5.133132627E0,-5.544937992E0,-7.670047125E-1,7.594977560E0
3.657041253E-1,-5.846590000E0,-7.349132634E0,-1.657618979E0,9.536250091E0
3.756471253E-1,-5.005822955E0,-8.577570078E0,-2.786587683E0,1.031494270E1
3.855911251E-1,-3.288247211E0,-8.252656091E0,-3.186871694E0,9.437958120E0
3.955341252E-1,-1.829553140E0,-6.551848408E0,-3.232900976E0,7.531641984E0
4.054771252E-1,-8.289188325E-1,-4.690010744E0,-2.938363860E0,5.596185253E0
