"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.000541892E-3,-8.384918940E0,6.246457690E0,-4.566684780E0,1.140963230E1
7.943457924E-3,-1.264499444E1,1.765182019E0,-2.609941661E1,2.905497030E1
1.788745821E-2,-1.235440069E1,-8.413275012E0,-4.646911853E1,4.881386473E1
2.783145802E-2,1.600114683E0,-1.016778762E1,-3.080671055E0,1.074405911E1
3.777545830E-2,1.014205636E1,-1.014739136E1,1.468489386E1,2.052990419E1
4.771945812E-2,1.349678524E1,-1.439598059E1,1.684939159E1,2.594820738E1
5.766345793E-2,1.116805560E1,-1.819430147E1,1.509668285E1,2.614704391E1
6.760745822E-2,7.417097161E0,-1.882247721E1,9.712312907E0,2.244165770E1
7.755145803E-2,6.822216058E0,-1.366739179E1,3.858307468E0,1.575521396E1
8.749545831E-2,7.166886617E0,-6.295638036E0,2.695812730E-1,9.543164890E0
9.743945813E-2,7.656022578E0,-9.742712581E-1,-1.742402437E0,7.912006854E0
1.073834579E-1,7.795869266E0,1.871551058E0,-3.810632780E0,8.876891525E0
1.173274582E-1,6.287175361E0,3.910802600E0,-6.829929121E0,1.007327567E1
1.272714580E-1,1.734246448E0,4.318620164E0,-1.067742041E1,1.164754899E1
1.372154583E-1,-4.604675602E0,1.771715698E0,-1.404096339E1,1.488256250E1
1.471594581E-1,-5.877982532E0,-2.656974792E0,-1.285704489E1,1.438449849E1
1.571034580E-1,-1.224827226E-1,-7.198500173E0,-8.132820915E0,1.086168416E1
1.670474582E-1,5.540146199E0,-9.356155493E0,-3.483781611E0,1.141786319E1
1.769914581E-1,7.677988814E0,-9.220245152E0,-1.689974328E-1,1.199970804E1
1.869354583E-1,5.901618147E0,-7.339663653E0,2.050715593E0,9.638734032E0
1.968794581E-1,1.856945883E0,-3.552337875E0,3.838294787E0,5.549762091E0
2.068234580E-1,-1.818239947E0,1.376341009E-1,3.538332624E0,3.980544864E0
2.167674582E-1,-3.421470172E0,2.277070082E0,2.685824955E0,4.909700804E0
2.267114581E-1,-3.391311988E0,3.435909287E0,3.189955516E0,5.786387977E0
2.366554583E-1,-3.481242750E0,3.634256197E0,4.383286861E0,6.673834947E0
2.465994582E-1,-3.515479952E0,3.796829842E0,5.133247232E0,7.288672258E0
2.565434580E-1,-3.653269881E0,4.478297684E0,4.759148222E0,7.486723099E0
2.664874583E-1,-3.946689009E0,4.232500618E0,4.403612952E0,7.272016409E0
2.764314581E-1,-4.006741376E0,3.605027136E0,3.725818917E0,6.552245699E0
2.863764581E-1,-4.556113014E0,2.847536135E0,3.057768681E0,6.181955770E0
2.963204579E-1,-5.138869915E0,2.353755146E0,2.463868157E0,6.165938175E0
3.062644582E-1,-5.650854456E0,2.141895905E0,2.259168831E0,6.451644594E0
3.162084580E-1,-6.073153235E0,2.043259808E0,2.574641318E0,6.905568679E0
3.261524583E-1,-6.271507747E0,2.084591437E0,2.789325349E0,7.173399946E0
3.360964581E-1,-6.137361510E0,2.214687307E0,2.957294805E0,7.163633068E0
3.460404580E-1,-5.713853527E0,2.535688337E0,2.986424464E0,6.927955583E0
3.559844582E-1,-4.805038048E0,2.817891921E0,2.459831239E0,6.089308273E0
3.659284580E-1,-3.642296119E0,3.120787048E0,1.888927814E0,5.154966644E0
3.758724583E-1,-2.547474570E0,3.330223203E0,1.823727851E0,4.572307572E0
3.858164581E-1,-1.869843671E0,3.161025832E0,1.972112643E0,4.168648215E0
3.957604580E-1,-1.615060897E0,2.764084089E0,2.100663679E0,3.829016903E0
4.057044582E-1,-1.393279808E0,2.233692513E0,2.179548465E0,3.417753996E0
4.156484581E-1,-9.805599385E-1,1.520422835E0,2.123822161E0,2.789946946E0
4.255924583E-1,-5.686928853E-1,7.275205117E-1,2.031591690E0,2.231605361E0
4.355364582E-1,-2.644172314E-1,6.145657539E-2,1.976328485E0,1.994885376E0
4.454804580E-1,-3.298355877E-2,-5.268575191E-1,1.687385400E0,1.768031744E0
4.554244583E-1,1.534958428E-1,-9.535428786E-1,1.184517837E0,1.528361051E0
4.653684581E-1,4.017814833E-1,-1.325549755E0,7.941963118E-1,1.596639689E0
4.753124584E-1,7.604941303E-1,-1.633194575E0,4.202247709E-1,1.849936404E0
4.852564582E-1,1.252817117E0,-1.735519094E0,4.884456977E-2,2.141019161E0
4.952004580E-1,1.715162890E0,-1.422825789E0,-1.116063899E-1,2.231294008E0
5.051444583E-1,1.814507961E0,-3.191860539E-1,-3.695674181E-1,1.879068640E0
5.150884581E-1,9.145744023E-1,8.399051660E-1,-4.927325839E0,5.081380417E0
5.250324584E-1,-1.917302012E-1,9.912860709E-1,-1.171180689E1,1.175524688E1
5.349764582E-1,8.931613138E-1,1.150247306E0,-1.086642815E1,1.096357910E1
5.449204580E-1,3.073115868E0,5.865757173E-1,-7.018863183E0,7.684565869E0
5.548644583E-1,3.170816117E0,-1.051129984E0,-4.167943264E0,5.341413684E0
5.648084581E-1,3.027951390E0,-2.082616248E0,-2.514649470E0,4.453003707E0
5.747524584E-1,2.634692808E0,-2.578415696E0,-1.064381821E0,3.837022590E0
5.846964582E-1,1.927918510E0,-2.457925631E0,6.970135412E-1,3.200639946E0
5.946404580E-1,1.298809853E0,-2.038798968E0,2.489091291E0,3.469752688E0
6.045844583E-1,1.111133819E0,-1.563298713E0,3.050654958E0,3.603472895E0
6.145284581E-1,1.585324005E0,-1.227415935E0,2.721493262E0,3.380285144E0
6.244724584E-1,2.313296214E0,-1.066820403E0,1.392343669E0,2.903113163E0
6.344164582E-1,3.419185665E0,-1.210757217E0,-5.054546633E-1,3.662273620E0
6.443604580E-1,4.538676910E0,-1.371166223E0,-1.692080129E0,5.034165280E0
6.543044583E-1,5.456510550E0,-1.431719404E0,-2.325249385E0,6.101648345E0
6.642484581E-1,6.483411427E0,-1.442596394E0,-2.597260395E0,7.131722768E0
6.741924579E-1,7.547741500E0,-1.497398254E0,-2.518044949E0,8.096366694E0
