"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.747958224E-3,1.272351202E-1,-1.511739135E-1,5.211038589E-3,1.976600184E-1
1.369295828E-2,1.575160959E-1,-2.522225708E-1,-4.062758725E-2,3.001302160E-1
2.363795834E-2,1.358410522E-1,-2.851915115E-1,-8.577978652E-2,3.273303553E-1
3.358295839E-2,1.288524601E-1,-2.324806166E-1,-1.257853031E-1,2.940614494E-1
4.352895822E-2,8.389994323E-2,-1.550289828E-1,-1.414406018E-1,2.260058181E-1
5.347395828E-2,6.433077425E-2,-1.509634137E-2,-1.485789557E-1,1.626101292E-1
6.341895834E-2,3.260699809E-2,6.205649972E-2,-1.811222192E-1,1.942150451E-1
7.336395839E-2,-9.024475694E-2,6.310315132E-2,-1.938539100E-1,2.229472186E-1
8.330895798E-2,-1.952402848E-1,1.137341917E-1,-2.046092419E-1,3.048264704E-1
9.325395804E-2,-3.096053910E-1,2.095940298E-1,-2.169082753E-1,4.322433983E-1
1.031989581E-1,-3.836144766E-1,2.220567852E-1,-2.246593444E-1,4.969316890E-1
1.131449584E-1,-3.639684168E-1,1.037518251E-1,-2.245915532E-1,4.400895538E-1
1.230899580E-1,-2.735432732E-1,-2.386482596E-2,-2.261562681E-1,3.557275781E-1
1.330349580E-1,-9.553502530E-2,-4.786413789E-2,-2.541387033E-1,2.756889503E-1
1.429799581E-1,6.552039027E-2,-4.878858268E-2,-3.074676124E-1,3.181345314E-1
1.529249582E-1,1.402390355E-1,-3.858869970E-2,-3.948788452E-1,4.208151343E-1
1.628699582E-1,1.468019503E-1,1.766209960E-2,-4.541777980E-1,4.776402774E-1
1.728149583E-1,1.099548438E-1,6.491695762E-2,-4.778391774E-1,4.946054575E-1
1.827609581E-1,-2.470770210E-2,1.547863233E-1,-4.474196227E-1,4.740818444E-1
1.927059582E-1,-1.152822420E-1,2.571406639E-1,-3.078571101E-1,4.173575404E-1
2.026509582E-1,-1.255280256E-1,2.782725012E-1,-9.992774606E-2,3.212139857E-1
2.125959583E-1,-8.658586174E-2,1.977423084E-1,1.894837375E-1,2.872337354E-1
2.225409583E-1,-7.287998825E-2,1.548734468E-1,5.101672633E-1,5.381151492E-1
2.324859584E-1,-5.796608001E-2,2.519360572E-1,7.666693747E-1,8.090820561E-1
2.424319582E-1,-4.000284880E-2,3.839743727E-1,8.986772847E-1,9.780886508E-1
2.523769583E-1,-3.579256117E-2,3.974498659E-1,9.355802321E-1,1.017132181E0
2.623219583E-1,-2.611220330E-2,2.302844024E-1,8.455260944E-1,8.767138242E-1
2.722669584E-1,2.499099970E-2,-5.657005727E-2,6.408150744E-1,6.437924208E-1
2.822119580E-1,7.265896350E-2,-3.154777497E-1,3.378193760E-1,4.678968544E-1
