"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.850570831E-2,-9.849272239E0,-1.253326117E0,1.602628138E1,1.885260419E1
2.845170861E-2,-1.101291610E1,-2.607548279E-1,1.351046422E1,1.743229639E1
3.839770844E-2,-9.449797482E0,2.972320980E-1,9.563819942E0,1.344818468E1
4.834470851E-2,-7.842654008E0,1.612990106E0,6.126120238E0,1.008158262E1
5.829070834E-2,-6.141273297E0,3.328104172E0,4.267553506E0,8.185568277E0
6.823670864E-2,-3.614468050E0,5.782669993E0,3.666660882E0,7.742612838E0
7.818270847E-2,-1.632006420E0,8.910466683E0,1.584909437E0,9.196292698E0
8.812870830E-2,7.756506979E-2,9.746395158E0,1.178654834E0,9.817711654E0
9.807470860E-2,1.204927543E0,9.061237139E0,1.376287946E0,9.244027119E0
1.080207084E-1,2.739952045E0,7.942974687E0,1.262686340E0,8.496620556E0
1.179667083E-1,2.905756277E0,6.388469601E0,1.706833678E0,7.222828019E0
1.279127086E-1,2.611281141E0,4.852157543E0,3.104977492E-1,5.518933853E0
1.378597086E-1,2.063187119E0,3.427229095E0,-3.275456719E-1,4.013717295E0
1.478057085E-1,7.909709877E-1,2.678466818E0,1.284961454E-1,2.795770173E0
1.577517083E-1,-6.250217450E-1,2.687439371E0,8.110590971E-1,2.875899757E0
1.676977086E-1,-1.459095190E0,3.057445330E0,1.591478784E0,3.742958114E0
1.776437084E-1,-1.884880079E0,3.571051304E0,2.195429503E0,4.596203981E0
1.875897083E-1,-2.144282153E0,4.116974255E0,2.412762322E0,5.231524156E0
1.975357085E-1,-2.362912762E0,4.529238626E0,2.187688959E0,5.557278312E0
2.074817084E-1,-2.197492108E0,5.136225804E0,1.614032664E0,5.815057052E0
2.174277087E-1,-1.712409144E0,5.979669120E0,5.403142282E-1,6.243454759E0
2.273737085E-1,-1.264388464E0,6.590699648E0,-4.214053237E-1,6.724104586E0
2.373207086E-1,-1.031921004E0,6.759271367E0,-1.022799640E0,6.913662522E0
2.472667084E-1,-1.036639122E0,6.354568614E0,-1.748649602E0,6.671801734E0
2.572127087E-1,-1.072398062E0,5.347316721E0,-2.707714591E0,6.088969701E0
2.671587085E-1,-1.180706914E0,3.903420491E0,-3.987829142E0,5.703818160E0
2.771047084E-1,-1.072961149E0,2.078985127E0,-5.103737504E0,5.614406585E0
2.870507087E-1,-5.178721029E-1,-1.703369933E-1,-5.049164271E0,5.078510219E0
2.969967085E-1,9.600163311E-1,-2.782641982E0,-3.653981194E0,4.692153698E0
3.069427083E-1,3.096138110E0,-4.941949140E0,-1.057641882E0,5.926848982E0
3.168887086E-1,4.491312416E0,-6.014337847E0,1.077261630E0,7.583181362E0
3.268347085E-1,4.672441323E0,-7.279708058E0,1.937250227E0,8.864468161E0
3.367817085E-1,4.493191127E0,-8.597040721E0,1.927586095E0,9.890068949E0
3.467277084E-1,4.277638492E0,-9.374484175E0,1.050271978E0,1.035771287E1
3.566737087E-1,3.908467807E0,-9.172057663E0,-7.071470582E-1,9.995139785E0
3.666197085E-1,2.988109924E0,-7.395539646E0,-2.617764534E0,8.394968656E0
3.765657083E-1,2.198440234E0,-4.555044728E0,-4.237228092E0,6.598156852E0
3.865117086E-1,1.888614988E0,-1.637873517E0,-4.223531574E0,4.907923714E0
3.964577084E-1,6.795677885E-1,2.046794450E-1,-2.327166102E0,2.432983379E0
4.064037083E-1,-1.183691626E0,8.211706871E-1,-6.763392484E-1,1.591503045E0
4.163497086E-1,-2.924736339E0,7.558268827E-1,1.835745779E-1,3.026393324E0
4.262957084E-1,-4.855098985E0,9.005893242E-1,-9.456804201E-2,4.938824799E0
4.362427085E-1,-7.016552364E0,1.093191930E0,-1.478121153E0,7.253407324E0
4.461887083E-1,-8.106990255E0,8.715473735E-1,-3.017562057E0,8.694168539E0
4.561344166E-1,-6.752322536E0,-5.201074934E-1,-2.538103237E0,7.232312180E0
4.660804169E-1,-3.207982189E0,-3.597112345E0,3.965757803E-1,4.836076850E0
4.760264168E-1,9.135724819E-1,-6.877969844E0,3.656356333E0,7.842832747E0
4.859724166E-1,2.850120605E0,-7.322497982E0,4.504009645E0,9.056945790E0
4.959184169E-1,1.932639844E0,-4.527983229E0,3.332468534E0,5.945004240E0
5.058644167E-1,1.358856080E0,-1.167856196E0,1.573118527E0,2.384340546E0
5.158104170E-1,1.998764836E0,2.114026905E0,-1.838696723E0,3.441653130E0
5.257564168E-1,2.756161989E0,5.105975819E0,-4.456338465E0,7.316171846E0
5.357024167E-1,2.770640864E0,6.903393538E0,-3.617357744E0,8.271551861E0
5.456494167E-1,1.567999582E0,7.317443064E0,-1.907211180E-1,7.485984921E0
5.555954170E-1,1.649321195E-1,6.723574115E0,3.636803244E0,7.645913243E0
5.655414169E-1,-3.344642437E-1,5.900755683E0,5.461499394E0,8.047282746E0
5.754874167E-1,-2.167317259E-1,5.073783973E0,5.721705168E0,7.650370349E0
5.854334170E-1,-7.377724349E-1,4.247954809E0,5.787066514E0,7.216617426E0
5.953794168E-1,-1.976186398E0,2.974751667E0,5.717994525E0,6.741655698E0
