"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.696750056E-3,-1.659935646E0,-7.760810530E-1,-4.596847057E-2,1.832976064E0
8.247249760E-3,-1.500400214E0,-1.178634953E0,1.959115452E-1,1.918010034E0
1.819224982E-2,-1.237098924E0,-1.457117954E0,5.353459221E-1,1.984994140E0
2.813625010E-2,-9.301698035E-1,-1.494636029E0,9.822788738E-1,2.015942586E0
3.808125015E-2,-6.210894924E-1,-1.156334842E0,1.366770725E0,1.894973520E0
4.802524997E-2,-4.649992400E-1,-5.784007251E-1,1.631895908E0,1.792723054E0
5.796924978E-2,-4.887342578E-1,8.354677141E-2,1.649342976E0,1.722258253E0
6.791424984E-2,-6.219800234E-1,6.378978986E-1,1.482001804E0,1.729191206E0
7.785825012E-2,-9.123229319E-1,1.032506602E0,1.279525882E0,1.880316330E0
8.780224994E-2,-1.241081463E0,1.243442568E0,1.040227412E0,2.041691868E0
9.774724999E-2,-1.600356027E0,1.370364570E0,8.428813988E-1,2.269248228E0
1.076912498E-1,-1.920278830E0,1.428098808E0,6.232016529E-1,2.472916758E0
1.176352501E-1,-2.193434433E0,1.445614142E0,4.029292917E-1,2.657688257E0
1.275802501E-1,-2.414939826E0,1.405549021E0,2.127323766E-1,2.802277194E0
1.375242500E-1,-2.484708218E0,1.311400663E0,2.210642204E-2,2.809632595E0
1.474692500E-1,-2.375297458E0,1.223310020E0,-1.605222957E-1,2.676619664E0
1.574132498E-1,-2.012217525E0,1.179768729E0,-3.388736290E-1,2.357055145E0
1.673572501E-1,-1.478174363E0,1.152234775E0,-5.239460443E-1,1.946063689E0
1.773022497E-1,-9.228993756E-1,1.037149292E0,-7.389746225E-1,1.572738186E0
1.872462500E-1,-4.337932348E-1,8.503892237E-1,-8.775039321E-1,1.296669408E0
1.971902498E-1,-3.472953737E-2,6.516523039E-1,-9.146517317E-1,1.123585625E0
2.071352499E-1,3.183335298E-1,4.457794422E-1,-8.935282266E-1,1.048068814E0
2.170792501E-1,6.014761770E-1,3.525122595E-1,-7.427213721E-1,1.018662614E0
2.270242497E-1,7.579540998E-1,3.935924578E-1,-4.539229325E-1,9.671894689E-1
2.369682500E-1,7.794888103E-1,5.156220943E-1,-2.603882074E-2,9.349582716E-1
2.469122498E-1,8.110275221E-1,6.891943520E-1,3.222405662E-1,1.112022248E0
2.568572499E-1,8.639541793E-1,9.069668823E-1,6.233737803E-1,1.399142816E0
2.668012497E-1,1.026895614E0,1.147674531E0,7.566406690E-1,1.715860290E0
2.767452500E-1,1.314541787E0,1.457829561E0,7.280805288E-1,2.093654316E0
2.866902500E-1,1.624620218E0,1.686607136E0,5.629709463E-1,2.408520452E0
2.966342499E-1,1.920125048E0,1.902299227E0,4.425523639E-1,2.738882097E0
3.065782501E-1,2.224614125E0,2.080522944E0,3.650288093E-1,3.067691275E0
3.165232497E-1,2.574553610E0,2.219509506E0,2.454778075E-1,3.408050483E0
3.264672500E-1,2.717864773E0,2.192018822E0,2.469647545E-1,3.500389554E0
3.364122501E-1,2.520600767E0,2.183885930E0,1.862115260E-1,3.340278538E0
3.463562499E-1,2.335967331E0,2.312429364E0,-6.277300291E-2,3.287554317E0
3.563002497E-1,2.445026089E0,2.364215814E0,-4.491047537E-1,3.430650678E0
3.662452498E-1,2.535235178E0,2.305533743E0,-9.927432702E-1,3.567694276E0
3.761892500E-1,1.755558672E0,2.175961198E0,-1.327171773E0,3.094863212E0
3.861332498E-1,9.127877855E-1,1.818540786E0,-1.494120889E0,2.524414658E0
3.960782499E-1,1.206117452E0,1.563716204E0,-1.661292931E0,2.580663069E0
4.060222497E-1,1.498644880E0,1.471177585E0,-1.418412895E0,2.534205024E0
4.159662500E-1,1.562831520E0,1.760372685E0,-6.370114607E-1,2.438675450E0
4.259118750E-1,1.853552159E0,2.186283288E0,1.513803202E-1,2.870262396E0
4.358558748E-1,1.938129795E0,2.282840699E0,5.631067479E-1,3.047096645E0
4.458008748E-1,1.678487692E0,1.935424873E0,4.235430658E-1,2.596647665E0
4.557448751E-1,1.550203289E0,1.517365326E0,-2.002320528E-1,2.178444547E0
4.656888749E-1,1.399785420E0,1.290493943E0,-7.890420643E-1,2.060912715E0
4.756338750E-1,1.135250952E0,1.209183147E0,-1.066436241E0,1.971853154E0
4.855778748E-1,9.634176564E-1,1.357217690E0,-1.185008272E0,2.043149051E0
4.955218751E-1,6.864566857E-1,1.550932437E0,-1.164830116E0,2.057533330E0
5.054668752E-1,4.840705186E-1,1.648674493E0,-1.121667870E0,2.051972384E0
5.154108750E-1,2.458619696E-1,1.576214043E0,-1.058388718E0,1.914441301E0
5.253548748E-1,3.293970466E-2,1.179432514E0,-1.134688450E0,1.636967916E0
5.352998748E-1,-1.457102752E-1,5.011005342E-1,-1.184177018E0,1.294066628E0
5.452438751E-1,-3.243929994E-1,-1.775793546E-1,-1.071421138E0,1.133449823E0
5.551888747E-1,-2.343979186E-1,-8.464505392E-1,-1.000351156E0,1.331211228E0
5.651328750E-1,-2.456292504E-1,-1.191658457E0,-9.346312290E-1,1.534248722E0
5.750768748E-1,-4.554127300E-1,-1.136589380E0,-8.216973750E-1,1.474592401E0
5.850218749E-1,-6.627988511E-1,-1.020929700E0,-7.797273767E-1,1.445536078E0
5.949658751E-1,-1.034078334E0,-1.016085282E0,-8.619124047E-1,1.686606147E0
6.049098750E-1,-1.324822361E0,-1.230055953E0,-9.695975786E-1,2.051416925E0
6.148548750E-1,-1.353110021E0,-1.498393450E0,-1.028892512E0,2.265989731E0
6.247988748E-1,-1.572773541E0,-1.870505576E0,-9.066120294E-1,2.606597992E0
6.347428751E-1,-2.336200635E0,-2.768138548E0,-8.437883750E-1,3.719193898E0
6.446878747E-1,-3.400041296E0,-4.043208706E0,-8.403549631E-1,5.349206850E0
6.546318750E-1,-4.138628833E0,-4.710572478E0,-2.678749824E-1,6.276105377E0
6.645768750E-1,-4.385193053E0,-4.668801139E0,4.627223343E-1,6.421972762E0
6.745208749E-1,-4.395927372E0,-4.443202695E0,6.296193375E-1,6.281930289E0
6.844648751E-1,-4.246954350E0,-4.018113626E0,7.551684862E-1,5.895094385E0
6.944098747E-1,-4.069360963E0,-3.594226159E0,9.433020651E-1,5.510714936E0
7.043538750E-1,-3.974170046E0,-3.283381158E0,1.164642566E0,5.284979819E0
7.142978748E-1,-3.489008437E0,-2.875026820E0,1.336102810E0,4.714247533E0
7.242428749E-1,-2.801243729E0,-2.395283241E0,9.365811293E-1,3.802832161E0
7.341868747E-1,-1.858228762E0,-1.879989760E0,3.072682589E-1,2.661163169E0
7.441308750E-1,-1.134856265E0,-1.169255435E0,2.680104916E-1,1.651328749E0
7.540758750E-1,-3.749497801E-1,-3.166676581E-1,5.024500716E-1,7.023687192E-1
7.640198749E-1,3.779821461E-1,3.547090584E-1,3.495098604E-1,6.251769041E-1
7.739648749E-1,9.161370707E-1,7.391781056E-1,6.229272723E-2,1.178800996E0
7.839088747E-1,1.158085499E0,9.189489967E-1,-1.101235360E-1,1.482483212E0
7.938528750E-1,1.318262955E0,8.501132351E-1,-2.097678383E-1,1.582565094E0
8.037978751E-1,1.177074332E0,5.248460770E-1,-7.857678428E-2,1.291178414E0
