"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-6.010835059E-4,-6.486371287E0,-1.199418882E0,1.004810608E0,6.672425532E0
9.342916775E-3,-4.425012592E0,1.686565620E0,5.947554604E-1,4.772732350E0
1.928591682E-2,-1.596411495E0,5.255699038E0,7.341530085E-2,5.493295172E0
2.922991663E-2,-2.952832210E-1,6.366545466E0,-9.689877141E-1,6.446629394E0
3.917291667E-2,-5.627629316E-1,4.678408114E0,-2.284139366E0,5.236553947E0
4.911691649E-2,-4.092121249E-1,3.102468306E0,-2.878564385E0,4.251928630E0
5.906091677E-2,6.933979154E-2,2.089979646E0,-2.017559688E0,2.905747756E0
6.900391681E-2,9.026580691E-1,1.696769012E0,-3.182547386E-1,1.948102345E0
7.894791663E-2,1.768502069E0,1.708209674E0,1.019913381E0,2.661917196E0
8.889091667E-2,2.031292312E0,1.675441293E0,1.884410693E0,3.237940031E0
9.883491648E-2,1.826263788E0,1.584024169E0,2.728704341E0,3.645572571E0
1.087789168E-1,1.570278534E0,1.416022553E0,3.634733915E0,4.205019046E0
1.187219168E-1,1.483423993E0,1.029376003E0,4.621612939E0,4.961800869E0
1.286659166E-1,1.218618214E0,1.654838043E-1,5.070932286E0,5.217927701E0
1.386089167E-1,3.582951558E-1,-1.237739779E0,4.753938353E0,4.925475108E0
1.485529165E-1,-1.312674771E0,-2.598863994E0,4.220039032E0,5.126981426E0
1.584969168E-1,-2.036136146E0,-2.851681226E0,2.763769509E0,4.462774711E0
1.684399168E-1,-1.896697009E0,-1.948085849E0,1.432787105E0,3.073333192E0
1.783839166E-1,-7.354095751E-1,-1.291151170E0,5.223118937E-1,1.575026445E0
1.883269167E-1,6.449946642E-1,-1.127212200E0,-3.230346912E-1,1.338273841E0
1.982709165E-1,1.680852306E0,-1.132697473E0,-5.558690643E-1,2.101727493E0
2.082149168E-1,2.543531207E0,-9.838010502E-1,-2.330817103E-1,2.737104783E0
2.181579168E-1,3.238155869E0,-4.391270649E-1,-9.051344381E-1,3.390833874E0
2.281019166E-1,3.966222510E0,3.242626065E-1,-2.606583488E0,4.757136189E0
2.380449167E-1,4.598663203E0,7.708612436E-1,-3.964719776E0,6.120533736E0
2.479889165E-1,5.056049953E0,1.015452029E0,-5.019619460E0,7.196621671E0
2.579329167E-1,5.425107493E0,1.118948915E0,-5.299756054E0,7.666241075E0
2.678759168E-1,5.506400748E0,1.036906047E0,-5.093817118E0,7.572489431E0
2.778199166E-1,4.874409707E0,1.012096896E0,-4.500562127E0,6.711130275E0
2.877629166E-1,4.013510113E0,1.164698115E0,-3.523856088E0,5.466474810E0
2.977069165E-1,3.266413708E0,1.253182275E0,-2.534201683E0,4.319965566E0
3.076509167E-1,2.486128507E0,1.233100013E0,-6.355166200E-1,2.846972421E0
3.175939168E-1,1.873078351E0,1.332366439E0,2.193094710E0,3.176993428E0
