"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.015333347E-3,1.077992678E-2,-8.007001698E-2,-9.280357160E-2,1.230443714E-1
1.596033294E-2,-5.515093803E-3,-1.153854454E-1,-1.044944215E-1,1.557668173E-1
2.590633323E-2,7.600210905E-3,-1.670262998E-1,-1.333832482E-1,2.138846393E-1
3.585233307E-2,2.587217510E-2,-2.082392299E-1,-1.370774460E-1,2.506455117E-1
4.579733312E-2,3.670706570E-2,-2.323432070E-1,-1.234429816E-1,2.656481587E-1
5.574333295E-2,7.962270498E-2,-2.283454657E-1,-7.469817996E-2,2.531032298E-1
6.568933325E-2,6.808556378E-2,-2.298289043E-1,-2.973024108E-2,2.415385196E-1
7.563433331E-2,1.971681118E-2,-2.104407066E-1,3.625419885E-3,2.113934420E-1
8.558033314E-2,-8.441625237E-3,-1.690897822E-1,6.069760680E-2,1.798522031E-1
9.552633297E-2,-2.151073694E-2,-9.679890096E-2,1.049001452E-1,1.443495046E-1
1.054713330E-1,-5.492757440E-2,-1.781705081E-2,1.666842377E-1,1.764032903E-1
1.154173333E-1,-9.392557919E-2,6.919010282E-2,1.616082698E-1,1.993151214E-1
1.253633332E-1,-1.540256006E-1,1.663106006E-1,1.131353637E-1,2.533430718E-1
1.353083332E-1,-1.794329220E-1,2.493001324E-1,-5.742989033E-3,3.072128113E-1
1.452543330E-1,-2.007501161E-1,2.871702093E-1,-1.039155471E-1,3.654665226E-1
1.552003333E-1,-2.130169898E-1,2.699261856E-1,-1.689645056E-1,3.831258120E-1
1.651453329E-1,-1.639354616E-1,2.274262834E-1,-2.374525040E-1,3.673979336E-1
1.750913332E-1,-1.019386035E-1,1.575286674E-1,-2.021856806E-1,2.758365629E-1
1.850373331E-1,-6.808907211E-2,6.928775132E-2,-1.410354993E-1,1.712539819E-1
1.949823331E-1,-5.267990470E-2,2.587626815E-2,-1.137564111E-1,1.280049791E-1
