"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.332749777E-3,2.642953169E-1,4.496099532E-2,2.870427400E-1,3.927684308E-1
1.227675006E-2,2.587620968E-1,4.714253300E-1,9.804084957E-2,5.466366917E-1
2.221974963E-2,2.332284755E-1,6.586461586E-1,1.115759113E-1,7.075729418E-1
3.216374991E-2,1.429047811E-1,6.441351235E-1,3.266032469E-1,7.362075215E-1
4.210774973E-2,7.672365546E-2,5.138381088E-1,5.809360778E-1,7.793605378E-1
5.205175001E-2,-6.331598997E-2,4.204972512E-1,8.483789510E-1,9.489856149E-1
6.199574983E-2,-1.936147588E-1,2.455409575E-1,1.024020538E0,1.070698417E0
7.193874987E-2,-3.436016876E-1,7.562087059E-2,1.119622441E0,1.173599185E0
8.188274968E-2,-4.549081153E-1,-1.844890094E-1,1.035653501E0,1.146104603E0
9.182674997E-2,-4.674287581E-1,-4.792167449E-1,8.365517148E-1,1.071427601E0
1.017707498E-1,-4.140214598E-1,-8.331130403E-1,6.270916593E-1,1.121933624E0
1.117147501E-1,-3.606480753E-1,-1.241687819E0,3.514445579E-1,1.339913785E0
1.216577496E-1,-3.572941124E-1,-1.570670882E0,1.565264547E-1,1.618383958E0
1.316017499E-1,-3.740721130E-1,-1.896530948E0,5.920371629E-2,1.933976387E0
1.415457497E-1,-4.141302180E-1,-2.084635291E0,5.766524076E-2,2.126154607E0
1.514897500E-1,-4.549969929E-1,-2.128093552E0,8.745848559E-2,2.177947065E0
1.614337498E-1,-4.796833527E-1,-2.018925451E0,1.953695083E-1,2.084304522E0
1.713777496E-1,-5.123821521E-1,-1.840433346E0,2.327630371E-1,1.924554235E0
1.813207497E-1,-7.177860671E-1,-1.655352014E0,2.043484195E-1,1.815809848E0
1.912647500E-1,-8.050335413E-1,-1.453544721E0,1.393140060E-1,1.667417060E0
2.012087498E-1,-8.668912357E-1,-1.244931854E0,2.402847491E-2,1.517212280E0
2.111527501E-1,-8.578491014E-1,-1.051207168E0,-8.167515077E-2,1.359269076E0
2.210967499E-1,-8.020023447E-1,-8.796826047E-1,-1.896498350E-1,1.205411260E0
2.310397499E-1,-7.664261305E-1,-8.110263526E-1,-2.875882852E-1,1.152336661E0
2.409837497E-1,-7.250676048E-1,-7.363597476E-1,-3.458511114E-1,1.089753046E0
2.509277500E-1,-6.493683815E-1,-6.859824765E-1,-3.676178833E-1,1.013604539E0
2.608717498E-1,-5.332684064E-1,-6.869063365E-1,-3.269412891E-1,9.290350451E-1
2.708157497E-1,-4.095804995E-1,-7.017886698E-1,-2.900370260E-1,8.627774911E-1
2.807587497E-1,-2.426167649E-1,-7.665728956E-1,-2.787600859E-1,8.510018123E-1
2.907027500E-1,-7.624301434E-2,-7.909610474E-1,-2.569248285E-1,8.351303750E-1
3.006467498E-1,2.016646206E-2,-7.070002931E-1,-2.527557638E-1,7.510935872E-1
3.105907496E-1,1.227096677E-1,-5.346898645E-1,-2.721609183E-1,6.123907896E-1
3.205347499E-1,1.656182903E-1,-3.163712043E-1,-2.787216405E-1,4.529965892E-1
3.304787497E-1,8.150901675E-2,-5.710098445E-2,-2.979396111E-1,3.141214002E-1
3.404217497E-1,-1.212127805E-1,2.048425823E-1,-3.275105886E-1,4.048656658E-1
3.503657500E-1,-2.879502279E-1,4.142220193E-1,-4.805749069E-1,6.967405946E-1
3.603097498E-1,-3.946011025E-1,5.155145055E-1,-6.933091108E-1,9.498119596E-1
3.702537497E-1,-4.847102040E-1,5.886333525E-1,-8.354086572E-1,1.131079498E0
3.801977499E-1,-5.069337165E-1,5.832468975E-1,-9.571704912E-1,1.230176445E0
3.901407500E-1,-4.487387180E-1,6.044845694E-1,-9.991548883E-1,1.251030984E0
4.000847498E-1,-3.572163445E-1,6.260491008E-1,-1.057092829E0,1.279447631E0
4.100287496E-1,-2.073960614E-1,5.863792509E-1,-1.092216030E0,1.256896817E0
4.199727499E-1,-3.805835724E-2,4.891996962E-1,-1.147818373E0,1.248299563E0
4.299167497E-1,1.390087813E-1,3.412066680E-1,-1.182914384E0,1.238964032E0
4.398597497E-1,2.538182759E-1,1.966640818E-1,-1.225065939E0,1.266446617E0
4.498037500E-1,3.434315336E-1,1.989456654E-2,-1.238428581E0,1.285319556E0
4.597477498E-1,3.770477611E-1,-1.027607220E-1,-1.284221781E0,1.342367447E0
4.696917497E-1,3.353652996E-1,-1.763631338E-1,-1.355362515E0,1.407331299E0
4.796357499E-1,3.214892721E-1,-2.186057585E-1,-1.470473141E0,1.520998057E0
4.895797498E-1,3.153192902E-1,-1.833856398E-1,-1.570576304E0,1.612379135E0
4.995227498E-1,2.814194727E-1,-7.240256310E-2,-1.672317710E0,1.697376085E0
5.094667496E-1,2.974168700E-1,5.641744494E-2,-1.745329553E0,1.771387866E0
5.194107499E-1,3.684014833E-1,2.700203258E-1,-1.759428944E0,1.817751589E0
5.293547497E-1,5.146029246E-1,5.200554532E-1,-1.659363204E0,1.813493889E0
5.392987500E-1,9.593012166E-1,7.507240176E-1,-1.486378591E0,1.921761351E0
5.492417500E-1,1.606575710E0,9.550391811E-1,-1.201423307E0,2.221846825E0
5.591857499E-1,2.152109236E0,1.082100347E0,-1.041517746E0,2.624361740E0
5.691297497E-1,2.487971549E0,1.066726263E0,-1.075002996E0,2.912651505E0
5.790737499E-1,2.539087908E0,8.497711730E-1,-1.132647772E0,2.907227103E0
5.890177498E-1,2.608542305E0,6.102136713E-1,-1.044937198E0,2.875542980E0
5.989617500E-1,2.683377310E0,5.036721396E-1,-8.300328733E-1,2.853621205E0
6.089047496E-1,2.654996679E0,4.474885833E-1,-5.323119481E-1,2.744559967E0
6.188487499E-1,2.562300185E0,5.017355418E-1,-1.559975740E-1,2.615617716E0
6.287927497E-1,2.352707909E0,6.794786185E-1,1.892854804E-1,2.456166666E0
6.387367500E-1,2.197787100E0,7.686509961E-1,4.450643277E-1,2.370479856E0
6.486808746E-1,2.183693556E0,7.757103395E-1,6.507722249E-1,2.407020683E0
6.586238747E-1,2.156175975E0,6.723257196E-1,7.975128525E-1,2.395233487E0
6.685678749E-1,2.116556411E0,5.245350051E-1,1.032421818E0,2.412642290E0
6.785118748E-1,1.828980405E0,3.231381869E-1,1.262778287E0,2.245928897E0
6.884558750E-1,1.213505993E0,6.851884246E-2,1.506825719E0,1.935927524E0
6.983998748E-1,3.244906479E-1,-2.385073417E-1,1.584925225E0,1.635288323E0
7.083428749E-1,-6.192446959E-1,-5.269896662E-1,1.536276391E0,1.738196551E0
7.182868747E-1,-1.242814577E0,-7.058454680E-1,1.419673409E0,2.014516936E0
7.282308750E-1,-1.597535330E0,-8.677712417E-1,1.374505568E0,2.279125186E0
7.381748748E-1,-1.704507802E0,-1.082269331E0,1.534151512E0,2.535798615E0
7.481188746E-1,-1.725960066E0,-1.271257188E0,1.817257468E0,2.810241572E0
7.580628749E-1,-1.649670274E0,-1.364447773E0,2.177904228E0,3.053914957E0
7.680058749E-1,-1.437285953E0,-1.302101836E0,2.537108041E0,3.193458519E0
7.779498748E-1,-1.157625323E0,-1.150467746E0,2.747171602E0,3.195406740E0
7.878938750E-1,-8.786686975E-1,-8.631197816E-1,2.771767915E0,3.033105968E0
7.978378749E-1,-5.394886744E-1,-4.744489253E-1,2.587885846E0,2.685759291E0
8.077818747E-1,-2.491557062E-1,-4.685432374E-2,2.266901774E0,2.281034315E0
8.177248747E-1,1.354039729E-2,2.425536150E-1,1.893948233E0,1.909464718E0
8.276688750E-1,1.760760355E-1,2.136356252E-1,1.511576582E0,1.536719465E0
8.376128748E-1,2.701127118E-1,-3.487688720E-2,1.212465262E0,1.242678271E0
8.475568746E-1,4.711838400E-1,-4.493532604E-1,1.050823005E0,1.236188316E0
8.575008749E-1,7.196530831E-1,-8.607925898E-1,9.495685992E-1,1.469879236E0
8.674438749E-1,7.837818360E-1,-1.079429339E0,8.945485657E-1,1.606144078E0
8.773878748E-1,6.999865580E-1,-1.112414652E0,8.574713713E-1,1.569300701E0
8.873318750E-1,6.288621962E-1,-1.043789974E0,7.445394176E-1,1.428042057E0
8.972758749E-1,5.352570444E-1,-8.854771954E-1,5.906026217E-1,1.191377952E0
9.072198747E-1,2.939038628E-1,-6.702704233E-1,4.387609562E-1,8.533188722E-1
9.171638750E-1,-5.123388827E-2,-3.928890377E-1,2.487681089E-1,4.678378771E-1
9.271068750E-1,-3.584161931E-1,-1.451524508E-1,1.350613991E-1,4.096010046E-1
9.370508748E-1,-6.410086173E-1,2.339412510E-2,-1.296912432E-3,6.414366800E-1
9.469948746E-1,-8.666503304E-1,1.599195939E-1,-3.411843024E-2,8.819416869E-1
9.569388749E-1,-9.866743720E-1,2.083854103E-1,1.292269742E-1,1.016685992E0
9.668828747E-1,-1.075075502E0,1.394087309E-1,3.611321517E-1,1.142645422E0
9.768258748E-1,-1.206009863E0,2.227029026E-2,5.924234446E-1,1.343845710E0
9.867698750E-1,-1.332595650E0,-6.236757159E-2,7.859125614E-1,1.548340865E0
9.967138749E-1,-1.508185197E0,-1.758509177E-1,8.224190676E-1,1.726823459E0
1.006657875E0,-1.614399285E0,-3.416493022E-1,8.110631901E-1,1.838704107E0
1.016601875E0,-1.616572695E0,-4.988552034E-1,7.768517160E-1,1.861628959E0
1.026544875E0,-1.499129030E0,-6.703809357E-1,6.745745587E-1,1.775344834E0
1.036488875E0,-1.306315339E0,-7.691579497E-1,5.422747996E-1,1.610007974E0
1.046432875E0,-1.108750201E0,-7.752706289E-1,3.875696795E-1,1.407331451E0
1.056376875E0,-9.385254747E-1,-7.367678833E-1,2.129941126E-1,1.212032785E0
1.066320875E0,-7.350903171E-1,-6.183173275E-1,3.820468381E-2,9.613187243E-1
1.076264875E0,-5.835053444E-1,-4.968993098E-1,-1.282129209E-1,7.770623939E-1
1.086207875E0,-5.120780969E-1,-3.437420207E-1,-2.089023773E-1,6.511702983E-1
1.096151875E0,-4.985739523E-1,-2.333571142E-1,-2.372379843E-1,5.994275518E-1
1.106095875E0,-5.065325975E-1,-1.088470888E-1,-2.436213166E-1,5.725157701E-1
1.116039875E0,-5.803174424E-1,1.687740326E-2,-2.441417187E-1,6.298081927E-1
1.125983875E0,-6.453221083E-1,7.220317304E-2,-2.457315767E-1,6.942895141E-1
1.135927875E0,-6.859497321E-1,7.957241893E-2,-2.632562667E-1,7.390281908E-1
1.145870875E0,-7.173551273E-1,8.904900134E-2,-2.853781839E-1,7.771543033E-1
1.155814875E0,-7.539627904E-1,1.312390012E-1,-3.210461263E-1,8.299121519E-1
1.165758875E0,-8.025929135E-1,2.424308234E-1,-3.769218998E-1,9.192378405E-1
1.175702875E0,-7.983226919E-1,3.997472370E-1,-4.545508504E-1,1.001864986E0
1.185646875E0,-7.682399368E-1,5.637920415E-1,-5.660765487E-1,1.108375715E0
1.195589875E0,-7.489347696E-1,7.336460549E-1,-6.227154569E-1,1.219390980E0
1.205533875E0,-7.037825704E-1,8.702405208E-1,-6.208830857E-1,1.279892291E0
1.215477875E0,-6.994819432E-1,9.677217919E-1,-5.403989397E-1,1.310645440E0
1.225421875E0,-7.269509929E-1,1.031976845E0,-3.683457886E-1,1.314957252E0
1.235365875E0,-7.410462910E-1,1.061391848E0,-2.084802814E-1,1.311169816E0
1.245308875E0,-7.022558624E-1,1.071922683E0,-8.359311059E-2,1.284199884E0
1.255252875E0,-6.425394183E-1,1.112279581E0,-2.018458843E-2,1.284690697E0
1.265196875E0,-5.527185845E-1,1.157667423E0,-7.484436035E-3,1.282866989E0
1.275140875E0,-4.872765470E-1,1.236663891E0,-6.162044361E-2,1.330628833E0
1.285084875E0,-4.377915609E-1,1.320196044E0,-1.831704623E-1,1.402900732E0
1.295028875E0,-3.503563911E-1,1.362283718E0,-3.035381739E-1,1.438993382E0
1.304971875E0,-2.079755205E-1,1.313961743E0,-5.881831169E-1,1.454547579E0
1.314915875E0,-4.226192057E-2,1.295353564E0,-8.662899958E-1,1.558905155E0
1.324859875E0,9.610015869E-2,1.263832979E0,-1.119308519E0,1.690964399E0
1.334803875E0,1.367652047E-1,1.257492258E0,-1.306774346E0,1.818694777E0
1.344747875E0,1.448185748E-1,1.264362152E0,-1.376141034E0,1.874392759E0
1.354690875E0,1.914512891E-1,1.374251799E0,-1.252211784E0,1.869025402E0
1.364634875E0,3.937164187E-1,1.614881680E0,-9.538141894E-1,1.916407307E0
1.374578875E0,3.816623837E-1,1.866645244E0,-5.917570813E-1,1.995045635E0
1.384522875E0,2.894254804E-2,1.945739946E0,-4.580148871E-1,1.999129622E0
1.394466875E0,-5.423321754E-1,1.949860479E0,-4.599712193E-1,2.075488761E0
1.404410875E0,-8.800463015E-1,1.957569448E0,-2.595627268E-1,2.161927946E0
1.414353875E0,-6.447549284E-1,2.115362409E0,2.497682020E-1,2.225500212E0
1.424297875E0,-1.156228423E-1,2.391866713E0,9.172386861E-1,2.564317028E0
1.434241875E0,4.606804866E-1,2.657817376E0,1.540944954E0,3.106562581E0
1.444185875E0,9.269251835E-1,2.646871389E0,1.995686131E0,3.442075185E0
1.454129875E0,1.141985775E0,2.354093115E0,2.244490566E0,3.447263234E0
1.464072875E0,9.754167277E-1,1.775543286E0,2.188273242E0,2.982034797E0
1.474016875E0,7.234631288E-1,9.716458583E-1,1.857042362E0,2.217228204E0
1.483960875E0,6.163146561E-1,2.680147308E-1,1.459673772E0,1.606960850E0
1.493904875E0,7.335127383E-1,-2.845781386E-1,1.205132123E0,1.439225169E0
1.503848875E0,7.617138594E-1,-7.707185715E-1,1.116893546E0,1.556170400E0
1.513792875E0,5.514228415E-1,-1.194978506E0,1.088255638E0,1.707729812E0
1.523735875E0,2.182052243E-1,-1.571538025E0,9.052333291E-1,1.826688989E0
1.533679875E0,-2.110991031E-1,-1.832161875E0,6.867450996E-1,1.967993597E0
1.543623875E0,-5.581757909E-1,-2.043642801E0,5.866183289E-1,2.198216817E0
1.553567875E0,-8.176512480E-1,-2.119556617E0,5.720874864E-1,2.342724463E0
1.563511875E0,-9.471775997E-1,-2.121912460E0,6.332908773E-1,2.408467403E0
1.573454875E0,-9.274087483E-1,-2.029808289E0,7.639737352E-1,2.358784548E0
1.583398875E0,-7.476220697E-1,-1.906955949E0,8.936281409E-1,2.234723921E0
1.593342875E0,-4.273151046E-1,-1.716403962E0,9.587668542E-1,2.011933060E0
1.603286875E0,-1.556242293E-1,-1.432704660E0,9.601414615E-1,1.731685066E0
1.613230875E0,8.617626429E-2,-1.151456510E0,8.587898453E-1,1.439026908E0
1.623174875E0,3.563731760E-1,-9.016804147E-1,6.426990473E-1,1.163224603E0
1.633117875E0,7.578459263E-1,-8.075677246E-1,4.077679358E-1,1.180157094E0
1.643061875E0,1.041754559E0,-7.927842093E-1,2.932301905E-1,1.341545119E0
1.653005750E0,1.154806965E0,-8.123630261E-1,2.021166104E-1,1.426311304E0
1.662949750E0,1.205284224E0,-8.093061018E-1,8.344619930E-2,1.454183515E0
1.672893750E0,1.192918532E0,-7.237847257E-1,7.658098340E-2,1.397420338E0
1.682836750E0,1.235896152E0,-4.880361003E-1,1.672772185E-1,1.339253598E0
1.692780750E0,1.215222736E0,-2.165463692E-1,3.149637794E-1,1.273915543E0
1.702724750E0,1.060135281E0,-2.003373027E-1,3.766296852E-1,1.142747465E0
1.712668750E0,9.469823027E-1,-2.075153446E-1,4.632959461E-1,1.074467884E0
1.722612750E0,7.388915920E-1,-2.093952245E-1,5.972340220E-1,9.728800655E-1
1.732555750E0,4.591771674E-1,-2.350960761E-1,7.166500262E-1,8.830068494E-1
1.742499750E0,1.526029730E-1,-2.893132138E-1,8.034951389E-1,8.675218967E-1
1.752443750E0,-1.320505947E-1,-3.392776716E-1,8.432573748E-1,9.184931671E-1
1.762387750E0,-4.408058006E-1,-3.615222341E-1,8.407747201E-1,1.015829813E0
1.772331750E0,-6.589724332E-1,-3.874306619E-1,6.466698915E-1,1.001263768E0
1.782275750E0,-8.065941632E-1,-4.194084996E-1,4.215748930E-1,1.002109287E0
1.792218750E0,-8.591875291E-1,-5.282468176E-1,1.875587976E-1,1.025878264E0
1.802162750E0,-8.031647712E-1,-5.679932660E-1,4.082986437E-2,9.845593317E-1
1.812106750E0,-8.076168412E-1,-7.451200461E-1,-7.096414804E-2,1.101128855E0
1.822050750E0,-6.752849954E-1,-9.465151101E-1,-8.911500178E-2,1.166122705E0
1.831994750E0,-5.436606628E-1,-1.136733806E0,-1.153263885E-1,1.265318473E0
1.841937750E0,-3.556142074E-1,-1.241839846E0,-9.372501969E-2,1.295149431E0
1.851881750E0,-2.231180549E-1,-1.273928196E0,-6.465851068E-2,1.294934531E0
1.861825750E0,-1.590846115E-1,-1.273267461E0,-7.935314834E-2,1.285618475E0
1.871769750E0,-1.046429408E-1,-1.198407898E0,-8.406490780E-2,1.205901548E0
1.881713750E0,-5.014922976E-2,-1.070488361E0,-1.071975162E-1,1.077010485E0
1.891657750E0,-6.817736506E-2,-9.047344154E-1,-1.787009237E-1,9.247305206E-1
