"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.417833324E-3,-2.736613870E-2,-1.365870985E0,4.491267100E0,4.694446998E0
1.935683333E-2,-8.629683387E-1,-3.588377189E0,2.157718470E0,4.275150781E0
2.929583333E-2,-2.442970793E0,-5.887129331E0,-1.064632959E0,6.462185497E0
3.923483333E-2,-2.884322723E0,-6.640738950E0,-2.109113782E0,7.541027272E0
4.917383334E-2,-3.217661378E0,-6.132217714E0,-4.393295540E0,8.201127029E0
5.911283333E-2,-3.549461045E0,-6.202978379E0,-5.318351369E0,8.908449684E0
6.905183333E-2,-2.638525073E0,-8.419016978E0,-8.880512567E0,1.251819336E1
7.899083332E-2,7.736567974E-2,-1.287914619E1,-1.004995453E1,1.633646162E1
8.892983333E-2,2.348503177E0,-2.085248079E1,-6.307443565E0,2.191176092E1
9.886883333E-2,1.254293831E0,-3.454419466E1,-4.872517840E0,3.490868185E1
1.088078333E-1,-1.695614771E0,-3.973126435E1,-9.885768220E0,4.097776091E1
1.187468333E-1,-3.907967870E0,-3.289304154E1,-5.014215463E0,3.350174251E1
1.286858333E-1,-8.601505655E-1,-1.655730446E1,2.201882490E0,1.672520482E1
1.386248333E-1,2.345978934E0,-7.018710571E0,6.411062658E0,9.791202155E0
1.485638333E-1,-1.671199138E0,-4.761121073E0,6.970423679E0,8.605113985E0
1.585028333E-1,-2.235454863E-1,-5.232890219E0,6.306305112E0,8.197718999E0
1.684418333E-1,2.952643345E0,-3.082161218E0,6.398465416E0,7.691435509E0
1.783808333E-1,4.065238091E0,-1.184590927E0,5.759108638E0,7.148198983E0
1.883198333E-1,4.739285231E0,-5.000345868E-1,6.937026722E0,8.416246125E0
1.982588333E-1,4.776616194E0,6.457331675E-1,1.018756875E1,1.127029683E1
2.081978333E-1,6.593023916E0,2.857521425E0,1.495487968E1,1.659161895E1
2.181368333E-1,5.570064062E0,5.250883856E0,1.330548540E1,1.535035298E1
2.280758333E-1,4.017928854E0,7.047009341E0,1.035038915E1,1.315046191E1
2.380148333E-1,2.650251664E0,7.083948541E0,8.932621783E0,1.170460989E1
2.479538333E-1,-1.141195816E0,7.897653503E0,8.729923375E0,1.182737591E1
2.578928333E-1,-1.887922093E0,9.998897810E0,9.869427592E0,1.417560610E1
2.678318333E-1,-1.980056085E0,8.450351622E0,1.063239451E1,1.372504563E1
2.777708333E-1,-3.363829490E0,5.602369344E-1,8.745499188E0,9.386850926E0
2.877098333E-1,-3.670058114E0,-2.913828358E0,8.447555484E0,9.660275147E0
2.976488333E-1,-3.936602855E0,-4.107819269E0,8.462132592E0,1.019699511E1
3.075878333E-1,-4.600002800E0,-4.360716316E0,8.683938532E0,1.075112371E1
3.175268333E-1,-4.551887231E0,-4.020612141E0,8.264665103E0,1.025620245E1
3.274658333E-1,-4.348141587E0,-3.448268254E0,7.475733039E0,9.310396001E0
3.374048333E-1,-4.406196252E0,-3.168439809E0,6.479616584E0,8.452159919E0
3.473438333E-1,-4.641922658E0,-2.753795621E0,6.067642819E0,8.120783562E0
3.572828333E-1,-4.206040213E0,-2.260034219E0,5.769992645E0,7.489415469E0
3.672218333E-1,-2.723918980E0,-2.587281244E0,4.971782219E0,6.231562989E0
3.771608333E-1,-5.486202711E-1,-4.072040741E0,1.352655108E0,4.325757257E0
3.870998333E-1,2.140375044E0,-5.448926711E0,-3.691254855E0,6.920792587E0
3.970388333E-1,2.303366765E0,-4.006766811E0,-2.426278746E0,5.219818703E0
4.069778333E-1,6.724087501E-1,-3.643690972E-1,-6.261433140E-1,9.884097409E-1
4.169168333E-1,1.561316507E0,-4.073440857E-1,-4.346973313E0,4.636789344E0
4.268558333E-1,3.900492205E0,-1.669015641E0,-2.663107352E0,5.009150968E0
4.367948333E-1,5.222614907E0,8.398823619E-1,3.186829594E0,6.175515502E0
4.467338333E-1,5.716708138E0,4.038909833E0,7.152522347E0,1.000760313E1
4.566728333E-1,4.283166157E0,9.232395666E0,6.745839143E0,1.221020015E1
4.666118333E-1,3.475090894E0,1.300687277E1,5.856912675E0,1.468190799E1
4.765508333E-1,3.243617168E0,1.300111560E1,5.871416109E0,1.462954498E1
4.864898333E-1,3.189844419E0,1.455133877E1,5.897490013E0,1.602176507E1
4.964288333E-1,1.789918081E0,1.596579193E1,1.799335606E0,1.616625892E1
5.063672083E-1,1.679320335E-2,1.533612165E1,9.323806357E-1,1.536444737E1
5.163062083E-1,-1.040968693E0,1.325444622E1,-1.105299175E0,1.334112614E1
5.262452083E-1,-1.837838936E0,1.092257077E1,-3.811841984E0,1.171368190E1
5.361842083E-1,-1.727585008E0,8.708636001E0,-4.984325666E0,1.018176769E1
5.461232083E-1,-1.463218939E0,8.031910252E0,-5.377643305E0,9.776074850E0
5.560622083E-1,-4.414501637E-1,7.136741297E0,-4.570455065E0,8.486283879E0
5.660012083E-1,9.102155954E-1,6.852090653E0,-4.104016825E0,8.038817876E0
5.759402083E-1,1.005072051E-1,6.379384782E0,-3.678855250E0,7.364823681E0
5.858792083E-1,-1.244679839E0,5.864025228E0,-2.570174046E0,6.522408635E0
5.958182083E-1,-1.922683790E0,4.653925238E0,-9.148810887E-1,5.117884375E0
6.057572083E-1,-1.411552357E0,3.218101088E0,7.261622036E-1,3.588309660E0
6.156962083E-1,-7.951868302E-1,1.664731532E0,2.090800595E0,2.788386684E0
6.256352083E-1,-7.986261624E-1,5.182169424E-1,2.434683534E0,2.614199009E0
6.355742083E-1,-5.517725050E-2,-7.772004294E-1,2.891086782E0,2.994239105E0
6.455132083E-1,1.050510764E-2,-1.692668798E0,2.281425673E0,2.840799380E0
6.554522083E-1,-5.030166668E-1,-2.462588786E0,1.947773023E0,3.179809592E0
6.653912083E-1,-1.007667046E0,-3.214301568E0,8.884517471E-1,3.483744243E0
6.753302083E-1,-1.168892908E0,-3.728452795E0,-2.173970660E-1,3.913429743E0
6.852692083E-1,-1.598457436E0,-3.985083874E0,-1.299708570E0,4.486112128E0
6.952072083E-1,-2.193229195E0,-3.263858474E0,-2.660630472E0,4.747839609E0
7.051472083E-1,-3.008991208E0,-2.070499501E0,-2.771304231E0,4.584879869E0
7.150852083E-1,-3.523126355E0,-6.285006921E-1,-2.076647995E0,4.137620008E0
7.250252083E-1,-3.633507169E0,1.975792442E-2,-1.686243439E0,4.005768548E0
7.349632083E-1,-3.350631739E0,5.326859506E-1,-3.300180209E-1,3.408723994E0
7.449022083E-1,-2.546751269E0,8.926699284E-1,5.851133287E-1,2.761369087E0
