"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.949833332E-3,3.738529302E0,1.239321801E1,2.785851519E0,1.324120171E1
1.688883334E-2,4.366200712E0,1.199575470E1,-4.748374727E0,1.362016527E1
2.682783333E-2,3.444086033E0,8.290240240E0,7.543077176E0,1.172552025E1
3.676583333E-2,7.043192278E0,7.978845600E0,9.962724595E0,1.457821717E1
4.670483333E-2,7.710408701E0,7.398569089E0,5.337273543E0,1.194469404E1
5.664383333E-2,5.537635989E0,7.901130257E0,3.435242119E0,1.024178501E1
6.658283334E-2,4.143676735E0,8.848928831E0,4.253834769E0,1.065686204E1
7.652083333E-2,2.377783840E0,1.093470141E1,6.995701777E0,1.319702217E1
8.645983334E-2,8.909563288E-1,1.262893799E1,9.564559615E0,1.586709421E1
9.639883333E-2,1.232620249E0,1.417065229E1,1.025241671E1,1.753393246E1
1.063378333E-1,2.204219622E0,1.484242018E1,9.379072486E0,1.769528247E1
1.162758333E-1,2.518390811E0,1.432177241E1,8.613875440E0,1.690131082E1
1.262148333E-1,2.475266719E0,1.372303858E1,8.177403011E0,1.616535348E1
1.361538333E-1,2.310373776E0,1.343862299E1,7.589104704E0,1.560541333E1
1.460928333E-1,1.811575583E0,1.306488300E1,6.935664906E0,1.490222874E1
1.560308333E-1,2.595930592E-1,1.247036150E1,6.420685421E0,1.402863164E1
1.659698333E-1,-1.648913206E0,1.104846600E1,4.658611196E0,1.210331252E1
1.759088333E-1,-2.841732481E0,8.821292551E0,1.877312320E0,9.455947722E0
1.858478333E-1,-3.641158543E0,5.761551604E0,5.622922307E-1,6.838836522E0
1.957858333E-1,-4.706862127E0,2.086242106E0,2.649804352E0,5.790373072E0
2.057248333E-1,-5.397724983E0,-2.171507374E0,5.564855363E0,8.050993384E0
2.156638333E-1,-7.308454725E0,-8.024841553E0,3.119957328E0,1.129361440E1
2.256028333E-1,-1.155362567E1,-1.733115421E1,-8.731366467E-1,2.084748282E1
2.355408333E-1,-5.721681780E0,-2.662050877E1,-1.099491252E1,2.936455740E1
2.454798333E-1,6.366286435E0,-3.345426431E1,-1.524450514E1,3.731102170E1
2.554188333E-1,1.095310142E1,-3.493019978E1,-1.022223221E1,3.800767447E1
2.653578333E-1,7.715761242E0,-2.713101046E1,-9.897696540E0,2.989296066E1
2.752958333E-1,1.570029004E0,-9.830773988E0,-1.073218660E1,1.463861119E1
2.852348333E-1,-1.410749827E0,6.687516090E0,-7.649843241E0,1.025832287E1
2.951738333E-1,-7.450353785E0,-7.678850108E-1,-1.617328155E0,7.662451910E0
3.051118333E-1,-9.170345013E0,-1.670025601E0,4.711884009E0,1.044442742E1
3.150508333E-1,-7.295686160E0,2.208196898E0,1.537342338E0,7.776026720E0
3.249898333E-1,-3.521325998E0,1.951210601E0,1.161703756E0,4.190049547E0
3.349288333E-1,-1.313375998E0,2.489779508E-1,9.288430703E-1,1.627788679E0
3.448668333E-1,3.674090646E-1,-3.170683678E0,-1.124074584E0,3.384046110E0
3.548058333E-1,2.426535585E0,-6.648771855E0,-3.398799933E0,7.851501965E0
3.647448333E-1,4.083538122E0,-8.441567935E0,-5.370478712E0,1.080635898E1
3.746838333E-1,5.114027435E0,-8.904974978E0,-5.671081145E0,1.173085748E1
3.846218333E-1,5.576901212E0,-8.831314094E0,-6.131414891E0,1.211148976E1
3.945608333E-1,3.846344064E0,-7.816678922E0,-6.137307715E0,1.065651810E1
4.044998333E-1,1.494752973E-2,-5.693685311E0,-5.411247253E0,7.854926651E0
4.144388333E-1,-1.949299877E0,-3.236982332E0,-3.787854951E0,5.350296231E0
4.243768333E-1,-1.698267945E0,-1.528171565E0,-1.289770058E0,2.623533714E0
4.343158333E-1,-1.505227529E0,-8.717707372E-1,-3.688347620E-1,1.778126321E0
4.442548333E-1,-1.458051316E0,-9.445241332E-1,-2.460385555E-1,1.754586689E0
4.541938333E-1,-1.101054096E0,-1.440157521E0,-3.732008779E-1,1.850851886E0
4.641318333E-1,-3.157379508E-1,-2.107492057E0,-7.325725061E-1,2.253414232E0
4.740708333E-1,4.095401537E-1,-3.131903774E0,-1.281551211E0,3.408653384E0
4.840098333E-1,8.664101560E-1,-4.377232069E0,-1.752604074E0,4.794001271E0
4.939488333E-1,9.740055022E-1,-5.372509450E0,-2.254633146E0,5.907276456E0
5.038868333E-1,6.346857306E-1,-5.885444748E0,-2.458986316E0,6.409984366E0
5.138258333E-1,1.350759441E-1,-5.859631630E0,-2.458693956E0,6.355997508E0
5.237648333E-1,-3.612029761E-1,-5.470825703E0,-2.499018694E0,6.025404210E0
5.337038333E-1,-7.295933497E-1,-5.060578036E0,-2.140451058E0,5.542859122E0
5.436418333E-1,-1.102302769E0,-4.773668028E0,-1.721487531E0,5.192927609E0
5.535808333E-1,-1.518260388E0,-4.474663639E0,-1.307435666E0,4.902766292E0
5.635198333E-1,-2.001712418E0,-4.226699011E0,-7.040322465E-1,4.729428986E0
5.734588333E-1,-2.345221719E0,-3.831872206E0,-4.209235132E-2,4.492781018E0
5.833968333E-1,-2.623724601E0,-3.349279863E0,9.227695674E-1,4.353516976E0
5.933354583E-1,-2.918106181E0,-3.135750657E0,1.822868895E0,4.655225760E0
6.032744583E-1,-2.901775200E0,-3.343933169E0,2.594806611E0,5.131784261E0
6.132134583E-1,-2.622149653E0,-3.679017802E0,3.264802800E0,5.574027100E0
