"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.950187499E-2,8.584519494E-1,-1.313712652E0,3.560281903E-2,1.569728716E0
2.944087500E-2,7.263382047E-2,-5.000801951E-1,9.726235127E-1,1.096062211E0
3.938087499E-2,-8.717593351E-1,-2.735970676E-2,1.623510124E0,1.842959038E0
4.931987500E-2,-2.143350399E0,1.051955611E0,2.762881024E0,3.651585012E0
5.925987500E-2,-3.472136588E0,1.655022231E0,3.939082367E0,5.505560913E0
6.919887500E-2,-4.622376001E0,1.606292120E0,3.964149088E0,6.297698965E0
7.913887500E-2,-4.893622195E0,1.397854085E0,2.129791876E0,5.517023443E0
8.907787500E-2,-1.791071444E0,1.489324418E0,3.393419909E0,4.115983822E0
9.901787500E-2,6.046843688E0,3.777076778E0,-3.051453688E0,7.755127155E0
1.089568750E-1,1.729721580E0,3.370055020E0,-8.988372645E0,9.753976133E0
1.188968750E-1,-4.161792578E0,-7.888671595E-1,-8.186726396E0,9.217663367E0
1.288358750E-1,-4.120702147E0,-1.225342512E-2,-3.818489099E0,5.617935148E0
1.387758750E-1,-3.124052718E0,1.136378880E0,-4.093276075E-1,3.349419566E0
1.487148750E-1,-1.851026747E0,2.588550090E0,5.270903845E-1,3.225634179E0
1.586548750E-1,-6.207117623E-1,3.610140526E0,1.434773697E0,3.934078452E0
1.685938750E-1,9.638407025E-1,3.080954061E0,-1.855955949E-1,3.233529426E0
1.785338750E-1,3.651468938E0,1.264501900E0,-1.059990270E0,4.006965165E0
1.884728750E-1,6.171258988E0,-2.544356250E0,-1.453447365E0,6.831595382E0
1.984128750E-1,8.161576352E0,-7.257873386E0,-2.772109100E0,1.126821386E1
2.083518750E-1,9.181870460E0,-8.396302299E0,-1.373589602E0,1.251764298E1
2.182918750E-1,8.136609326E0,-6.359038226E0,-2.771831357E0,1.069227888E1
2.282308750E-1,4.719611689E0,-6.781296659E0,-8.276403973E0,1.169442524E1
2.381708750E-1,2.288269254E0,-9.240004647E0,-1.012420598E1,1.389652506E1
2.481098750E-1,1.968109200E0,-7.851048855E0,-7.638738209E0,1.112936401E1
2.580498750E-1,4.422308840E0,-5.412459381E0,-5.577571303E-1,7.011606452E0
2.679888750E-1,4.662065147E0,-1.874484022E0,7.501667780E0,9.029039886E0
2.779288750E-1,3.842224409E0,2.496331898E0,1.119792902E1,1.209908987E1
2.878678750E-1,3.531872328E0,4.726526606E0,1.064634947E1,1.217205542E1
2.978078750E-1,-1.171708927E-1,4.405733153E0,7.271544760E0,8.502915784E0
3.077468750E-1,-4.273061291E0,3.772477359E0,1.836049104E0,5.988465123E0
3.176868750E-1,-5.259570479E0,4.221620704E0,9.164341092E-2,6.744891512E0
3.276258750E-1,-4.152428847E0,5.537321409E0,8.430357653E-1,6.972467498E0
3.375658750E-1,-3.690866016E0,4.559810793E0,1.493619783E0,6.053533387E0
3.475048750E-1,-3.665137097E0,2.984462723E0,1.489273548E0,4.955621393E0
3.574448750E-1,-1.061432047E0,1.499728369E0,6.235529244E-2,1.838399128E0
3.673838750E-1,7.507221173E-1,3.766624296E-1,-1.037000772E0,1.334477008E0
3.773238750E-1,4.332645003E-1,-1.794140940E0,-1.733833927E-1,1.853839702E0
3.872628750E-1,-1.038050494E0,-3.253942181E0,1.144787176E0,3.602252938E0
3.972028750E-1,-2.688218220E0,-5.182938625E0,1.660793433E0,6.070222798E0
4.071418750E-1,-2.523023268E0,-4.517028471E0,1.837964652E0,5.490656306E0
4.170818750E-1,-3.445137947E0,-2.821026614E0,1.796878606E0,4.801660062E0
4.270208750E-1,-3.783699335E0,-1.732736405E0,1.413269684E0,4.395007088E0
4.369608750E-1,-3.970420226E0,-2.413923579E-1,1.655609584E0,4.308543854E0
4.468998750E-1,-3.633597801E0,7.259055108E-1,1.563218314E0,4.021644351E0
4.568398750E-1,-1.966801617E0,1.745006787E0,1.803866029E-2,2.629388271E0
4.667788750E-1,-1.872278306E0,6.613166404E0,4.852656895E-1,6.890201647E0
4.767188750E-1,-2.127998535E0,1.137154806E1,1.333087986E0,1.164549726E1
4.866578750E-1,-1.436076749E0,1.576232286E1,2.567030875E0,1.603442503E1
4.965978750E-1,3.412177046E-1,1.927432197E1,5.597567026E0,2.007358148E1
5.065368750E-1,2.715977876E0,1.625382110E1,8.099024593E0,1.836184728E1
5.164768750E-1,4.230110569E0,9.830113252E0,9.162230247E0,1.408798868E1
5.264158750E-1,4.029671232E0,8.078143601E0,9.684377834E0,1.323940438E1
5.363558750E-1,2.143163289E0,5.433347974E0,5.734629269E0,8.185376714E0
5.462948750E-1,2.880241951E0,-3.538080025E-1,6.749572005E0,7.346951480E0
5.562348750E-1,1.568252182E0,1.143002021E-1,7.396346562E0,7.561641482E0
5.661738750E-1,2.944125889E-1,-2.353202584E0,8.318868792E0,8.650307460E0
5.761138750E-1,2.676888216E-2,-1.903178648E0,9.175287080E0,9.370629570E0
5.860528750E-1,-3.389098817E-1,3.458573095E0,9.999756181E0,1.058639275E1
5.959928750E-1,-7.818300354E-1,1.661642448E0,1.139757752E1,1.154456960E1
6.059318750E-1,-3.135032619E0,-2.034949746E0,1.153948711E1,1.212968312E1
6.158718750E-1,-4.396118284E0,3.541002463E0,1.157863422E1,1.288135570E1
6.258108750E-1,-1.975652839E0,-8.074145275E-1,-6.059586525E-1,2.218627560E0
6.357508750E-1,2.742712516E0,-3.433403755E0,-1.215867216E1,1.292841993E1
6.456898750E-1,4.300655179E0,-1.815733538E0,-1.170264080E1,1.259937795E1
6.556298750E-1,2.967850783E0,-4.669554260E0,-9.735153301E0,1.119759282E1
6.655688750E-1,1.074178100E0,-7.779888825E0,-2.404352711E0,8.213491382E0
6.755088750E-1,7.423468579E-1,-1.039044608E1,2.161826285E0,1.063888817E1
6.854478750E-1,2.492287964E0,-7.613934905E0,2.114885423E0,8.285906371E0
6.953878750E-1,4.338706812E0,-4.233213394E0,3.686823251E0,7.094867026E0
7.053268750E-1,3.547186478E0,-3.627061783E0,2.671497522E0,5.733673177E0
7.152668750E-1,2.148004198E0,-5.345227511E0,9.498281425E-1,5.838454648E0
7.252058750E-1,1.233208918E0,-7.875948054E0,9.877641468E-1,8.032872462E0
7.351458750E-1,-5.712144971E-3,-9.557238316E0,2.633608149E0,9.913461996E0
7.450848750E-1,-1.318996781E0,-9.811591612E0,3.794675728E0,1.060220007E1
7.550248750E-1,-2.148201542E0,-9.838734387E0,4.572376460E0,1.105993177E1
7.649638750E-1,-2.462270697E0,-9.595139383E0,4.807221398E0,1.101085166E1
7.749038750E-1,-2.750616782E0,-1.017995100E1,4.061529787E0,1.130014686E1
7.848428750E-1,-3.568818837E0,-1.197226877E1,3.461641713E0,1.296358943E1
7.947828750E-1,-4.607172655E0,-1.485936074E1,2.205531006E0,1.571276578E1
8.047218750E-1,-3.725523047E0,-1.995596230E1,1.419969424E0,2.035033824E1
8.146618750E-1,-2.877575438E-1,-2.621699242E1,2.072078834E0,2.630032332E1
8.246008750E-1,2.211522502E0,-2.723476813E1,1.906920720E0,2.739087026E1
8.345408750E-1,3.544684747E0,-2.516796217E1,9.202909327E-1,2.543301094E1
8.444798750E-1,3.166342120E0,-2.230102088E1,6.335610187E-1,2.253358947E1
8.544198750E-1,3.086176209E0,-2.022557975E1,1.656057334E0,2.052659460E1
