"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.295704166E-2,1.156831505E1,9.873736989E-1,-2.181500266E0,1.181354152E1
3.289604167E-2,1.227506216E1,9.982363638E-1,-1.511259480E-1,1.231651192E1
4.283504166E-2,1.158930889E1,6.646907178E-1,2.231950042E0,1.182097692E1
5.277304167E-2,9.878869675E0,-8.699253559E-2,4.109507360E0,1.069989180E1
6.271204167E-2,7.562245519E0,-1.095839549E0,4.780421562E0,9.013370730E0
7.265104166E-2,5.401298801E0,-2.076189865E0,4.038724476E0,7.056620188E0
8.259004167E-2,3.968157354E0,-2.828813351E0,2.844521896E0,5.642673354E0
9.252804166E-2,3.372691530E0,-3.192723003E0,1.192917362E0,4.794953614E0
1.024670417E-1,3.473212768E0,-3.168636568E0,-7.000707579E-1,4.753268738E0
1.124060417E-1,3.828496023E0,-2.801998020E0,-2.213560695E0,5.235305689E0
1.223450417E-1,4.197435451E0,-2.171955855E0,-2.899609684E0,5.544690516E0
1.322840417E-1,4.427683600E0,-1.774625857E0,-2.799263277E0,5.530782394E0
1.422220417E-1,4.036730576E0,-1.582513833E0,-2.088124909E0,4.812463964E0
1.521610417E-1,3.766669904E0,-1.431619416E0,-1.291499079E0,4.231466199E0
1.621000417E-1,3.486968343E0,-1.352362747E0,-5.352634033E-1,3.778139772E0
1.720390417E-1,3.259626260E0,-1.382789319E0,1.452120193E-1,3.543777107E0
1.819770417E-1,3.598975267E0,-1.323861079E0,3.401722956E-1,3.849798478E0
1.919160417E-1,4.192149568E0,-1.073341218E0,1.474422204E-1,4.329886670E0
2.018550417E-1,4.501125798E0,-1.053709776E0,-1.313952680E-1,4.624684039E0
2.117940417E-1,4.935765125E0,-1.102448950E0,-7.673779842E-1,5.115275166E0
2.217320417E-1,5.211508706E0,-9.103974438E-1,-1.406505479E0,5.474203518E0
2.316710417E-1,5.130615985E0,-8.001274350E-1,-1.668632795E0,5.454150686E0
2.416100417E-1,4.828799670E0,-6.333198211E-1,-1.313843629E0,5.044262616E0
2.515490417E-1,4.501774839E0,-4.957778138E-1,-5.703105175E-1,4.564759186E0
2.614880417E-1,4.149909866E0,-4.195587730E-1,2.549771941E-1,4.178850899E0
2.714260417E-1,3.754850927E0,-4.132747704E-1,9.322531664E-1,3.890860764E0
2.813650417E-1,3.096167346E0,-4.076678753E-1,1.518375725E0,3.472450169E0
2.913040417E-1,2.034271469E0,-5.260780853E-1,1.758795691E0,2.740142485E0
3.012430417E-1,9.155611199E-1,-8.260420024E-1,1.645715218E0,2.056447454E0
3.111810417E-1,-6.786336958E-2,-1.086810864E0,1.388081049E0,1.764237027E0
3.211200417E-1,-9.255744767E-1,-1.310189704E0,9.496205664E-1,1.864152460E0
3.310590417E-1,-1.577118022E0,-1.492529570E0,4.515968370E-1,2.217856054E0
3.409980417E-1,-1.940878571E0,-1.699124270E0,4.660231789E-2,2.579962148E0
3.509360417E-1,-2.260019601E0,-1.884666071E0,-1.597862774E-1,2.947064039E0
3.608750417E-1,-2.807320740E0,-1.883641638E0,-8.603476167E-2,3.381797975E0
3.708140417E-1,-3.679030666E0,-1.741375958E0,2.417825500E-2,4.070410478E0
3.807530417E-1,-4.766491156E0,-1.566835109E0,8.215221047E-2,5.018083218E0
3.906920417E-1,-5.913506121E0,-1.416536231E0,-3.771457750E-2,6.080917030E0
4.006300417E-1,-7.191768858E0,-1.246386934E0,-2.650501925E-1,7.303784725E0
