"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.223912500E-2,-1.931489989E0,-1.389668217E1,-4.305942231E-1,1.403687431E1
2.217912500E-2,9.340193179E-1,-3.588929751E0,-9.610278994E-1,3.830976829E0
3.211912500E-2,2.451586957E0,2.201452135E0,-1.032459240E0,3.452917924E0
4.205912500E-2,3.607610435E0,6.674839911E0,-1.774957395E-1,7.589456215E0
5.199912500E-2,3.510399891E0,7.829318848E0,-1.939889807E-1,8.582468918E0
6.193812500E-2,-6.659914309E-1,1.692231572E0,6.388106489E-1,1.927503911E0
7.187812500E-2,-3.799271932E0,-8.348113056E0,2.508817458E0,9.508923380E0
8.181812500E-2,-3.044600459E0,-1.534959948E1,1.568144885E0,1.572701099E1
9.175812500E-2,-1.447122139E0,-1.405505751E1,3.050632739E0,1.445493564E1
1.016981250E-1,-3.272698295E-1,-8.098011271E0,3.337935680E0,8.765084523E0
1.116371250E-1,-4.393083286E-1,-4.174882155E0,3.303770399E0,5.342053132E0
1.215771250E-1,-2.875425307E0,-2.539657427E0,3.331516607E0,5.081036651E0
1.315171250E-1,-4.216618411E0,-2.983204402E0,1.697830281E0,5.437095456E0
1.414571250E-1,-3.707954796E0,-4.433506842E0,9.460011399E-1,5.856605659E0
1.513971250E-1,-2.984083531E0,-5.336839680E0,6.670585477E-1,6.150738118E0
1.613371250E-1,-2.232130136E0,-5.740817378E0,2.536399359E-1,6.164715916E0
1.712761250E-1,-1.685891436E0,-6.126818980E0,2.808388442E-1,6.360739832E0
1.812161250E-1,-1.319237101E0,-6.959451964E0,1.010512301E0,7.155102604E0
1.911561250E-1,-9.575754109E-1,-8.205939762E0,1.558364248E0,8.407312125E0
2.010961250E-1,-7.811114126E-1,-9.394922533E0,1.727194998E0,9.584253075E0
2.110361250E-1,-7.756208771E-1,-9.844383967E0,1.100008614E0,9.935970128E0
2.209761250E-1,-6.375105205E-1,-9.387198946E0,2.691099143E-1,9.412669327E0
2.309151250E-1,-3.442787951E-1,-8.597027273E0,-3.686143219E-1,8.611810630E0
2.408551250E-1,5.793011963E-2,-7.649006504E0,-9.838244390E-1,7.712234886E0
2.507951250E-1,4.297858456E-1,-6.836500221E0,-1.767823792E0,7.074436522E0
2.607349167E-1,7.238464138E-1,-6.009185865E0,-2.577584222E0,6.578617546E0
2.706749167E-1,9.036725610E-1,-5.231230779E0,-3.107267700E0,6.151220377E0
2.806139167E-1,9.392519912E-1,-4.642829561E0,-3.290371504E0,5.767547596E0
2.905539167E-1,8.694075850E-1,-4.051410595E0,-3.028025064E0,5.132127546E0
3.004939167E-1,4.712446511E-1,-3.108793824E0,-2.561637695E0,4.055694545E0
3.104339167E-1,-5.200801577E-1,-1.618872989E0,-2.471329496E0,2.999783760E0
3.203739167E-1,-1.453873042E0,4.444708353E-1,-1.758541337E0,2.324600778E0
3.303139167E-1,-1.887604004E0,2.948852595E0,-1.576695853E-1,3.504802448E0
3.402529167E-1,-1.536855265E0,5.450239996E0,1.117708428E0,5.772028434E0
3.501929167E-1,-9.436039276E-1,7.298993345E0,1.197706524E0,7.456553704E0
3.601329167E-1,-6.548229566E-1,8.366042374E0,6.300412872E-1,8.415248667E0
3.700729167E-1,-7.166362122E-1,9.189515694E0,4.378243053E-1,9.227808856E0
3.800129167E-1,-1.381496061E0,1.004015576E1,7.111018226E-1,1.015967150E1
3.899529167E-1,-2.024061353E0,1.118326888E1,9.583340871E-1,1.140529401E1
3.998919167E-1,-1.788781236E0,1.388310961E1,1.219478632E0,1.405089317E1
4.098319167E-1,-7.900749019E-1,1.793172173E1,2.171512052E0,1.807999799E1
4.197719167E-1,-5.985418980E-1,2.001845266E1,3.168167036E0,2.027643908E1
4.297119167E-1,-1.535184277E0,1.800754141E1,1.967800906E0,1.817967488E1
4.396519167E-1,-1.308007085E0,1.629950189E1,-1.923750322E0,1.646467308E1
4.495919167E-1,-1.770563212E-1,1.561975137E1,-5.535794701E0,1.657265835E1
4.595309167E-1,9.779937418E-1,1.459218040E1,-6.861084840E0,1.615433954E1
4.694709167E-1,2.025580167E0,1.374847630E1,-7.799993307E0,1.593623140E1
4.794109167E-1,2.171922088E0,1.254463283E1,-9.558023597E0,1.591982643E1
4.893509167E-1,2.183930807E0,1.119024929E1,-8.951222945E0,1.449536564E1
4.992909167E-1,1.945306229E0,9.943910594E0,-6.868116117E0,1.224077584E1
5.092309167E-1,1.678999762E0,8.983322405E0,-5.474719949E0,1.065324740E1
5.191699167E-1,1.599526599E0,8.259268123E0,-4.826104689E0,9.698725779E0
5.291099167E-1,1.969751829E0,7.640919220E0,-4.201881381E0,8.939763752E0
5.390499167E-1,2.542047184E0,7.170405471E0,-2.149686735E0,7.905559535E0
5.489899167E-1,3.256632193E0,6.693739282E0,4.435545766E-1,7.457113347E0
5.589299167E-1,3.759866961E0,6.552809690E0,1.484490964E0,7.699326452E0
5.688689167E-1,4.017611642E0,6.845846411E0,1.329472067E0,8.048249025E0
5.788089167E-1,3.922527145E0,7.261947141E0,-6.748574178E-1,8.281154993E0
5.887489167E-1,3.475906581E0,7.682632672E0,-2.221232242E0,8.720013991E0
5.986889167E-1,2.802309092E0,7.857500088E0,-2.944687623E0,8.846718549E0
6.086289167E-1,1.946202168E0,7.856057580E0,-2.918182780E0,8.603553587E0
6.185689167E-1,1.217583988E0,7.600012100E0,-1.625011981E0,7.866597652E0
6.285079167E-1,9.451402836E-1,7.201306837E0,5.830229491E-1,7.286427524E0
6.384479167E-1,9.054778158E-1,7.029490498E0,3.180157921E0,7.768335159E0
6.483879167E-1,5.498061230E-1,6.679982538E0,3.181522661E0,7.419335544E0
6.583279167E-1,5.551646210E-2,6.055102295E0,7.303558266E-1,6.099243028E0
6.682679167E-1,-4.696233644E-1,5.287561685E0,-2.037495039E0,5.685968758E0
6.782079167E-1,-4.566324592E-2,4.672722867E0,-2.718498026E0,5.406168295E0
6.881469167E-1,2.706410954E0,2.095852005E0,1.177932118E0,3.620052480E0
6.980869167E-1,1.023393483E1,-1.081935104E1,2.087839565E1,2.564564649E1
7.080269167E-1,5.691894894E0,-9.633028756E0,7.343432769E0,1.338353150E1
7.179669167E-1,2.004690989E0,-7.874045370E0,-1.709232937E1,1.892530316E1
7.279069167E-1,2.999559942E0,-2.247514863E1,-8.310920087E0,2.414955607E1
7.378459167E-1,-2.459565191E0,-5.381012003E1,3.929291964E1,6.667467295E1
7.477859167E-1,3.120892882E0,-7.245697027E1,1.616060245E1,7.430287736E1
7.577259167E-1,-5.444410322E0,-5.702711307E1,-1.582758714E1,5.943269928E1
7.676659167E-1,-2.346980445E1,-3.148936830E1,2.195977972E1,4.499604385E1
7.776059167E-1,-1.299415508E1,-1.673244844E1,-2.370714995E0,2.131767311E1
7.875459167E-1,1.185221696E0,-1.091776436E1,-4.741092313E0,1.196161717E1
7.974849167E-1,1.023239584E1,-6.138180120E0,1.182107498E1,1.679633869E1
