"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.481900000E-2,2.670030163E0,1.130644516E0,4.149950797E0,5.062559601E0
2.475800000E-2,1.743246775E0,1.003971167E0,1.930748270E0,2.788307067E0
3.469600000E-2,9.090152351E-1,7.481779937E-1,-2.520220113E-1,1.203990906E0
4.463500000E-2,3.764113647E-1,4.748403963E-1,-2.264637147E0,2.344299538E0
5.457399999E-2,1.825316539E-1,2.507704148E-1,-3.903578365E0,3.915881467E0
6.451200000E-2,2.134618168E-1,8.369967610E-2,-5.147392232E0,5.152496324E0
7.445099999E-2,2.920144082E-1,-6.996924430E-2,-6.115197054E0,6.122565077E0
8.439000000E-2,3.381853386E-1,-2.469910669E-1,-6.945285330E0,6.957899268E0
9.432799999E-2,3.673698152E-1,-5.608687261E-1,-7.734152489E0,7.763159733E0
1.042670000E-1,4.100395060E-1,-8.943292952E-1,-8.393359981E0,8.450825347E0
1.142060000E-1,4.075563397E-1,-1.208529136E0,-8.881179734E0,8.972290583E0
1.241440000E-1,4.120269015E-1,-1.531464132E0,-9.277427412E0,9.412003397E0
1.340830000E-1,5.238187212E-1,-1.904850951E0,-9.490154380E0,9.693599608E0
1.440220000E-1,6.973423009E-1,-2.266450076E0,-9.598982173E0,9.887544740E0
1.539610000E-1,8.970466425E-1,-2.557273918E0,-9.687133042E0,1.005906999E1
1.638990000E-1,1.096061890E0,-2.784206697E0,-9.724100894E0,1.017405017E1
1.738380000E-1,1.326409003E0,-2.947908854E0,-9.755604522E0,1.027722468E1
1.837770000E-1,1.423377035E0,-3.091940394E0,-9.807822497E0,1.038168964E1
1.937150000E-1,1.328513563E0,-3.245569553E0,-9.837242178E0,1.044365854E1
2.036540000E-1,1.235978451E0,-3.344057715E0,-9.784834753E0,1.041409410E1
2.135930000E-1,1.193826604E0,-3.428953439E0,-9.548610749E0,1.021562093E1
2.235310000E-1,1.264302949E0,-3.467484251E0,-8.969244064E0,9.698930253E0
2.334700000E-1,1.156228131E0,-3.356449134E0,-8.249079350E0,8.980530296E0
2.434090000E-1,9.731136556E-1,-3.135134361E0,-7.406471601E0,8.101347988E0
2.533480000E-1,9.196522705E-1,-2.917190507E0,-6.389546074E0,7.083929685E0
2.632860000E-1,1.071325829E0,-2.646472608E0,-5.128247863E0,5.869453334E0
2.732250000E-1,1.155585814E0,-2.136570845E0,-3.999197883E0,4.679091499E0
2.831643333E-1,6.568352759E-1,-1.405670643E0,-3.047898581E0,3.420091855E0
2.931023333E-1,-3.998339585E-1,-1.965097153E-1,-1.628355419E0,1.688201597E0
3.030413333E-1,-2.182909152E0,2.166909124E0,-9.053419411E-2,3.077138924E0
3.129803333E-1,-3.422301354E0,4.414086485E0,4.394685423E-1,5.602627835E0
3.229183333E-1,-2.598242727E0,4.562807491E0,-3.354038912E-1,5.261423120E0
3.328573333E-1,-1.151216336E0,4.712825995E0,-1.021896245E0,4.957852342E0
3.427963333E-1,-7.013633580E-1,5.586278976E0,-3.728120381E-1,5.642465080E0
3.527343333E-1,-5.846313719E-1,5.354202402E0,2.294022329E0,5.854213496E0
3.626733333E-1,1.894997808E-1,4.092362739E0,6.050496444E0,7.306972709E0
3.726123333E-1,1.025532555E0,3.040817018E0,9.870180713E0,1.037876450E1
3.825513333E-1,1.291761035E0,2.340848587E0,1.328973651E1,1.355600661E1
3.924893333E-1,9.273696450E-1,1.711691106E0,1.508652740E1,1.521161431E1
4.024283333E-1,-3.699216132E-1,1.160382577E0,1.395992098E1,1.401294842E1
4.123673333E-1,-1.467561228E0,1.115604015E0,1.100244842E1,1.115581370E1
4.223053333E-1,-9.515516093E-1,1.225431097E0,9.105385956E0,9.236621960E0
4.322443333E-1,1.036372781E0,1.573486317E0,8.998788291E0,9.193917469E0
4.421833333E-1,3.502889142E0,2.074248590E0,8.389135952E0,9.324716702E0
4.521213333E-1,5.299786459E0,2.420393231E0,7.371266685E0,9.395829524E0
4.620603333E-1,5.720325226E0,2.268001635E0,6.703582485E0,9.099668688E0
4.719993333E-1,4.790424394E0,1.572071291E0,6.012272025E0,7.846463466E0
4.819373333E-1,3.106916575E0,8.386319348E-1,5.172641094E0,6.091998852E0
4.918763333E-1,1.596171759E0,4.087465404E-1,4.131998091E0,4.448398166E0
5.018153333E-1,5.698724149E-1,2.198339662E-1,2.633138618E0,2.703053925E0
5.117543333E-1,-2.320126200E-1,1.422463846E-1,8.840241623E-1,9.249662747E-1
5.216923333E-1,-8.392917931E-1,1.882851680E-1,-7.264428699E-1,1.125869114E0
5.316313333E-1,-1.257050208E0,1.189075157E-1,-2.053198321E0,2.410381208E0
5.415703333E-1,-1.589826799E0,-1.233475989E-1,-3.147944441E0,3.528784222E0
5.515083333E-1,-1.905100189E0,-3.484586772E-1,-4.060673169E0,4.498877279E0
5.614473333E-1,-2.208524196E0,-4.460038291E-1,-5.006670216E0,5.490286440E0
5.713863333E-1,-2.413700362E0,-6.019920476E-1,-6.013989353E0,6.508180375E0
5.813243333E-1,-2.661292377E0,-8.824091613E-1,-6.980874993E0,7.522881011E0
5.912633333E-1,-3.035974939E0,-1.224968144E0,-7.780258954E0,8.440978627E0
6.012023333E-1,-3.370112908E0,-1.615921315E0,-8.366672704E0,9.163518693E0
