"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.735583338E-3,-4.443130336E-1,3.131359398E-2,2.203231004E0,2.247803699E0
1.867458333E-2,-2.739861267E-1,-1.235295643E0,3.037216887E0,3.290244694E0
2.861358334E-2,-5.604462647E-1,-2.138040251E0,3.352909230E0,4.015883020E0
3.855258334E-2,-8.539292742E-1,-2.622881432E0,2.643488774E0,3.820567381E0
4.849158334E-2,-1.045908494E0,-2.256073900E0,1.656653019E0,2.988024974E0
5.843058333E-2,-8.654361561E-1,-5.970135820E-1,8.322435594E-1,1.340908013E0
6.836929166E-2,-7.010501665E-1,1.080826823E0,1.160482857E0,1.733891121E0
7.830829168E-2,-5.288059576E-1,1.172845041E0,1.722669253E0,2.150067577E0
8.824729167E-2,1.089738272E-1,-1.379317242E-1,1.710698833E0,1.719706648E0
9.818629167E-2,1.121530607E0,-2.238708839E0,9.551672351E-1,2.679923994E0
1.081252917E-1,2.805401099E0,-4.521105149E0,5.047644361E-1,5.344665961E0
1.180642917E-1,4.488044992E0,-7.540843540E0,1.777557213E-2,8.775373788E0
1.280032917E-1,5.788402603E0,-1.142052901E1,-7.236853230E-1,1.282411042E1
1.379412917E-1,6.271545753E0,-1.517706686E1,-1.052871870E0,1.645552138E1
1.478802917E-1,5.534001945E0,-1.767812097E1,-6.901842856E-1,1.853692242E1
1.578192917E-1,4.411901965E0,-1.847766690E1,-9.972964239E-1,1.902323982E1
1.677582917E-1,3.247446802E0,-1.798589852E1,-1.518989682E0,1.833973244E1
1.776972917E-1,2.630470533E0,-1.684968512E1,-1.579420656E0,1.712675782E1
1.876362917E-1,2.319419564E0,-1.535076074E1,-1.331822648E0,1.558201893E1
1.975752917E-1,1.450669499E0,-1.424025988E1,-1.143804259E0,1.435958675E1
2.075142917E-1,5.548181735E-1,-1.342598365E1,-1.113351960E0,1.348348667E1
2.174532917E-1,2.543075417E-1,-1.217289376E1,-1.267174662E0,1.224131310E1
2.273922917E-1,-4.646263339E-1,-1.059621896E1,-1.629240103E0,1.073080412E1
2.373312917E-1,-1.393448500E0,-8.661660640E0,-2.222638936E0,9.050203733E0
2.472702917E-1,-2.253759718E0,-6.636956971E0,-2.583019209E0,7.469981187E0
2.572092917E-1,-3.150615157E0,-4.764258104E0,-2.880684586E0,6.397098938E0
2.671482917E-1,-3.605594608E0,-2.887400697E0,-3.320046709E0,5.688594326E0
2.770872917E-1,-3.421427488E0,-5.543271536E-1,-2.681536607E0,4.382246367E0
2.870252917E-1,-3.429172710E0,2.384139032E0,-1.032274614E0,4.302201213E0
2.969642917E-1,-3.182710523E0,5.070265703E0,5.405563760E-1,6.010777135E0
3.069032917E-1,-2.854811533E0,7.547533924E0,2.270057516E0,8.382623596E0
3.168422917E-1,-2.272269079E0,9.849373981E0,3.859714600E0,1.081992474E1
3.267812917E-1,-1.552069135E0,1.196174846E1,4.516371828E0,1.287982761E1
3.367202917E-1,-6.896307736E-1,1.391248369E1,4.360460501E0,1.459610937E1
3.466592917E-1,2.556607701E-1,1.540562517E1,3.817329011E0,1.587358340E1
3.565982917E-1,1.043198529E0,1.628097440E1,2.757974918E0,1.654583985E1
3.665372917E-1,1.387381429E0,1.645349182E1,1.615590363E0,1.659073092E1
3.764762917E-1,1.107725185E0,1.577584162E1,1.055894880E0,1.584989426E1
3.864152917E-1,5.332458946E-1,1.432787339E1,8.764099181E-1,1.436455365E1
3.963542917E-1,-2.410654986E-1,1.291532876E1,8.089751494E-1,1.294288494E1
4.062932917E-1,-9.367537683E-1,1.171672089E1,9.377719148E-1,1.179145760E1
4.162322917E-1,-1.333102019E0,1.059531147E1,1.041536604E0,1.072951931E1
4.261712917E-1,-1.436369694E0,9.516074502E0,1.190530529E0,9.697226138E0
4.361102917E-1,-1.400022817E0,8.559606262E0,1.378503456E0,8.782209006E0
4.460482917E-1,-1.412038845E0,7.706424408E0,1.424811065E0,7.963222804E0
4.559872917E-1,-1.399117668E0,7.154993380E0,1.272139972E0,7.400662175E0
4.659262917E-1,-1.201722831E0,6.881797432E0,7.931160387E-1,7.030811241E0
4.758652917E-1,-8.511197602E-1,6.953202460E0,4.466487770E-1,7.019325069E0
4.858042917E-1,-4.144296686E-1,7.470137839E0,5.464049073E-1,7.501551146E0
4.957432917E-1,1.370917717E-1,8.040326149E0,7.093690002E-1,8.072722163E0
5.056822917E-1,4.539702219E-1,8.422655116E0,1.191834458E0,8.518666418E0
5.156212917E-1,5.573416125E-1,8.500299123E0,1.768202983E0,8.700129691E0
5.255602917E-1,8.023753971E-1,8.392412147E0,2.030877306E0,8.671842397E0
5.354992917E-1,1.253546849E0,8.247982997E0,2.010368636E0,8.581502506E0
5.454382917E-1,1.988460873E0,7.799184052E0,1.439488599E0,8.176391377E0
5.553772917E-1,2.872200860E0,6.699744372E0,7.966500959E-1,7.332855093E0
5.653162917E-1,3.097615117E0,4.696947296E0,8.821412127E-1,5.695147622E0
5.752552917E-1,3.268856967E0,4.970928526E-1,1.864119247E0,3.795717026E0
5.851942917E-1,2.040962437E0,-7.921628841E0,7.046701777E-1,8.210620636E0
5.951332917E-1,-7.952662792E-1,-2.261778794E1,-3.844119784E0,2.295591507E1
6.050722917E-1,-4.695728737E0,-4.653775549E1,-3.004860735E0,4.687047837E1
6.150102917E-1,-4.021033433E0,-5.021959750E1,-2.041528448E0,5.042166718E1
6.249492917E-1,2.237498465E0,-2.458297631E1,-4.782542932E0,2.514362425E1
6.348882917E-1,5.705272154E0,-1.418663858E1,-1.750520711E0,1.539074940E1
6.448272917E-1,5.065784982E0,-1.804134650E1,3.306863576E0,1.902860236E1
6.547662917E-1,1.722717785E0,-2.268082794E1,3.342639180E0,2.299045344E1
6.647052917E-1,-8.500299123E-1,-2.221314659E1,-1.001744986E0,2.225196452E1
6.746442917E-1,-6.915586737E-1,-1.805803913E1,-3.330342486E0,1.837558738E1
6.845832917E-1,-1.022209509E-1,-1.405670760E1,-3.517877895E0,1.449058116E1
6.945222917E-1,-4.128721165E-1,-1.011491008E1,-3.786284974E0,1.080822942E1
7.044612917E-1,-3.646282750E-1,-6.255981635E0,-4.285355355E0,7.591740941E0
7.144002917E-1,-4.548470119E-1,-3.019793939E0,-3.616313431E0,4.733261462E0
7.243392917E-1,-7.104220106E-1,-6.041577101E-2,-1.733395532E0,1.874302422E0
7.342782917E-1,-4.835048005E-1,2.567052802E0,-1.416663408E-1,2.616028733E0
7.442172917E-1,-2.819039145E-1,5.215921015E0,1.126561990E0,5.343635819E0
7.541562917E-1,2.547377140E-1,7.953729470E0,2.573185362E0,8.363491298E0
7.640942917E-1,1.118604222E0,1.070067595E1,3.439485444E0,1.129538850E1
7.740332917E-1,1.515339558E0,1.303648424E1,3.740342231E0,1.364684342E1
7.839722917E-1,1.803343580E0,1.514114975E1,3.932413032E0,1.574707389E1
7.939112917E-1,1.601824847E0,1.734120791E1,4.124948395E0,1.789688615E1
8.038502917E-1,1.811465947E0,1.868782986E1,3.987178639E0,1.919411335E1
8.137892917E-1,2.184965326E0,1.856742400E1,3.731179059E0,1.906423365E1
8.237282917E-1,1.803559927E0,1.711690755E1,3.220374193E0,1.751034444E1
8.336672917E-1,1.373591941E0,1.507780336E1,2.677892622E0,1.537524042E1
8.436062917E-1,1.330041586E0,1.332641960E1,2.285961650E0,1.358631998E1
