"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.503208326E-3,3.523789897E1,1.820297173E1,-1.164020423E0,3.967886903E1
1.744220834E-2,3.043130060E1,1.930684652E1,-2.896608893E0,3.615534154E1
2.738220833E-2,2.444615614E1,1.926949918E1,-4.129102550E0,3.140028084E1
3.732120834E-2,1.827254424E1,1.811213406E1,-4.245596627E0,2.607604962E1
4.726020833E-2,1.221184440E1,1.589906468E1,-3.457427040E0,2.034362807E1
5.719920833E-2,6.559538081E0,1.308250651E1,-3.141270429E0,1.496820284E1
6.713820832E-2,1.821573737E0,1.026104603E1,-4.500391388E0,1.135168354E1
7.707720833E-2,-4.455941439E0,6.727081275E0,-1.031585315E1,1.309678826E1
8.701620833E-2,-8.343808921E0,5.247896513E0,-1.149300057E1,1.514095860E1
9.695520833E-2,-1.373307474E1,2.718119127E-1,-1.667062817E1,2.160048766E1
1.068952083E-1,-2.079389169E1,-3.365366723E0,-1.769862949E1,2.751278086E1
1.168342083E-1,-1.810008412E1,-1.537848999E0,-1.534481880E1,2.377901362E1
1.267732083E-1,-7.924644835E0,1.765322645E0,-3.498811294E0,8.840703607E0
1.367122083E-1,-8.806258775E0,-1.706629756E0,2.795913992E0,9.395739129E0
1.466512083E-1,-1.637858431E1,-5.249206290E0,4.923640924E0,1.789006514E1
1.565902083E-1,-1.839549481E1,-4.980172974E0,4.794749579E0,1.965161509E1
1.665292083E-1,-1.636475447E1,-4.620247907E0,9.618108416E-1,1.703164583E1
1.764682083E-1,-3.834144434E0,-2.809071397E0,5.233938625E0,7.070053690E0
1.864082083E-1,3.089744765E0,-4.295060563E0,5.606351298E0,7.708777000E0
1.963472083E-1,3.152852009E0,-4.748648085E0,3.653250877E0,6.770256745E0
2.062862083E-1,4.193379822E0,-6.677510920E0,3.689262124E0,8.705414489E0
2.162252083E-1,3.176840211E0,-8.415503971E0,2.193749013E0,9.258809618E0
2.261642083E-1,8.587075896E0,-4.867308848E0,2.673127726E-2,9.870627256E0
2.361032083E-1,1.291576380E1,-4.221038321E0,-2.686214379E0,1.385098793E1
2.460422083E-1,1.576008923E1,-6.384765390E0,-4.008986707E0,1.747047841E1
2.559812083E-1,2.358719315E1,-6.683834683E0,-4.843488461E0,2.498977205E1
2.659212083E-1,2.259704670E1,-3.945072547E0,-7.701965321E0,2.419732189E1
2.758602083E-1,2.431536329E1,-3.026051629E0,-7.162132831E0,2.552822021E1
2.857992083E-1,2.426247405E1,-6.074463011E0,-4.712556438E0,2.545142307E1
2.957382083E-1,2.145304597E1,-6.655921245E0,-1.115922250E0,2.248954761E1
3.056772083E-1,1.847522393E1,-5.657982797E0,1.468841622E0,1.937792983E1
3.156162083E-1,1.725263312E1,-3.907243108E0,1.442079208E0,1.774822500E1
3.255552083E-1,1.450555274E1,-4.030501244E0,9.022671828E-1,1.508211147E1
3.354942083E-1,9.160065608E0,-3.638717038E0,9.899569988E-1,9.905911290E0
3.454332083E-1,5.484695299E0,-3.701279614E0,9.355733617E-1,6.682563192E0
3.553732083E-1,6.076952171E0,-2.063276874E0,1.768645764E0,6.656918730E0
3.653122917E-1,5.085879523E0,2.239763092E0,3.945949044E0,6.815660136E0
3.752512917E-1,-2.601172475E0,-3.073721932E0,4.465273011E-1,4.051327114E0
3.851902917E-1,-6.252234154E0,-3.881586403E0,-1.830278925E0,7.583341339E0
3.951292917E-1,-6.428655760E0,-1.547652149E0,1.635063783E0,6.811481163E0
4.050682917E-1,-9.327977761E0,-3.399369451E0,2.619989984E0,1.026797104E1
