"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.880999997E-3,-3.291525452E0,-4.213303040E0,-3.995715866E0,6.674714046E0
1.582000000E-2,-3.707879074E0,-1.892560104E0,-3.302495706E0,5.313814907E0
2.575900000E-2,-3.664512907E0,3.857583582E-2,-2.463829857E0,4.415948427E0
3.569900000E-2,-3.301489985E0,2.093741745E0,-1.432679955E0,4.163671753E0
4.563800000E-2,-2.889283501E0,3.890342023E0,-2.353479449E-1,4.851608894E0
5.557700000E-2,-2.429905628E0,5.459624777E0,3.777720849E-1,5.987875735E0
6.551600000E-2,-1.948331578E0,6.708798786E0,7.486378773E-1,7.025982903E0
7.545600000E-2,-1.338251077E0,7.881187159E0,1.047579263E0,8.062347629E0
8.539500000E-2,-8.030889036E-1,9.028792693E0,1.124260672E0,9.133893548E0
9.533400000E-2,-2.299360545E-1,1.004879795E1,1.336594122E0,1.013990605E1
1.052730000E-1,5.442003608E-1,1.092596099E1,1.669068997E0,1.106609998E1
1.152130000E-1,1.069974976E0,1.189584216E1,1.807037559E0,1.207978857E1
1.251520000E-1,1.535855537E0,1.270544764E1,2.110910632E0,1.297085948E1
1.350910000E-1,1.905078554E0,1.320876193E1,2.557326836E0,1.358825362E1
1.450300000E-1,2.008921304E0,1.337821891E1,3.040330237E0,1.386564510E1
1.549690000E-1,2.055578576E0,1.357423746E1,3.613618157E0,1.419660389E1
1.649090000E-1,2.233134250E0,1.364353983E1,4.119553169E0,1.442580279E1
1.748480000E-1,2.167411838E0,1.358738902E1,4.430839050E0,1.445500429E1
1.847870000E-1,1.831013628E0,1.347379399E1,4.723020323E0,1.439453564E1
1.947260000E-1,9.481879985E-1,1.300817319E1,5.080685441E0,1.399732099E1
2.046660000E-1,-6.663698919E-2,1.192068113E1,5.257267261E0,1.302865834E1
2.146050000E-1,-4.969162667E-1,1.071649852E1,5.347594464E0,1.198695261E1
2.245440000E-1,-8.189991774E-1,9.816815515E0,5.576439866E0,1.131977509E1
2.344830000E-1,-1.205956873E0,9.080733510E0,5.798380877E0,1.084136863E1
2.444230000E-1,-1.590546299E0,8.500669836E0,6.051696292E0,1.055529503E1
2.543620000E-1,-1.957565647E0,8.068888044E0,6.273447853E0,1.040649631E1
2.643010000E-1,-2.190763132E0,7.745762136E0,6.404696209E0,1.028671025E1
2.742400000E-1,-2.235532339E0,7.541249337E0,6.564378991E0,1.024495573E1
2.841790000E-1,-1.910595402E0,7.539596913E0,6.527790624E0,1.015420833E1
2.941190000E-1,-1.101860354E0,7.813667606E0,6.493087399E0,1.021898633E1
