"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.813666669E-3,1.337574116E0,1.163515808E0,1.400700327E-1,1.778340002E0
8.125333334E-3,1.337442115E0,1.102832819E0,9.271754444E-2,1.735968946E0
1.806533333E-2,1.306576564E0,9.785414797E-1,3.145566305E-2,1.632689561E0
2.800433333E-2,1.269253494E0,8.829775107E-1,-6.044677952E-2,1.547355011E0
3.794333333E-2,1.252592145E0,8.437497103E-1,-1.868641301E-1,1.521781475E0
4.788233333E-2,1.228542839E0,8.175033134E-1,-2.696326371E-1,1.500110308E0
5.782233333E-2,1.167797139E0,7.867960757E-1,-2.947195494E-1,1.438630542E0
6.776133333E-2,1.130114319E0,6.992919087E-1,-1.861045768E-1,1.341939813E0
7.770033334E-2,1.148935045E0,4.974816924E-1,7.118966784E-3,1.252034525E0
8.763933333E-2,1.163933153E0,2.517922157E-1,2.778959223E-1,1.222851523E0
9.757933333E-2,1.219288744E0,-1.107521117E-2,5.296483952E-1,1.329404048E0
1.075183333E-1,1.298923874E0,-2.275514138E-1,7.354510903E-1,1.509924231E0
1.174573333E-1,1.312020906E0,-3.287865973E-1,8.039629161E-1,1.573485257E0
1.273973333E-1,1.276061115E0,-3.688142967E-1,6.987001705E-1,1.500845722E0
1.373363333E-1,1.278819100E0,-4.435253406E-1,4.439287984E-1,1.424487907E0
1.472753333E-1,1.328871704E0,-5.509930712E-1,1.067023118E-1,1.442525131E0
1.572143333E-1,1.354342468E0,-6.880646700E-1,-2.969437937E-1,1.547854040E0
1.671543333E-1,1.291172512E0,-7.969310546E-1,-6.565692276E-1,1.653272123E0
1.770933333E-1,1.153193133E0,-9.238372689E-1,-9.518998110E-1,1.757681129E0
1.870323333E-1,9.721431640E-1,-1.089977131E0,-1.166806036E0,1.869371232E0
1.969723333E-1,7.632420292E-1,-1.198862227E0,-1.403221829E0,1.997208185E0
2.069113333E-1,6.102398376E-1,-1.258607907E0,-1.758275873E0,2.246780044E0
2.168503333E-1,6.369398323E-1,-1.309276954E0,-2.075999538E0,2.535679904E0
2.267893333E-1,7.853985912E-1,-1.324057546E0,-2.253366054E0,2.729036076E0
2.367293333E-1,1.020151874E0,-1.316490664E0,-2.401919246E0,2.922853670E0
2.466683333E-1,1.196413120E0,-1.188845361E0,-2.598978015E0,3.098297011E0
2.566073333E-1,1.211516040E0,-9.309948456E-1,-2.734457417E0,3.132376076E0
2.665463333E-1,1.240469259E0,-6.173753411E-1,-2.681486320E0,3.018324897E0
2.764863333E-1,1.260840081E0,-2.091350234E-1,-2.286647236E0,2.619582171E0
2.864253333E-1,1.194906951E0,2.258405185E-1,-1.685201465E0,2.078150750E0
2.963643333E-1,1.123517564E0,6.525562835E-1,-1.168184810E0,1.747219840E0
3.063043333E-1,7.071692777E-1,1.208923531E0,-1.058450114E0,1.755534429E0
3.162433333E-1,-1.895334023E-1,1.893365850E0,-7.812593472E-1,2.056969451E0
3.261823333E-1,-1.133559645E0,2.687824118E0,3.765840769E-1,2.941287392E0
3.361213333E-1,-1.990102186E0,3.439519358E0,1.833710217E0,4.376447565E0
3.460613333E-1,-2.992798514E0,4.002516763E0,2.861780537E0,5.759059925E0
3.560003333E-1,-4.014211194E0,4.321458988E0,3.616333312E0,6.918581207E0
3.659393333E-1,-4.721374332E0,4.360655213E0,4.083715292E0,7.614684502E0
3.758793333E-1,-4.739918484E0,3.968059705E0,3.531181480E0,7.119098799E0
3.858183333E-1,-4.021712002E0,3.307186342E0,2.216664251E0,5.659085556E0
3.957573333E-1,-3.198072328E0,2.969568111E0,1.109309341E0,4.502951099E0
4.056963333E-1,-2.819631760E0,2.946892024E0,5.470445926E-1,4.115064234E0
4.156363333E-1,-2.909389737E0,3.015012086E0,4.530118632E-1,4.214269363E0
4.255753333E-1,-2.997823026E0,3.054946230E0,7.005092990E-1,4.337090343E0
4.355143333E-1,-2.750233497E0,3.230515312E0,1.034438011E0,4.366929753E0
4.454533333E-1,-2.431016599E0,3.506341923E0,1.266134004E0,4.450547236E0
4.553933333E-1,-2.100706363E0,3.691555402E0,1.257488165E0,4.429652921E0
4.653323333E-1,-1.774817939E0,3.642341142E0,9.945669436E-1,4.172024822E0
4.752713333E-1,-1.305720093E0,3.426784122E0,7.792315328E-1,3.748994020E0
4.852113333E-1,-8.117456333E-1,3.027809887E0,7.980280653E-1,3.234719845E0
4.951503333E-1,-4.421540223E-1,2.488801269E0,9.130636279E-1,2.687622951E0
5.050893333E-1,-2.870395971E-1,1.824347656E0,9.620296005E-1,2.082339322E0
5.150283333E-1,-1.699770972E-1,1.317264251E0,8.710293102E-1,1.588322819E0
5.249683333E-1,-6.084444501E-2,9.839729583E-1,9.554666857E-1,1.372887984E0
5.349073333E-1,2.662503335E-1,5.384320825E-1,6.568107176E-1,8.900554288E-1
5.448463333E-1,8.274640453E-1,5.471882880E-2,2.037169933E-1,8.539271104E-1
5.547863333E-1,1.154674964E0,-3.359003198E-1,-1.492538340E-1,1.211767306E0
5.647253333E-1,8.812233460E-1,-7.695602381E-1,-5.121506023E-1,1.277135774E0
5.746643333E-1,4.561915791E-1,-1.146920241E0,-3.408189976E-1,1.280505519E0
5.846033333E-1,4.300377144E-1,-1.367805244E0,-2.099724908E-1,1.449107335E0
5.945433333E-1,7.157842728E-1,-1.466301591E0,-7.133603096E-5,1.631682410E0
6.044823333E-1,4.663483389E-1,-8.177208298E-1,9.773761296E-1,1.356986451E0
6.144213333E-1,-7.992360270E-1,-4.287102503E-1,1.892978765E0,2.099032946E0
6.243603333E-1,-1.797999371E0,-1.247028666E0,1.947940399E0,2.929565502E0
6.343003333E-1,-1.540510506E0,-2.606383513E0,1.319268822E0,3.302556262E0
6.442393333E-1,-9.691876888E-2,-3.744845756E0,3.664075828E-1,3.763976289E0
6.541783333E-1,1.892565951E0,-4.281727742E0,2.607412331E-2,4.681418396E0
6.641183333E-1,3.521305532E0,-4.253143044E0,8.210062341E-1,5.582371327E0
6.740573333E-1,3.838276369E0,-4.044119117E0,1.282837014E0,5.721270464E0
6.839963333E-1,3.772730543E0,-3.647961486E0,1.446145070E0,5.443569997E0
6.939353333E-1,3.467445075E0,-3.351663188E0,1.339749280E0,5.005172286E0
7.038753333E-1,2.970554536E0,-3.173748204E0,1.373803464E0,4.558970045E0
7.138143333E-1,2.419093834E0,-2.866121510E0,1.494833957E0,4.037473969E0
7.237533333E-1,2.001373718E0,-2.650137643E0,1.524591315E0,3.654190056E0
7.336933333E-1,1.970447502E0,-2.677282172E0,1.455120692E0,3.628757283E0
7.436323333E-1,2.163214122E0,-2.821436504E0,1.393110824E0,3.818475749E0
7.535714583E-1,2.155591253E0,-3.011972119E0,1.374777464E0,3.950767364E0
7.635104583E-1,2.053314388E0,-3.150104987E0,1.327350844E0,3.987621054E0
7.734504583E-1,1.915919877E0,-3.261759324E0,1.349199257E0,4.016237231E0
7.833894583E-1,1.820233993E0,-3.177184612E0,1.364861609E0,3.907761644E0
7.933284583E-1,1.702732587E0,-2.889817936E0,1.321912641E0,3.605246038E0
8.032684583E-1,1.542199620E0,-2.526914005E0,1.290865241E0,3.229552156E0
8.132074583E-1,1.429729304E0,-2.229158581E0,1.243088812E0,2.925498873E0
8.231464583E-1,1.371832514E0,-2.024637011E0,1.209265008E0,2.728259763E0
8.330854583E-1,1.279759332E0,-1.879161794E0,1.281350652E0,2.609768666E0
8.430254583E-1,1.110735477E0,-1.763861718E0,1.382990463E0,2.501520354E0
8.529644583E-1,9.304187487E-1,-1.786015649E0,1.435127746E0,2.472877391E0
8.629034583E-1,7.698721871E-1,-1.916051878E0,1.546547610E0,2.579877418E0
8.728424583E-1,6.686305717E-1,-2.075192038E0,1.678291225E0,2.751390607E0
8.827824583E-1,6.430456410E-1,-2.290921551E0,1.991732390E0,3.103035153E0
8.927214583E-1,6.462605864E-1,-2.316449325E0,2.334463427E0,3.351613002E0
9.026604583E-1,7.135159917E-1,-2.109970107E0,2.557388524E0,3.391358870E0
9.126004583E-1,8.067935532E-1,-1.881332865E0,2.753525187E0,3.431068367E0
9.225394583E-1,9.315305237E-1,-1.902992122E0,2.663083963E0,3.403108039E0
9.324784583E-1,1.117788974E0,-2.186645815E0,2.521759100E0,3.519963220E0
9.424174583E-1,1.452436820E0,-2.664596053E0,2.422840583E0,3.883271988E0
9.523574583E-1,1.843501234E0,-3.290801275E0,2.256449876E0,4.395388023E0
9.622964583E-1,2.147047740E0,-4.113128541E0,2.110001682E0,5.097033205E0
9.722354583E-1,2.287704851E0,-5.225078339E0,1.802024741E0,5.981833356E0
9.821754583E-1,2.338487773E0,-6.756617315E0,1.525950208E0,7.310877283E0
9.921144583E-1,2.230991245E0,-8.430246556E0,1.499721352E0,8.848476878E0
1.002053458E0,2.064624804E0,-9.955144265E0,1.240885581E0,1.024242988E1
1.011992458E0,1.837450974E0,-1.107519713E1,6.718181813E-1,1.124666872E1
