"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.403204167E-2,1.712703727E1,8.761729304E0,2.313846145E0,1.937671773E1
2.397004167E-2,1.480935769E1,9.463688128E0,2.574058936E0,1.776243923E1
3.390804167E-2,1.234907387E1,9.996523840E0,3.015531904E0,1.617168968E1
4.384604167E-2,1.014171488E1,1.019767741E1,3.166473098E0,1.472662749E1
5.378404167E-2,8.039660736E0,1.026221430E1,3.118244094E0,1.340420208E1
6.372304167E-2,6.071661610E0,1.031936382E1,2.962438601E0,1.233411476E1
7.366104167E-2,4.546304895E0,1.036673562E1,2.697328767E0,1.163673829E1
8.359904167E-2,3.366324497E0,1.036514752E1,2.346028635E0,1.114774749E1
9.353704167E-2,2.315025528E0,1.032362410E1,2.032606766E0,1.077348820E1
1.034750417E-1,1.245644045E0,1.022391738E1,1.824970969E0,1.045995386E1
1.134130417E-1,1.690646392E-1,9.966186147E0,1.464521699E0,1.007463513E1
1.233510417E-1,-1.069323596E0,9.563157452E0,1.082671620E0,9.683471033E0
1.332900417E-1,-2.272741388E0,9.034144650E0,9.275087357E-1,9.361698319E0
1.432280417E-1,-3.361512823E0,8.479359074E0,8.958800498E-1,9.165255034E0
1.531660417E-1,-4.304264665E0,7.982296042E0,1.061042769E0,9.130693083E0
1.631040417E-1,-5.048620480E0,7.535519650E0,1.187789354E0,9.147866893E0
1.730420417E-1,-5.534398971E0,7.137364610E0,1.171771638E0,9.107392289E0
1.829800417E-1,-5.818601133E0,6.840990883E0,1.150844307E0,9.054265184E0
1.929180417E-1,-5.795896395E0,6.671035128E0,1.132763547E0,8.909448802E0
2.028560417E-1,-5.568663654E0,6.405820044E0,1.205587109E0,8.573096617E0
2.127950417E-1,-5.502820498E0,6.096970698E0,1.230655292E0,8.304733444E0
2.227330417E-1,-5.707647877E0,5.815521405E0,1.330551317E0,8.256385426E0
2.326710417E-1,-5.825900213E0,5.598045913E0,1.500561597E0,8.217719662E0
2.426090417E-1,-5.725762551E0,5.446515319E0,1.753453820E0,8.094657882E0
2.525470417E-1,-5.466879417E0,5.368077845E0,2.225245625E0,7.978392595E0
2.624850417E-1,-4.729475942E0,5.523275812E0,3.073320228E0,7.894290063E0
2.724230417E-1,-2.705810153E0,6.137327596E0,4.178551283E0,7.902435664E0
2.823620417E-1,6.345567995E-1,7.302708666E0,5.132102348E0,8.948222767E0
2.923000417E-1,4.361289636E0,8.649672679E0,5.949656532E0,1.136820556E1
3.022380417E-1,7.845486984E0,9.817051742E0,6.598518544E0,1.419389368E1
3.121760417E-1,1.080191815E1,1.058515719E1,7.190770154E0,1.674616864E1
3.221140417E-1,1.355022412E1,1.054179892E1,7.740480931E0,1.883223681E1
3.320520417E-1,1.541905622E1,9.907344446E0,8.051228868E0,2.001811817E1
3.419900417E-1,1.667619121E1,9.063382482E0,7.686672513E0,2.047743123E1
3.519280417E-1,1.785448937E1,8.632852578E0,7.030133107E0,2.104119069E1
3.618670417E-1,1.939782218E1,8.484012873E0,5.997430623E0,2.200507109E1
3.718050417E-1,2.120639171E1,8.027408481E0,4.682614017E0,2.315334123E1
3.817430417E-1,2.229404398E1,6.876334963E0,3.817588627E0,2.364069294E1
3.916810417E-1,2.173960632E1,4.784935613E0,3.800144044E0,2.258201024E1
4.016190417E-1,1.984407232E1,2.167294748E0,3.974253076E0,2.035384633E1
4.115570417E-1,1.753274866E1,8.175971612E-2,3.857520432E0,1.795228187E1
4.214950417E-1,1.588601018E1,-1.223576799E0,3.706741791E0,1.635855722E1
4.314340417E-1,1.538786366E1,-2.372602037E0,3.397077928E0,1.593598842E1
4.413720417E-1,1.536386552E1,-3.926202412E0,2.796204014E0,1.610224165E1
4.513100417E-1,1.521231271E1,-5.503344408E0,2.147743120E0,1.631913166E1
4.612480417E-1,1.500132178E1,-6.840913700E0,1.070609325E0,1.652222623E1
4.711860417E-1,1.501446164E1,-7.696820356E0,-2.215720510E-1,1.687377243E1
4.811240417E-1,1.511409820E1,-8.208331858E0,-1.249495606E0,1.724453291E1
4.910620417E-1,1.469842431E1,-8.724059787E0,-2.079274564E0,1.721848655E1
5.010000417E-1,1.347658311E1,-9.202452074E0,-2.788573397E0,1.655534833E1
5.109390417E-1,1.160209441E1,-9.777580113E0,-3.110649145E0,1.548824734E1
5.208770417E-1,9.623762673E0,-1.037476151E1,-3.126955860E0,1.449242345E1
5.308150417E-1,7.882678784E0,-1.073166620E1,-3.035865596E0,1.365729710E1
5.407530417E-1,6.301554834E0,-1.082003283E1,-2.841697690E0,1.283970208E1
5.506910417E-1,5.055203860E0,-1.070721080E1,-2.707202375E0,1.214612671E1
5.606290417E-1,4.248592740E0,-1.053373093E1,-2.606785802E0,1.165355567E1
5.705670417E-1,3.536711192E0,-1.025695649E1,-2.459268737E0,1.112481394E1
5.805050417E-1,2.844497922E0,-9.914634755E0,-2.313875381E0,1.057095880E1
5.904440417E-1,2.202031594E0,-9.528586375E0,-2.410899400E0,1.007250403E1
6.003820417E-1,1.470923231E0,-9.126305539E0,-2.538203809E0,9.586216486E0
6.103200417E-1,5.745199281E-1,-8.787961083E0,-2.694985203E0,9.209846817E0
6.202580417E-1,-4.843073308E-1,-8.507166678E0,-2.772449116E0,8.960631260E0
6.301960417E-1,-1.536389242E0,-8.141916259E0,-2.698609307E0,8.713999338E0
6.401340417E-1,-2.411784668E0,-7.645318081E0,-2.563634520E0,8.416639222E0
6.500720417E-1,-3.109069228E0,-7.168466535E0,-2.422197390E0,8.180480677E0
