"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.652583335E-3,2.503499415E0,-6.737585798E-1,8.214221174E-1,2.719594499E0
1.559158333E-2,1.693275885E0,-1.810868070E0,1.255305984E0,2.778888177E0
2.552958333E-2,8.671222007E-1,-2.446818261E0,-2.829058349E-1,2.611293975E0
3.546858333E-2,5.649591458E-1,-2.930526544E0,-1.733146879E0,3.451226270E0
4.540658333E-2,8.949324355E-1,-3.689931046E0,-2.257940916E0,4.417555021E0
5.534558334E-2,1.108795517E0,-4.206006884E0,-2.318974153E0,4.929255778E0
6.528458333E-2,7.769818166E-1,-3.757190106E0,-2.639830171E0,4.657132333E0
7.522258333E-2,6.214426643E-1,-2.130809584E0,-2.433404163E0,3.293629653E0
8.516158333E-2,9.230309379E-1,-1.246842724E-1,-2.220118786E0,2.407583790E0
9.509958333E-2,6.373082069E-1,5.544850284E-1,-2.586402408E0,2.720862513E0
1.050385833E-1,6.245475358E-1,7.060659081E-1,-2.640649366E0,2.803857658E0
1.149775833E-1,9.375276473E-1,4.865514922E-1,-2.067668425E0,2.321840469E0
1.249155833E-1,1.060913838E0,-4.074135214E-2,-1.254458722E0,1.643430776E0
1.348545833E-1,5.444576383E-1,-2.812630597E-1,-9.339985603E-1,1.117092807E0
1.447925833E-1,-1.691853842E-1,-6.101856047E-1,-1.164148477E0,1.325213885E0
1.547315833E-1,-3.011406693E-1,-8.307642138E-1,-1.720044438E0,1.933754832E0
1.646695833E-1,3.823377371E-2,-8.409652662E-1,-2.622549310E0,2.754350974E0
1.746085833E-1,5.973609066E-1,-8.039713946E-1,-3.489879672E0,3.630767161E0
1.845475833E-1,7.862812284E-1,-6.549188510E-1,-3.833363246E0,3.967597591E0
1.944855833E-1,4.706798100E-1,-6.215370968E-1,-3.822333643E0,3.901036058E0
2.044245833E-1,3.075483406E-1,-6.555026954E-1,-2.970382043E0,3.057358214E0
2.143625833E-1,4.732979009E-1,-3.614090905E-1,-2.059857715E0,2.144211099E0
2.243015833E-1,4.360189775E-1,1.601873964E-2,-2.266657945E0,2.308269349E0
2.342405833E-1,1.157061651E-1,5.399640530E-2,-2.686381609E0,2.689414375E0
2.441785833E-1,-2.815978128E-1,1.799480617E-2,-2.875789297E0,2.889599491E0
2.541175833E-1,-5.615385246E-1,-2.020213008E-2,-2.900893732E0,2.954812699E0
2.640555833E-1,-6.482875237E-1,3.452780843E-4,-2.948378386E0,3.018809689E0
2.739945833E-1,-7.927090725E-1,-7.534312785E-2,-2.885574612E0,2.993426983E0
2.839335833E-1,-7.991091424E-1,-2.720387846E-2,-2.709297432E0,2.824820003E0
2.938715833E-1,-7.957233122E-1,-2.128094137E-2,-2.783552978E0,2.895133097E0
3.038105833E-1,-7.833263379E-1,-6.422727853E-2,-2.890062350E0,2.995026825E0
3.137485833E-1,-7.664164826E-1,-1.710143933E-1,-2.966455638E0,3.068631486E0
3.236875833E-1,-7.135711017E-1,-2.751641214E-1,-2.879400537E0,2.979235886E0
3.336265833E-1,-7.987890074E-1,-3.788586438E-1,-2.689360766E0,2.830946675E0
3.435645833E-1,-8.901976526E-1,-5.148566937E-1,-2.466757851E0,2.672531304E0
3.535035833E-1,-1.019141037E0,-5.404464483E-1,-2.176784486E0,2.463558710E0
3.634415833E-1,-1.018776463E0,-5.356154788E-1,-2.099519379E0,2.394320581E0
3.733805833E-1,-9.934457400E-1,-5.622191405E-1,-2.188363727E0,2.468189742E0
3.833195833E-1,-9.513820401E-1,-5.510661614E-1,-2.383456078E0,2.624817055E0
3.932575833E-1,-7.236078474E-1,-5.325187933E-1,-2.601923257E0,2.752669471E0
4.031965833E-1,-5.438957208E-1,-6.272097731E-1,-2.881496764E0,2.998706097E0
4.131345833E-1,-5.963648334E-1,-7.944769782E-1,-3.279107428E0,3.426279354E0
4.230735833E-1,-8.097604305E-1,-1.130511784E0,-3.561731427E0,3.823571578E0
4.330125833E-1,-1.081031183E0,-1.637414510E0,-3.758237050E0,4.239587293E0
4.429505833E-1,-1.509966551E0,-2.416561258E0,-4.270609261E0,5.133991699E0
4.528895833E-1,-1.959662459E0,-3.431179474E0,-4.811386662E0,6.225970699E0
4.628275833E-1,-2.406539423E0,-4.701513972E0,-5.036415002E0,7.298023136E0
4.727665833E-1,-2.160658450E0,-5.170890437E0,-5.051432991E0,7.544768261E0
4.827045833E-1,-1.538074409E0,-4.467953959E0,-4.877187719E0,6.790820680E0
4.926435833E-1,-1.184941760E0,-3.259685317E0,-4.516216877E0,5.694370046E0
5.025825833E-1,-1.367677774E0,-2.452702314E0,-4.404761345E0,5.223812175E0
5.125205833E-1,-2.338303294E0,-2.029937512E0,-4.446048535E0,5.418086025E0
5.224595833E-1,-3.815484214E0,-2.225174289E0,-3.989709021E0,5.952066740E0
5.323975833E-1,-5.065013734E0,-2.807926512E0,-2.701883748E0,6.390539195E0
5.423365833E-1,-5.575087990E0,-3.526275666E0,-1.156540080E0,6.697298793E0
5.522755833E-1,-5.970100152E0,-4.982171552E0,3.312892056E-1,7.782922442E0
5.622135833E-1,-7.802432765E0,-6.518467239E0,1.639999272E0,1.029844502E1
5.721525833E-1,-1.007633249E1,-8.386442140E0,1.643477196E0,1.321233914E1
5.820905833E-1,-1.158775470E1,-9.403126177E0,5.294604072E-1,1.493235311E1
5.920295833E-1,-1.127929069E1,-7.879668052E0,1.400545558E-1,1.375976680E1
6.019685833E-1,-7.900650786E0,-4.481311923E0,4.057276230E-1,9.092142448E0
6.119065833E-1,-2.975736923E0,-3.044206649E-1,3.544688840E-1,3.012196934E0
6.218455833E-1,6.225460339E-1,3.695020462E0,8.079695745E-1,3.833217267E0
6.317835833E-1,3.005707412E0,5.601243755E0,1.270417382E0,6.482450846E0
6.417225833E-1,3.988127350E0,5.207747777E0,-9.306602387E-1,6.625098123E0
6.516615833E-1,4.902579837E0,4.346811930E0,-3.061072358E0,7.231889587E0
6.616006250E-1,5.428246279E0,4.180104888E0,-2.407184079E0,7.261795214E0
6.715396250E-1,5.440199742E0,4.283657323E0,-6.138827261E-1,6.951427572E0
6.814776250E-1,5.631502512E0,4.760949749E0,1.261188283E0,7.481380818E0
6.914166250E-1,5.862770416E0,5.372827538E0,2.407730209E0,8.308821665E0
7.013556250E-1,6.643207060E0,6.308415372E0,2.435858824E0,9.479541801E0
7.112936250E-1,7.572156549E0,7.277418873E0,1.911535488E0,1.067484652E1
7.212326250E-1,8.238307024E0,8.059594479E0,1.388829492E0,1.160842854E1
7.311706250E-1,8.646931504E0,8.573872883E0,9.539722104E-1,1.221436792E1
7.411096250E-1,8.708184012E0,8.954306767E0,1.181046272E0,1.254619260E1
7.510486250E-1,8.784467372E0,9.193468997E0,1.831867175E0,1.284688587E1
7.609866250E-1,8.737466283E0,9.240464239E0,2.141707478E0,1.289637187E1
7.709256250E-1,8.333438299E0,9.141997712E0,2.009593441E0,1.253238931E1
7.808636250E-1,7.913075534E0,9.104283171E0,1.416948752E0,1.214547159E1
7.908026250E-1,7.520977040E0,9.214807241E0,3.124157090E-1,1.189854494E1
8.007416250E-1,7.078009524E0,9.368297821E0,-5.912329515E-1,1.175639312E1
8.106796250E-1,6.499412332E0,9.800742103E0,-8.680003794E-1,1.179196044E1
8.206186250E-1,5.582551961E0,1.004704144E1,-1.445158060E0,1.158431742E1
8.305566250E-1,4.805978865E0,9.641557505E0,-1.284100013E0,1.084923854E1
8.404956250E-1,4.505577284E0,9.289709489E0,2.738110757E-1,1.032830584E1
8.504346250E-1,4.447580798E0,8.999463059E0,1.867553902E0,1.021073297E1
8.603726250E-1,4.413291264E0,8.817735690E0,2.849183296E0,1.026389049E1
8.703116250E-1,4.371813162E0,8.686413074E0,3.247579826E0,1.025247761E1
8.802496250E-1,4.346141839E0,8.655269049E0,3.209364763E0,1.020307078E1
8.901886250E-1,4.371260308E0,8.680965807E0,2.931862925E0,1.015199016E1
9.001276250E-1,4.338885444E0,8.718352320E0,2.698849043E0,1.010541341E1
9.100656250E-1,4.300505198E0,8.801914878E0,2.433642730E0,1.009409072E1
9.200046250E-1,4.310663273E0,8.982307913E0,2.073403959E0,1.017657493E1
9.299426250E-1,4.390214350E0,9.144509676E0,1.877191136E0,1.031600144E1
9.398816250E-1,4.391934601E0,9.196363953E0,1.880648010E0,1.036335064E1
9.498206250E-1,4.179899066E0,9.130630724E0,1.776472993E0,1.019783457E1
9.597586250E-1,3.714763001E0,9.041998630E0,1.830618356E0,9.945268570E0
9.696976250E-1,3.070247809E0,9.025953285E0,2.605170801E0,9.883378431E0
9.796356250E-1,2.291591350E0,8.324446451E0,1.977049739E0,8.857568814E0
9.895746250E-1,5.278129542E-1,5.883952539E0,-1.957693409E0,6.223507651E0
9.995136250E-1,-1.652332804E0,3.767529445E0,-1.216592154E-1,4.115735994E0
1.009451625E0,-3.484813937E0,1.174736615E0,2.479127051E0,4.435087961E0
1.019390625E0,-7.761655453E0,-4.737825181E0,-3.234769746E0,9.651632925E0
1.029328625E0,-1.784000698E1,-1.759550449E1,-1.321018397E1,2.832625263E1
1.039267625E0,-2.361964987E1,-2.731400960E1,-1.137519438E1,3.785945097E1
1.049206625E0,-1.418489845E1,-2.914074994E1,-1.144549428E1,3.437141240E1
1.059144625E0,-4.454179673E0,-2.596746834E1,-1.900108392E1,3.248369312E1
1.069083625E0,-7.625371474E-1,-2.049981417E1,-7.888795556E0,2.197855635E1
1.079021625E0,-7.186678272E-1,-1.651649206E1,1.376359486E1,2.151156752E1
1.088960625E0,-6.271636970E0,-1.383530512E1,6.447393748E0,1.650205999E1
1.098899625E0,-6.912455553E0,-6.516770961E0,-7.196553635E0,1.191808415E1
1.108837625E0,-1.094230103E0,7.132250050E0,-4.225653529E0,8.361966159E0
1.118776625E0,3.014045249E0,2.242047950E1,4.732888961E0,2.311195811E1
1.128714625E0,-2.016461142E0,1.458405044E1,2.873247512E0,1.500053979E1
1.138653625E0,-6.962499533E0,6.112381035E-1,-3.576589202E0,7.851242073E0
1.148592625E0,-5.844242928E0,-5.469277360E0,-4.555474498E0,9.209805544E0
1.158530625E0,-3.324840841E0,-8.249556482E0,-5.350699335E0,1.037977515E1
1.168469625E0,-3.168290120E0,-9.747128398E0,-6.284135394E0,1.202226817E1
1.178408625E0,-3.080907575E0,-7.638719498E0,-3.838862552E0,9.087292927E0
1.188346625E0,-2.369950764E0,-2.514995626E0,-2.230973557E0,4.113284896E0
1.198285625E0,-1.004160763E0,6.936879373E-1,-2.757137012E0,3.015185947E0
1.208223625E0,-5.336908677E-1,7.886701083E-1,-2.381589646E0,2.564916319E0
