"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.076999994E-3,1.247539712E0,6.500809232E0,6.926019924E0,9.580533805E0
1.501300000E-2,2.617089473E-1,6.891068192E0,6.240759578E0,9.300666240E0
2.494900000E-2,-4.609351328E-1,6.925974900E0,5.153442346E0,8.645204308E0
3.488599999E-2,-8.549494672E-1,6.792821521E0,4.048858286E0,7.954031444E0
4.482200000E-2,-1.380606991E0,6.393563696E0,3.002596108E0,7.197174153E0
5.475800000E-2,-1.774280433E0,5.395433459E0,1.720323935E0,5.934499786E0
6.469499999E-2,-1.715127807E0,4.043121582E0,8.184499776E-1,4.467477576E0
7.463100000E-2,-1.721884118E0,3.000087653E0,-4.444439381E-2,3.459391008E0
8.456700000E-2,-1.440162929E0,1.677499512E0,-9.726583037E-1,2.415396045E0
9.450399999E-2,-9.582763459E-1,3.824043953E-1,-1.636485388E0,1.934582927E0
1.044400000E-1,-5.525957930E-1,-6.137120605E-1,-2.108742192E0,2.264685019E0
1.143760000E-1,-1.101619961E0,-1.646765962E0,-1.343028837E0,2.393560346E0
1.243130000E-1,1.188143988E-1,-1.656020935E0,-6.590730053E-1,1.786308883E0
1.342490000E-1,1.261599781E0,-9.595830524E-1,-1.110555822E-1,1.588951536E0
1.441850000E-1,2.809726869E0,-4.206504482E-1,-2.698343843E-2,2.841168771E0
1.541220000E-1,4.497972980E0,-3.145714313E-1,-1.843986699E-1,4.512728552E0
1.640580000E-1,6.034769188E0,-2.652513367E-1,2.138484639E-1,6.044379917E0
1.739940000E-1,7.372492261E0,1.245503712E-1,1.603734548E0,7.545933967E0
1.839310000E-1,8.420943636E0,1.230435437E-1,1.939405657E0,8.642263924E0
1.938670000E-1,9.286742027E0,3.351512915E-1,2.231985710E0,9.557074033E0
2.038030000E-1,9.058729268E0,2.076632792E-1,2.122242536E0,9.306321151E0
2.137400000E-1,8.349929786E0,-5.590189594E-1,1.094994042E0,8.439955070E0
2.236760000E-1,6.797019821E0,-1.621755082E0,-8.626908883E-1,7.040866677E0
