"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.487583329E-3,-1.008359210E0,2.286529707E0,-9.025831517E-1,2.657002586E0
1.142358333E-2,-4.451875578E-1,4.889100251E0,1.011146577E-1,4.910368357E0
2.135958333E-2,1.467922001E0,7.054079794E0,7.790525349E-1,7.247189772E0
3.129558334E-2,3.132007270E0,9.716082022E0,1.539733264E0,1.032387998E1
4.123158334E-2,5.135354569E0,1.362428495E1,1.850342038E0,1.467708325E1
5.116858333E-2,6.718294664E0,1.396256392E1,1.913328245E0,1.561247896E1
6.110458334E-2,7.108506846E0,1.630943514E1,1.724126379E0,1.787459526E1
7.104058334E-2,5.434760662E0,1.902808870E1,1.432666068E0,1.984079925E1
8.097708333E-2,3.396695520E0,1.745159282E1,-5.261091486E-1,1.778686097E1
9.091308333E-2,5.799343328E0,1.807929025E1,6.518429232E-1,1.899784246E1
1.008490833E-1,5.192977125E0,1.637191614E1,2.309851327E0,1.733037976E1
1.107850833E-1,1.183915457E1,6.129944901E0,2.984788413E0,1.366201915E1
1.207220833E-1,8.024314719E0,6.876496346E0,3.492601551E0,1.112987396E1
1.306580833E-1,-5.719135317E0,-6.226194164E0,2.596932074E0,8.844097396E0
1.405940833E-1,-1.150100658E1,-1.840564324E1,1.666090425E0,2.176733132E1
1.505300833E-1,-2.362414580E0,-9.689796449E0,-1.331414512E0,1.006209831E1
1.604660833E-1,3.431186491E0,-8.731761739E0,-1.595714507E0,9.516459877E0
1.704020833E-1,5.674719282E0,-9.659145344E0,2.047707785E0,1.138835523E1
1.803380833E-1,6.292234957E0,-9.500640192E0,4.667475575E0,1.231420777E1
1.902750833E-1,4.857976692E0,-8.986975161E0,2.201429915E-1,1.021832291E1
2.002110833E-1,3.646442379E0,-7.759874976E0,-2.397388823E0,8.902790284E0
2.101470833E-1,3.778649679E0,-5.999505215E0,2.807107719E-1,7.095847712E0
2.200830833E-1,4.087240579E0,-3.064749087E0,2.209347045E0,5.565917434E0
2.300190833E-1,3.753409004E0,1.139349266E0,2.464366339E0,4.632418089E0
2.399550833E-1,4.230139512E0,2.214167490E0,3.392375597E0,5.857032539E0
2.498910833E-1,2.876831563E-1,3.238082778E0,4.263304335E0,5.361315653E0
2.598280833E-1,7.692684621E-2,7.379341689E0,4.146226705E0,8.464738472E0
2.697640833E-1,2.015100203E0,5.776374296E0,2.733800189E0,6.700805348E0
2.797000833E-1,1.796916905E0,2.275008354E0,2.786171361E0,4.020861130E0
2.896360833E-1,8.669172558E-1,-2.110818538E0,3.995958526E0,4.601606781E0
2.995720833E-1,9.807474880E-1,-4.671590261E0,5.703420925E0,7.437380685E0
3.095080833E-1,6.227465934E-1,-4.039548934E0,5.057439836E0,6.502573844E0
3.194440833E-1,4.542159511E-1,-3.358202714E0,4.401935971E-1,3.417251528E0
3.293810833E-1,7.386407465E-1,-4.906204526E0,-3.519779994E0,6.083196874E0
3.393170833E-1,-2.683308898E0,-8.391388884E0,-5.899878016E0,1.060302384E1
3.492530833E-1,-7.334453200E0,-1.365934953E1,-7.291599541E0,1.713299324E1
3.591890833E-1,-8.639556411E-1,-1.195594335E1,-5.741276384E0,1.329109684E1
3.691250833E-1,3.516358203E0,-5.503316342E0,-7.706018026E0,1.010118704E1
3.790610833E-1,1.825250612E0,-5.221302207E0,-3.110219960E0,6.345628789E0
3.889970833E-1,-1.452994790E0,-6.961551114E0,-5.479501802E-1,7.132645875E0
3.989340833E-1,-1.780774351E0,-7.618714419E0,-2.582614582E0,8.239287880E0
4.088700833E-1,-3.230133489E-1,-6.553825936E0,-4.082175136E0,7.727944479E0
4.188060833E-1,2.479552728E-1,-5.723021377E0,-4.342104921E0,7.188068631E0
4.287420833E-1,-1.252948971E0,-4.651398071E0,-3.658580614E0,6.049016222E0
4.386780833E-1,-2.871086089E0,-3.063605372E0,-2.686285715E0,4.984470297E0
4.486140833E-1,-4.457978024E0,-1.737315944E0,-4.882436033E-1,4.809388378E0
4.585500833E-1,-5.452243837E0,-5.965113062E-1,1.989080093E0,5.834314716E0
4.684870833E-1,-3.878067256E0,1.117813386E0,2.813004234E0,4.919543193E0
4.784230833E-1,-2.509882820E0,3.266976210E0,3.235080818E0,5.238166972E0
4.883590833E-1,-1.920866914E0,5.470776587E0,3.199789363E0,6.622520527E0
4.982950833E-1,2.693476036E-2,6.865229931E0,3.031227000E0,7.504694838E0
5.082310833E-1,6.724091886E-1,7.562302237E0,2.566066961E0,8.014065690E0
5.181670833E-1,-1.385235063E0,8.402100983E0,1.343439896E0,8.620847282E0
5.281030833E-1,-3.144003417E0,8.183874124E0,8.350842829E-1,8.806697391E0
5.380400833E-1,-2.536126001E0,7.820364422E0,1.907269360E0,8.439651130E0
5.479760833E-1,-1.882127941E0,8.534117079E0,2.797783931E0,9.176118724E0
5.579120833E-1,-2.343748075E0,8.057997020E0,2.562232357E0,8.774366397E0
5.678480833E-1,-4.145574156E0,7.597469730E0,2.048343085E0,8.893989025E0
5.777840833E-1,-5.590682514E0,7.188403201E0,8.808796759E-1,9.149033859E0
5.877200833E-1,-6.583740292E0,6.669338851E0,-6.158755302E-2,9.371739965E0
5.976570833E-1,-5.970797140E0,6.196797872E0,5.014703706E-2,8.605419053E0
6.075930833E-1,-4.372154640E0,5.044671271E0,3.149930155E-1,6.683087986E0
6.175290833E-1,-2.218163039E0,2.778305687E0,1.232762921E0,3.762835922E0
6.274650833E-1,-1.000360657E-1,2.061441725E-1,1.816319721E0,1.830715697E0
