"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-4.788750084E-4,-5.220337417E0,-5.941515453E0,6.480136986E0,1.022475936E1
9.457124994E-3,-7.174775096E0,-3.780096281E0,8.052097764E0,1.142815838E1
1.939412499E-2,-7.763186254E0,-1.526138488E0,8.010916994E0,1.125926066E1
2.933012499E-2,-6.338416851E0,1.334814084E0,5.818911620E0,8.707295174E0
3.926712500E-2,-4.358396434E0,3.824015887E0,4.040429524E0,7.067091885E0
4.920312499E-2,-3.044216005E0,4.826273088E0,2.833484691E0,6.370933880E0
5.914012500E-2,-2.590370036E0,5.237240548E0,2.132146257E0,6.219706837E0
6.907612500E-2,-2.091771672E0,5.703976995E0,1.566257404E0,6.274075593E0
7.901312500E-2,-1.553043866E0,6.626413271E0,6.202281976E-1,6.834177428E0
8.894912500E-2,-1.054455807E0,7.121506376E0,-4.561763033E-1,7.213586274E0
9.888612499E-2,-3.067014445E-1,7.964497118E0,-8.587723037E-1,8.016531045E0
1.088221250E-1,2.762196900E-1,8.587095777E0,-4.298204172E-1,8.602282069E0
1.187591250E-1,5.394201889E-1,8.703134356E0,3.523930494E-1,8.726952654E0
1.286951250E-1,1.124357224E0,8.666543650E0,1.052270630E0,8.802296944E0
1.386321250E-1,1.563243749E0,8.704604346E0,1.286682289E0,8.936969238E0
1.485681250E-1,2.058670438E0,8.087261750E0,-3.407618411E-1,8.352128184E0
1.585051250E-1,3.029175797E0,6.568902982E0,-1.608538620E0,7.410383855E0
1.684411250E-1,3.783808970E0,4.702985716E0,-4.696553779E-1,6.054408405E0
1.783781250E-1,3.402007423E0,4.062373540E0,2.159106453E0,5.721736970E0
1.883141250E-1,2.426660569E0,3.873851706E0,3.938793222E0,6.034028555E0
1.982497500E-1,1.643825105E0,3.743741802E0,3.436336133E0,5.340989579E0
2.081867500E-1,7.442996087E-1,3.465506138E0,1.610089448E0,3.893083962E0
2.181227500E-1,3.014645319E-1,1.848377958E0,-1.516258886E0,2.409652039E0
2.280597500E-1,2.144871260E-1,-5.969363987E-1,-5.313440877E0,5.351167326E0
2.379957500E-1,8.503437616E-2,-3.503417146E0,-8.578174095E0,9.266403474E0
2.479327500E-1,-1.197712664E0,-6.050205252E0,-9.931253711E0,1.169056455E1
2.578687500E-1,-2.625973732E0,-8.597065864E0,-9.620722121E0,1.316676018E1
2.678057500E-1,-1.062829751E0,-9.341895888E0,-7.852402486E0,1.224993268E1
2.777417500E-1,2.948314359E0,-6.480433440E0,-4.593859130E0,8.473022886E0
2.876787500E-1,3.057088650E0,-4.822398723E0,-3.304245193E0,6.596920248E0
2.976147500E-1,-6.630654842E-2,-4.707421998E0,-2.883012947E0,5.520505600E0
3.075517500E-1,-1.191692078E0,-3.621163697E0,-3.007369190E0,4.855638575E0
3.174877500E-1,-1.219110330E0,-2.583226200E0,-3.881786962E0,4.819497652E0
3.274247500E-1,-9.602391100E-1,-2.211978877E0,-5.109515723E0,5.649961117E0
3.373607500E-1,-1.159400172E0,-3.317027791E0,-6.281860827E0,7.197823113E0
3.472977500E-1,-1.513154600E0,-5.730757828E0,-5.287840598E0,7.943077509E0
3.572337500E-1,-3.234367165E0,-7.026993737E0,-5.942130581E-2,7.735845321E0
3.671707500E-1,-4.313737155E0,-6.281112968E0,4.169144282E0,8.685762626E0
3.771067500E-1,-4.684591545E0,-4.540795648E0,5.412971013E0,8.477291917E0
3.870437500E-1,-4.591997961E0,-2.673714786E0,4.365651659E0,6.877071356E0
3.969797500E-1,-2.789500181E0,-2.871594504E0,1.552363250E0,4.293855833E0
4.069157500E-1,-2.384124414E0,-4.631107648E0,1.368059013E0,5.385424100E0
4.168527500E-1,-2.523557119E0,-5.122607054E0,2.405273355E0,6.196352433E0
4.267887500E-1,-1.773466793E0,-4.507315076E0,2.556407361E0,5.476887095E0
4.367257500E-1,-9.134552452E-1,-2.892904682E0,3.025780903E0,4.284699296E0
4.466617500E-1,-4.204422873E-1,-2.431535393E0,4.816391294E0,5.411724418E0
4.565987500E-1,2.486655633E-1,-1.847934154E0,7.165984976E0,7.404595592E0
4.665347500E-1,2.984401327E0,5.523437780E-1,1.393632746E1,1.426299260E1
4.764717500E-1,6.143881155E0,4.841399251E0,1.958096516E1,2.108555474E1
4.864077500E-1,4.483205252E0,2.721718673E0,1.258584284E1,1.363489354E1
4.963447500E-1,9.042719007E-1,6.936926150E-1,7.941149186E0,8.022516283E0
5.062807500E-1,-1.964096548E0,2.498016481E0,2.405637929E0,3.985580941E0
5.162177500E-1,-1.885461292E0,4.629865115E0,-6.729034245E-1,5.044146537E0
5.261537500E-1,-1.438544128E0,5.931892106E0,-2.771503036E0,6.703579808E0
5.360907500E-1,-2.147986949E0,5.648998550E0,-3.870544521E0,7.176778347E0
5.460267500E-1,-2.571020722E0,5.003671179E0,-4.442177678E0,7.167971495E0
5.559637500E-1,-3.256733935E0,4.487142767E0,-4.485785043E0,7.131832414E0
5.658997500E-1,-3.712610349E0,4.759414855E0,-4.247789333E0,7.381003968E0
5.758367500E-1,-4.184130111E0,4.745921820E0,-2.841296571E0,6.935682008E0
5.857727500E-1,-4.092335842E0,5.233237544E0,-1.551102591E0,6.822016350E0
5.957097500E-1,-3.379954941E0,6.008973611E0,-1.587134303E0,7.074662858E0
6.056457500E-1,-2.043200898E0,7.960169009E0,-2.045525604E0,8.468951267E0
6.155817500E-1,-1.718159881E0,7.007357032E0,-1.323607310E0,7.335329731E0
6.255187500E-1,-1.028339950E0,4.816225818E0,-1.491036483E0,5.145551863E0
6.354547500E-1,-8.184032730E-1,2.465812356E0,-1.851317353E0,3.190202256E0
6.453917500E-1,-1.102293340E0,9.390774518E-1,-1.039204588E0,1.782375730E0
6.553277500E-1,-9.831270124E-1,4.103365445E-1,-8.640605986E-1,1.371683462E0
6.652647500E-1,-3.471949477E-1,2.402445495E-1,-1.975470114E0,2.020085133E0
6.752007500E-1,-2.469898975E-1,-1.765987766E0,-2.258165449E0,2.877330011E0
6.851377500E-1,1.795380403E0,9.462712812E-1,-2.809394163E0,3.465763364E0
6.950737500E-1,1.851526976E0,-2.183968960E0,-2.223100866E0,3.624920692E0
7.050107500E-1,3.794004175E0,-6.236474739E0,-1.874431397E0,7.536682155E0
7.149467500E-1,6.348315602E0,-7.029321513E0,-1.642914401E0,9.613097297E0
7.248837500E-1,7.585870609E0,-5.091600439E0,-3.469990368E0,9.772955596E0
7.348197500E-1,8.052918128E0,-1.461778770E0,-5.048733916E0,9.616444338E0
7.447567500E-1,7.624783829E0,-8.924511695E-1,-4.320296561E0,8.809015831E0
7.546927500E-1,6.945607511E0,-6.469230759E-1,-5.135997178E0,8.662473098E0
7.646297500E-1,4.586045496E0,-6.264946586E-1,-8.512440866E0,9.689476681E0
7.745657500E-1,3.801852601E0,-2.017856580E0,-1.063825927E1,1.147599184E1
7.845027500E-1,4.584246892E0,-4.006302835E0,-7.478902230E0,9.643638346E0
7.944387500E-1,2.864509433E0,-5.862599677E0,-4.370297272E0,7.853342442E0
8.043757500E-1,2.299089673E0,-6.377793755E0,-3.258040495E0,7.521761387E0
8.143117500E-1,2.948174318E0,-5.654575040E0,-1.399045748E0,6.528650679E0
8.242477500E-1,5.411627322E-1,-3.912496539E0,1.767041434E0,4.326999156E0
8.341847500E-1,-5.557470037E-1,-3.096360889E0,2.212712703E0,3.846089312E0
8.441207500E-1,-4.673303787E-1,-2.992780387E0,1.661740097E0,3.454925799E0
8.540577500E-1,-9.499110268E-1,-5.540373071E0,2.120024979E0,6.007709267E0
8.639937500E-1,-1.991398368E0,-7.975632555E0,2.706459779E0,8.654554099E0
8.739307500E-1,-3.369994794E0,-7.425965633E0,2.345851318E0,8.485567094E0
8.838667500E-1,-4.981328384E0,-8.522150168E0,2.986222150E0,1.031301114E1
8.938037500E-1,-5.659845720E0,-7.366094822E0,5.027475779E0,1.056260949E1
9.037397500E-1,-7.186943736E0,-4.794612755E0,8.393167022E0,1.204515356E1
9.136767500E-1,-8.299910949E0,-1.898468716E0,1.065621490E1,1.363992746E1
9.236127500E-1,-8.087192752E0,8.190604270E-1,1.077218156E1,1.349494135E1
9.335497500E-1,-6.848039702E0,3.664254168E0,9.353692646E0,1.215787697E1
9.434857500E-1,-5.236104434E0,5.724834598E0,6.692528908E0,1.024599746E1
9.534227500E-1,-4.162455068E0,6.783146133E0,4.542538118E0,9.163610435E0
9.633587500E-1,-3.593924150E0,7.143190191E0,2.626123713E0,8.416530322E0
9.732957500E-1,-3.160124776E0,7.166533445E0,1.078963169E0,7.906310881E0
9.832317500E-1,-2.654048553E0,6.968078361E0,-4.182185912E-1,7.468132066E0
9.931687500E-1,-1.913253254E0,7.470479316E0,-9.834324563E-1,7.774042618E0
1.003104750E0,-1.336807253E0,7.614959337E0,-1.424566651E0,7.861555157E0
1.013041750E0,-8.095879376E-1,7.249809490E0,-1.696517143E0,7.489548764E0
1.022977750E0,-7.187413560E-1,7.201120310E0,-1.451820377E0,7.381091062E0
1.032913750E0,-7.884926453E-2,6.694474277E0,-2.543982028E0,7.161986289E0
1.042850750E0,1.430108496E0,6.125851851E0,-4.076933692E0,7.496176327E0
1.052786750E0,3.370591210E0,5.151342611E0,-5.088728871E0,7.987013041E0
1.062723750E0,3.812981314E0,5.591166664E0,-2.847173023E0,7.342095436E0
1.072659750E0,2.954877274E0,6.662234484E0,1.892346096E-1,7.290574584E0
1.082596750E0,2.325115483E0,6.679655678E0,1.796492251E0,7.297352013E0
1.092532750E0,2.627150484E0,4.863850220E0,2.192986682E0,5.947112679E0
1.102469750E0,2.987672260E0,1.969865558E0,5.791222715E-1,3.625181161E0
1.112405750E0,3.202917624E0,-1.457488668E0,-3.278510720E0,4.809530857E0
1.122342750E0,3.058224764E0,-3.410817715E0,-7.273704722E0,8.596115202E0
1.132278750E0,1.664065973E0,-5.034346842E0,-7.487412268E0,9.174699241E0
1.142215750E0,7.510302655E-1,-5.962741431E0,-5.938963144E0,8.449237543E0
1.152151750E0,2.175133525E0,-5.293314176E0,-5.466105831E0,7.913829274E0
1.162088750E0,3.354844658E0,-4.184600227E0,-4.361602754E0,6.912990694E0
1.172024750E0,3.217660793E0,-4.694322481E0,-2.723018801E0,6.309107380E0
1.181961750E0,2.288412657E0,-5.106069374E0,-3.431944582E0,6.564070426E0
1.191898958E0,2.169229737E0,-4.274474856E0,-4.322985403E0,6.454835067E0
1.201835958E0,2.242857438E0,-2.546560650E0,-4.879057366E0,5.943112098E0
1.211771958E0,2.887650958E0,-2.343055326E-1,-5.462532012E0,6.183258294E0
1.221708958E0,3.328490673E0,1.433380013E0,-5.674007092E0,6.732591247E0
1.231644958E0,1.510816883E0,-2.749349105E-1,-2.760980679E0,3.159299158E0
1.241580958E0,-1.012006703E0,-4.358993434E0,1.402861056E0,4.689669548E0
1.251517958E0,-3.817903792E0,-7.385169024E0,5.659812391E0,1.005736482E1
1.261453958E0,-5.965976111E0,-8.270435720E0,9.197881891E0,1.373295341E1
1.271390958E0,-6.183545158E0,-8.311017736E0,8.566694841E0,1.344237728E1
1.281326958E0,-3.968404984E0,-8.277372272E0,5.572643269E0,1.073859781E1
1.291263958E0,-1.866447024E0,-6.918423806E0,-3.551715732E-2,7.165854723E0
1.301199958E0,-1.229649864E0,-5.602656443E0,-2.299674687E0,6.179830229E0
1.311136958E0,-1.184971289E0,-5.240071769E0,3.350105198E-1,5.382819071E0
1.321072958E0,-6.076476207E-1,-5.669400070E0,2.302158730E0,6.149086729E0
1.331009958E0,8.457646608E-1,-5.456659654E0,3.120673027E0,6.342637667E0
1.340945958E0,7.666828233E-1,-2.871642451E0,3.613230779E0,4.678629028E0
1.350882958E0,-1.825760928E-1,-1.117317542E0,3.969295807E0,4.127595150E0
1.360818958E0,-9.885776407E-1,-2.298341668E-1,3.684458052E0,3.821693425E0
1.370755958E0,-1.591730507E0,1.031288627E0,3.374296006E0,3.870792655E0
1.380691958E0,-1.552313549E0,2.403110324E0,2.781128722E0,3.989898940E0
1.390628958E0,-1.317153738E0,3.984810809E0,1.891756697E0,4.603515456E0
1.400564958E0,-1.322864714E0,5.221957095E0,1.198199810E0,5.518558665E0
1.410500958E0,-1.465396442E0,6.306348381E0,4.371588922E-1,6.489108146E0
1.420437958E0,-1.955159810E0,7.063814238E0,1.960491009E-1,7.332022690E0
1.430373958E0,-2.258364547E0,7.572954694E0,1.378903186E-1,7.903724879E0
1.440310958E0,-2.764375865E0,7.860622501E0,1.580455979E-1,8.334034944E0
1.450246958E0,-3.116946889E0,8.017902077E0,5.002234519E-1,8.616979467E0
1.460183958E0,-3.076795813E0,7.958402565E0,1.038195359E0,8.595387918E0
1.470119958E0,-3.297135271E0,7.537249256E0,1.665028571E0,8.393661149E0
1.480056958E0,-3.335198306E0,7.677123426E0,2.258447285E0,8.669622597E0
1.489992958E0,-4.106780511E0,7.424665797E0,2.566456386E0,8.864423655E0
1.499929958E0,-5.186363339E0,5.643567072E0,2.874246801E0,8.185933585E0
1.509865958E0,-5.351515607E0,3.731704724E0,1.926395602E0,6.802597993E0
1.519802958E0,-4.871213911E0,2.203503338E0,4.334833324E-1,5.363959333E0
1.529738958E0,-3.965020908E0,8.760234171E-1,-1.205918646E0,4.235923466E0
1.539675958E0,-2.357218744E0,-4.821719277E-1,-2.420257868E0,3.412714187E0
1.549611958E0,-9.991418052E-1,-1.254716000E0,-3.028869987E0,3.427338616E0
1.559548958E0,-1.191411120E-1,-2.156971196E0,-3.879738683E0,4.440618379E0
1.569484958E0,7.325359610E-1,-2.948894695E0,-4.639134121E0,5.545642817E0
1.579421958E0,1.172012105E0,-2.885317919E0,-4.730533703E0,5.663622603E0
1.589357958E0,3.354611647E0,-1.547284943E0,-3.977424021E0,5.428389434E0
1.599294958E0,6.433344058E0,3.311985737E-1,-3.140117943E0,7.166446048E0
1.609230958E0,8.200102487E0,5.726891649E-1,-5.007285343E0,9.625100528E0
1.619166958E0,9.611688173E0,6.808837044E-1,-7.393870851E0,1.214567735E1
1.629103958E0,1.067709998E1,4.489726067E-2,-7.305728168E0,1.293739324E1
1.639039958E0,1.040400811E1,-1.747845025E0,-6.670702422E0,1.248185154E1
1.648976958E0,8.629206254E0,-4.464681857E0,-5.809525085E0,1.132021053E1
1.658912958E0,1.052717737E1,-5.857367588E0,-3.115959002E0,1.244344884E1
1.668849958E0,1.052527703E1,-5.564784027E0,-2.908997973E0,1.225604124E1
1.678785958E0,7.607155058E0,-5.950721310E0,-2.915200700E0,1.008852255E1
1.688722958E0,5.931527824E0,-6.566462939E0,-2.472920816E0,9.187861297E0
1.698658958E0,3.523693243E0,-6.385415016E0,-1.754506173E0,7.501215295E0
1.708595958E0,3.072750709E0,-5.106812555E0,-2.058516364E0,6.305459620E0
1.718531958E0,1.565861548E0,-3.746268384E0,-2.427396734E0,4.730613501E0
1.728468958E0,-3.529379368E-2,-2.858771560E0,-1.340273629E0,3.157555049E0
1.738404958E0,-7.475638899E-1,-4.344047951E0,-6.691980439E-1,4.458411196E0
1.748341958E0,-8.776892889E-1,-6.669506081E0,1.568690833E-1,6.728837772E0
1.758277958E0,-6.339387488E-1,-8.689428483E0,1.227914118E0,8.798625959E0
1.768214958E0,-1.495688528E0,-9.098751120E0,3.139191159E0,9.740578897E0
1.778150958E0,-3.634066163E0,-8.798876665E0,5.325917666E0,1.090834847E1
1.788087958E0,-6.023648368E0,-8.613111209E0,7.925250607E0,1.316357176E1
1.798023958E0,-9.226863030E0,-7.153477197E0,9.739686062E0,1.520423369E1
1.807959958E0,-1.080450964E1,-4.109730724E0,1.017816759E1,1.540202619E1
1.817896958E0,-1.015426535E1,-7.633908409E-1,8.955397857E0,1.356064236E1
1.827832958E0,-8.373368350E0,1.856073478E0,6.809378496E0,1.095107035E1
1.837769958E0,-6.678190951E0,3.902405414E0,4.702717036E0,9.052212432E0
1.847705958E0,-5.620693349E0,5.372710594E0,2.847329729E0,8.280428698E0
1.857642958E0,-5.188822678E0,6.345776156E0,1.590311680E0,8.349960901E0
1.867578958E0,-4.633980385E0,6.721845093E0,1.284116385E0,8.264740199E0
1.877515958E0,-4.491474384E0,7.001534960E0,9.770557022E-1,8.375528149E0
1.887451958E0,-3.740737210E0,6.954899322E0,-3.083249970E-1,7.903088242E0
1.897388958E0,-2.851802556E0,7.481001965E0,-1.382051546E0,8.124545200E0
1.907324958E0,-2.195449676E0,8.002338544E0,-1.958849842E0,8.526107796E0
1.917261958E0,-5.874937302E-1,7.951060801E0,-4.474142067E0,9.142344556E0
