"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.207333325E-3,-1.797094222E0,3.815980643E0,1.090034434E0,4.356538876E0
1.614433333E-2,-2.342810474E0,3.350023044E0,-6.315513307E-1,4.136456502E0
2.608033332E-2,-3.096423454E0,2.801562402E0,-1.989725626E0,4.625537608E0
3.601733333E-2,-3.058090863E0,2.024193208E0,-2.459221374E0,4.415546131E0
4.595333333E-2,-2.274907635E0,1.055078609E0,-2.597110999E0,3.610177442E0
5.588933332E-2,-7.985469326E-1,5.975456786E-1,-2.340322045E0,2.543982177E0
6.582633333E-2,1.251033716E0,2.742694974E-2,-1.527421952E0,1.974551953E0
7.576233333E-2,2.590319165E0,1.938287669E-1,-1.405196434E0,2.953286303E0
8.569933333E-2,4.937245055E0,7.262195063E-1,-1.398680297E0,5.182672099E0
9.563533333E-2,6.965416124E0,-3.698726428E-1,-1.702592254E-2,6.975250349E0
1.055713333E-1,8.623471305E0,-1.340899281E0,-6.675754416E-1,8.752595341E0
1.155083333E-1,1.014623244E1,-1.792504889E-1,-1.999239630E0,1.034287787E1
1.254443333E-1,8.772743120E0,3.724325538E-1,-2.607682472E0,9.159679892E0
1.353813333E-1,7.493181131E0,-4.474090612E-1,-3.912322584E0,8.464880763E0
1.453173333E-1,8.168207679E0,-2.451102515E0,-1.771555192E0,8.710104938E0
1.552533333E-1,6.197093157E0,-3.823894265E0,2.908241343E-1,7.287709490E0
1.651903333E-1,8.133737174E0,-5.268452400E-1,-2.619592666E0,8.561396618E0
1.751263333E-1,1.202341203E1,1.202923118E0,2.065072554E0,1.225862902E1
1.850633333E-1,6.318167943E0,4.670884502E-1,3.085049450E0,7.046626703E0
1.949993333E-1,5.703201070E0,1.021730769E0,-3.705392253E-1,5.805836333E0
2.049353333E-1,2.160281889E0,2.098863906E-1,-4.951062611E-1,2.226207616E0
2.148723333E-1,-3.422381169E-1,-1.407152327E0,-3.113473350E0,3.433791040E0
2.248083333E-1,-3.510525606E0,-2.260912471E0,-4.133436506E0,5.875441479E0
2.347443333E-1,-6.012454458E0,-2.765449998E0,-4.007908188E0,7.736966482E0
2.446813333E-1,-6.353592714E0,-3.428790886E0,-2.781716368E0,7.737098505E0
2.546173333E-1,-5.258962369E0,-4.509075673E0,-8.838230181E-1,6.983522875E0
2.645543333E-1,-3.198751482E0,-6.096828026E0,-7.036372671E-1,6.920869052E0
2.744903333E-1,-2.717433833E0,-6.308861514E0,-2.132848800E0,7.192720226E0
2.844263333E-1,-2.490085317E0,-6.471528130E0,-3.519152295E0,7.775965156E0
2.943633333E-1,-1.306844512E0,-6.242390367E0,-3.160368605E0,7.117809339E0
3.042993333E-1,-1.741153179E-1,-5.983963900E0,-2.694417730E0,6.564908759E0
3.142363333E-1,-6.958516994E-1,-5.613410057E0,-2.927869277E0,6.369222916E0
3.241723333E-1,-2.932383035E-1,-4.739175888E0,-1.600225926E0,5.010638663E0
3.341083333E-1,-7.318654315E-1,-3.461787309E0,-6.707045791E-1,3.601311291E0
3.440453333E-1,-1.792661302E0,-2.961266819E0,-5.054590487E-1,3.498317390E0
3.539813333E-1,-2.069161950E0,-2.754395252E0,-6.226463136E-1,3.500830304E0
3.639183333E-1,-2.291519867E0,-2.882833437E0,-4.794395238E-2,3.682945907E0
3.738543333E-1,-3.246064228E0,-2.114872413E0,-1.349426275E0,4.102507717E0
3.837903333E-1,-2.356153966E0,-1.271007512E0,7.865908384E-2,2.678266017E0
3.937273333E-1,-2.392121651E0,6.301234406E-1,5.042381501E-1,2.524590592E0
4.036633333E-1,-2.538162002E0,3.088325061E0,-7.745467436E-1,4.071847331E0
4.136003333E-1,-2.331058886E0,4.686378454E0,-1.209524624E0,5.372050666E0
4.235363333E-1,-1.842496390E0,5.711933302E0,-6.817382750E-1,6.040342876E0
4.334723333E-1,-1.603096178E0,6.368709521E0,4.045755753E-1,6.579822164E0
4.434093333E-1,-1.295334853E0,6.679880211E0,1.150049086E0,6.900819148E0
4.533453333E-1,-1.233464879E0,6.827092052E0,1.353921907E0,7.068502389E0
4.632813333E-1,-1.140193457E0,6.786632828E0,1.554477019E0,7.055127572E0
4.732183333E-1,-1.067753618E0,6.488154688E0,2.016805251E0,6.877772347E0
4.831543333E-1,-1.146386536E0,6.478636590E0,2.453505136E0,7.021867388E0
4.930913333E-1,-1.188565938E0,6.874840999E0,2.918390063E0,7.562613855E0
5.030273333E-1,-1.285275888E0,7.216873294E0,3.296899628E0,8.037707472E0
5.129633333E-1,-1.404341278E0,6.657704646E0,3.631347500E0,7.712579999E0
5.229003333E-1,-1.611131861E0,5.898757104E0,3.589875538E0,7.090718414E0
5.328363333E-1,-1.863499150E0,5.716336840E0,3.593841704E0,7.004629479E0
5.427733333E-1,-2.424006518E0,5.687406571E0,3.405369279E0,7.058253398E0
5.527093333E-1,-2.650453685E0,5.126753315E0,2.948909898E0,6.481093571E0
5.626453333E-1,-2.587600502E0,4.289703344E0,2.684165515E0,5.683482704E0
5.725823333E-1,-2.256065714E0,3.319141560E0,1.646736141E0,4.338003356E0
5.825183333E-1,-1.404526927E0,2.718703848E0,7.024201691E-1,3.139656127E0
5.924543333E-1,-1.322374498E-1,2.284912952E0,6.891880663E-1,2.390249806E0
6.023913333E-1,1.241510940E0,9.997300351E-1,6.262788963E-1,1.712610526E0
6.123273333E-1,2.915053350E0,-2.308241004E-1,6.809374988E-1,3.002414308E0
6.222643333E-1,4.584856465E0,-1.377552552E0,6.554812069E-1,4.831999115E0
6.322003333E-1,5.662207995E0,-1.820587311E0,7.370815864E-1,5.993198378E0
6.421363333E-1,6.980698407E0,-2.689080099E0,7.779087465E-1,7.521066683E0
6.520733333E-1,8.032891999E0,-3.191364695E0,1.204104986E0,8.727086072E0
6.620093333E-1,8.963108581E0,-3.567546483E0,1.535785078E0,9.768487045E0
6.719437917E-1,9.214702576E0,-3.715400348E0,1.767788708E0,1.009158165E1
6.818797917E-1,8.314806731E0,-3.494359224E0,2.063216940E0,9.252211709E0
6.918157917E-1,5.943211731E0,-2.438753196E0,1.953237830E0,6.714493343E0
7.017527917E-1,4.057797509E0,-2.056724777E0,1.365901683E0,4.749897350E0
7.116887917E-1,2.316316301E0,-2.522561923E0,2.094589591E-1,3.431109575E0
7.216257917E-1,9.115893987E-1,-3.719292254E0,-1.270377767E0,4.034599085E0
7.315617917E-1,-7.055279642E-1,-5.036533701E0,-2.642024047E0,5.731032411E0
7.414977917E-1,-2.525755087E0,-5.948827981E0,-3.907496000E0,7.552252518E0
7.514347917E-1,-4.560111925E0,-6.686983994E0,-4.972362263E0,9.499197975E0
7.613707917E-1,-6.556329714E0,-7.076794472E0,-5.217492746E0,1.096762098E1
7.713077917E-1,-7.722376782E0,-7.206391575E0,-4.796104964E0,1.160042264E1
7.812437917E-1,-7.592667997E0,-7.509907091E0,-3.493001208E0,1.123602996E1
7.911797917E-1,-6.201736431E0,-8.009589091E0,-1.763668468E0,1.028229442E1
8.011167917E-1,-4.664527994E0,-8.686476808E0,-8.440970349E-1,9.895716273E0
8.110527917E-1,-3.425686600E0,-8.781774729E0,-1.165682055E0,9.498089846E0
8.209887917E-1,-2.234201805E0,-7.920800875E0,-2.022844255E0,8.474824074E0
8.309257917E-1,-1.591387860E0,-7.493784564E0,-2.057190800E0,7.932298305E0
8.408617917E-1,-1.495635318E0,-6.283081141E0,-1.579976141E0,6.649087022E0
8.507987917E-1,-1.626691594E0,-4.282993664E0,-1.383799425E0,4.785923225E0
8.607347917E-1,-1.804391986E0,-2.289927524E0,-1.092756897E0,3.113473324E0
8.706707917E-1,-1.832810623E0,-5.766945076E-1,-7.801612401E-1,2.073746102E0
8.806077917E-1,-1.760610666E0,9.206008351E-1,-3.321101546E-1,2.014336856E0
8.905437917E-1,-1.683703116E0,2.282441334E0,2.283692931E-1,2.845443227E0
9.004807917E-1,-1.552439556E0,3.468432670E0,7.111889461E-1,3.865990620E0
9.104167917E-1,-1.322634041E0,4.687249689E0,1.064486779E0,4.985258525E0
9.203527917E-1,-1.231810994E0,5.788818340E0,1.451319855E0,6.093775958E0
9.302897917E-1,-1.398773267E0,6.649025039E0,1.667918265E0,6.996288442E0
9.402257917E-1,-1.613178386E0,7.546187895E0,1.660990191E0,7.893426675E0
9.501627917E-1,-1.444697007E0,8.338706641E0,1.615536276E0,8.615749262E0
9.600987917E-1,-1.238261643E0,8.662323714E0,1.638041332E0,8.902377404E0
9.700347917E-1,-9.815627360E-1,8.885653439E0,1.623625606E0,9.085948632E0
9.799717917E-1,-4.966263179E-1,9.045430360E0,1.706702554E0,9.218420782E0
9.899077917E-1,1.095622033E-4,9.062492536E0,2.046939169E0,9.290787423E0
9.998437917E-1,2.191047453E-1,8.900601261E0,2.219875250E0,9.175868123E0
1.009780792E0,7.460097731E-1,8.234104046E0,2.656881237E0,8.684239628E0
1.019716792E0,1.102933172E0,7.579866103E0,2.714352350E0,8.126410056E0
1.029653792E0,1.063992835E0,6.851194859E0,2.553733137E0,7.388674082E0
1.039589792E0,7.714522509E-1,6.271662698E0,1.811951705E0,6.573588103E0
1.049525792E0,5.052734727E-1,5.666913249E0,1.038315957E0,5.783364686E0
1.059462792E0,3.836082640E-1,5.057691266E0,8.606589809E-1,5.144718663E0
1.069398792E0,1.862032668E-1,4.392054176E0,5.364421289E-1,4.428609455E0
1.079335792E0,-4.069472060E-2,3.560456150E0,1.375933166E-1,3.563346177E0
1.089271792E0,-1.103681689E-1,2.012739682E0,-5.794576094E-2,2.016596110E0
1.099207792E0,-3.204127997E-3,4.383441228E-1,2.074999957E-1,4.849866850E-1
1.109144792E0,6.664204703E-1,-1.427192490E0,7.967110531E-1,1.765146778E0
1.119080792E0,1.682997065E0,-3.072107223E0,1.258250642E0,3.722031245E0
1.129017792E0,3.078406429E0,-4.064725875E0,1.847404543E0,5.423235761E0
1.138953792E0,5.112394307E0,-6.092819760E0,2.262458621E0,8.269083818E0
1.148889792E0,6.212314044E0,-8.789482529E0,2.031602068E0,1.095332168E1
1.158826792E0,6.826564633E0,-1.039666167E1,5.524114595E-1,1.244980791E1
1.168762792E0,7.099404486E0,-1.080031719E1,-8.317923005E-1,1.295145837E1
1.178698792E0,6.516528887E0,-9.413690926E0,-2.214638776E0,1.166136143E1
