"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.658333349E-4,-1.504868364E0,-3.087047444E0,-1.506695911E0,3.750283094E0
1.010183334E-2,-6.671652594E-1,-2.550533248E0,-2.269454083E0,3.478613398E0
2.003783334E-2,5.440103628E-1,-1.156892667E0,4.497670971E-2,1.279207107E0
2.997483333E-2,7.826868718E-1,-1.121542740E-1,-5.777457639E-1,9.792688539E-1
3.991083334E-2,4.374943031E-1,2.797459996E-1,-8.053218821E-1,9.582287949E-1
4.984683334E-2,4.593531686E-1,7.850196916E-1,4.142810762E-1,9.994448758E-1
5.978283334E-2,-2.560978860E-1,9.381921834E-1,4.766774453E-2,9.736852233E-1
6.971983334E-2,-8.619768702E-1,1.645364969E0,-1.603868596E-1,1.864391041E0
7.965583334E-2,-1.403718842E0,8.712608600E-1,-3.709287230E-1,1.693254320E0
8.959183334E-2,-1.487072656E-1,2.565718467E0,2.880923152E-3,2.570025954E0
9.952783334E-2,-5.647770781E-1,3.046844328E0,5.877435525E-1,3.153993657E0
1.094638333E-1,-1.491689325E0,3.348058380E0,4.526512362E-1,3.693172769E0
1.194008333E-1,-7.564996049E-1,4.444336470E0,-3.493693811E-1,4.521778110E0
1.293368333E-1,1.716591073E0,6.630770617E0,-1.364922420E0,6.984040170E0
1.392728333E-1,1.179461969E0,6.280580871E0,-2.424839600E0,6.834959671E0
1.492088333E-1,-2.685243157E-1,5.325058125E0,-1.975683537E0,5.686094862E0
1.591458333E-1,2.902735313E0,7.966842436E0,-4.669470060E0,9.679896763E0
1.690818333E-1,9.622543529E-1,7.761175396E0,-5.741989160E0,9.702175863E0
1.790178333E-1,-6.218384477E-1,5.342595679E0,-4.864107205E-1,5.400611728E0
1.889538333E-1,4.295502759E-1,4.073503130E0,2.994509701E0,5.073956005E0
1.988908333E-1,-6.699100886E-1,1.444759279E-1,4.374790272E0,4.428142132E0
2.088268333E-1,1.637290842E0,4.550104415E-1,1.159427786E1,1.171814980E1
2.187628333E-1,4.426702730E0,2.900862742E0,6.325372297E0,8.247486672E0
2.286988333E-1,3.760117806E0,5.409517062E0,-1.311600170E1,1.467756319E1
2.386358333E-1,4.916121404E0,5.679053823E0,-8.222482120E0,1.113683592E1
2.485718333E-1,3.370392405E0,1.868314624E0,7.516888082E-1,3.926217080E0
2.585078333E-1,2.775799862E0,6.978341979E-1,9.424831626E-1,3.013355597E0
2.684438333E-1,2.828696406E0,2.792296904E-1,1.215777344E0,3.091537988E0
2.783798333E-1,2.676768495E0,4.419278812E-1,1.679085277E0,3.190566908E0
2.883168333E-1,3.076701673E0,9.547859967E-1,1.859995791E0,3.719851318E0
