"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.258833338E-3,1.886797819E-2,-1.135992379E0,1.443106272E0,1.836679176E0
1.219400001E-2,2.146793532E-1,-1.133005037E0,1.645426365E0,2.009282350E0
2.213200000E-2,2.266494808E-1,-1.194761867E0,1.570917635E0,1.986607188E0
3.207000000E-2,1.505614542E-1,-1.211283174E0,1.270922143E0,1.762134721E0
4.200900000E-2,9.102364261E-2,-1.208516272E0,8.858800685E-1,1.501192985E0
5.194700000E-2,1.873535603E-2,-1.218698613E0,5.884363014E-1,1.353452845E0
6.188500000E-2,-5.030827403E-2,-1.255339021E0,2.325507832E-1,1.277688086E0
7.182300001E-2,-1.172799432E-1,-1.244131078E0,-2.201552707E-1,1.268891275E0
8.176100001E-2,-2.022952428E-1,-1.227907978E0,-6.523440295E-1,1.405074411E0
9.169900000E-2,-2.991612406E-1,-1.214536273E0,-1.049123220E0,1.632560975E0
1.016370000E-1,-3.292270388E-1,-1.227765598E0,-1.467335964E0,1.941358709E0
1.115760000E-1,-2.886803989E-1,-1.178672376E0,-1.801689695E0,2.172254750E0
1.215140000E-1,-1.854549694E-1,-1.075015568E0,-2.043739865E0,2.316662395E0
1.314520000E-1,-4.533488821E-2,-9.902496520E-1,-2.237903093E0,2.447623312E0
1.413900000E-1,9.963275403E-2,-9.036640826E-1,-2.472277038E0,2.634139178E0
1.513280000E-1,1.795419726E-1,-7.550129503E-1,-2.666316304E0,2.776962821E0
1.612660000E-1,2.617747284E-1,-6.415863222E-1,-2.727747737E0,2.814385676E0
1.712050000E-1,3.387677944E-1,-5.872469777E-1,-2.648044340E0,2.733452297E0
1.811430000E-1,4.314252587E-1,-5.014724171E-1,-2.563454425E0,2.647432894E0
1.910810000E-1,4.972130129E-1,-4.194353968E-1,-2.540209989E0,2.622177267E0
2.010190000E-1,4.778398718E-1,-4.231042323E-1,-2.611641914E0,2.688498024E0
2.109570000E-1,4.072400053E-1,-4.020127407E-1,-2.638766563E0,2.700101413E0
2.208950000E-1,4.273025331E-1,-3.916184378E-1,-2.435774040E0,2.503786658E0
2.308340000E-1,4.942626540E-1,-3.921517038E-1,-2.186953964E0,2.276147220E0
2.407720000E-1,5.796995379E-1,-3.445220393E-1,-1.979726302E0,2.091426121E0
2.507100000E-1,6.704955411E-1,-2.866079995E-1,-1.854163193E0,1.992392924E0
2.606480000E-1,6.943426792E-1,-2.975086713E-1,-1.711139129E0,1.870459912E0
2.705860000E-1,6.247584741E-1,-3.601417065E-1,-1.769394354E0,1.910701855E0
2.805240000E-1,5.209741604E-1,-4.727538174E-1,-1.962615595E0,2.084890937E0
2.904630000E-1,3.587307733E-1,-6.699374244E-1,-2.151308752E0,2.281585692E0
3.004010000E-1,1.775760656E-1,-8.422069225E-1,-2.427552854E0,2.575627811E0
3.103390000E-1,3.303238302E-3,-9.628858522E-1,-2.924938068E0,3.079354279E0
3.202770000E-1,-1.946628723E-1,-1.120810668E0,-3.415030634E0,3.599520026E0
3.302150000E-1,-4.419821142E-1,-1.321924774E0,-3.783140341E0,4.031747033E0
