"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.424416653E-3,-3.275917187E0,6.866610458E-1,-2.476457212E0,4.163649497E0
1.536341666E-2,-3.276254572E0,1.132165377E0,-2.987363527E0,4.576022651E0
2.530141667E-2,-2.342338896E0,1.546507556E0,-3.392017747E0,4.402728872E0
3.524041665E-2,-1.207188662E0,2.441653415E0,-3.463885290E0,4.406526656E0
4.517841665E-2,3.380874708E-2,2.730794721E0,-2.869457347E0,3.961334157E0
5.511641665E-2,4.949121335E-1,-2.939316371E-1,-2.089465676E0,2.167302618E0
6.505541666E-2,3.965262982E-1,4.345197514E-1,-8.515265071E-1,1.034957928E0
7.499341664E-2,2.407372798E0,1.406554742E0,-1.184323125E0,3.029267451E0
8.493241665E-2,2.951163122E0,4.866520643E-2,-1.031290382E0,3.126546326E0
9.487041665E-2,2.356816455E0,-5.320147634E-2,2.756190932E0,3.626844725E0
1.048084167E-1,2.852405989E0,1.306541919E0,7.275954731E0,7.923559109E0
1.147474167E-1,5.254162536E-1,1.168683139E0,7.321013959E0,7.432303002E0
1.246854166E-1,-5.668881422E-1,8.639261127E-2,3.739693190E0,3.783402041E0
1.346244166E-1,1.347413079E0,-1.699254955E-1,-1.199694870E0,1.812088425E0
1.445624167E-1,1.206140475E0,-1.620114207E0,-4.080899858E0,4.553382099E0
1.545004167E-1,-9.212166931E-1,-2.852568834E0,-1.930065315E0,3.565240702E0
1.644394167E-1,3.660169888E-1,-2.609628133E0,-1.015668960E0,2.824130108E0
1.743774166E-1,-1.683926187E0,-1.001444585E0,-7.095859319E-1,2.083749230E0
1.843164166E-1,-3.211970283E0,-1.185459824E0,3.584389973E-1,3.442462288E0
1.942544167E-1,-1.549917945E0,-2.462163401E0,5.766091383E-1,2.965969040E0
2.041924167E-1,-4.457480134E-1,-2.826556910E0,6.824601138E-1,2.941745581E0
2.141314167E-1,-8.458909607E-1,-2.575278665E0,1.287915906E0,3.001052998E0
2.240694166E-1,-1.708637836E0,-2.372072133E0,4.202890903E-1,2.953440770E0
2.340084166E-1,-2.133833471E0,-2.127237812E0,-8.836400002E-1,3.139937203E0
2.439464167E-1,-2.064726253E0,-2.193680162E0,-2.572228172E0,3.961273144E0
2.538854167E-1,-2.192960077E0,-1.745435095E0,-4.785603949E0,5.545955529E0
2.638234167E-1,-1.544309003E0,7.918182492E-2,-3.883538788E0,4.180075786E0
2.737614166E-1,6.893896490E-2,1.001086004E0,-4.715767729E-1,1.108742721E0
2.837004167E-1,4.498385793E-1,-2.374325504E-1,1.287767971E0,1.384584888E0
2.936384167E-1,7.622108728E-2,-1.809196058E0,-6.008750832E-1,1.907891741E0
3.035774167E-1,1.419662445E0,-2.144942889E0,-2.782855405E0,3.789525783E0
3.135154167E-1,9.273543692E-1,-1.550108856E0,-4.413562574E0,4.768894860E0
3.234534166E-1,-1.102170330E0,-2.317033900E0,-7.048273509E0,7.500772292E0
3.333924167E-1,-3.597057965E0,-4.836324160E0,-7.801931659E0,9.858955066E0
3.433304167E-1,-6.157958912E0,-6.130736614E0,-7.355915989E0,1.138489743E1
3.532694167E-1,-7.412797703E0,-7.529739093E0,-8.028738137E0,1.327053792E1
3.632074166E-1,-9.838521549E0,-9.308738667E0,-9.433190221E0,1.650558086E1
3.731454166E-1,-1.272608363E1,-1.187353620E1,-9.843974662E0,1.999594718E1
3.830844167E-1,-1.305616129E1,-1.361157427E1,-9.934386649E0,2.131737179E1
3.930224167E-1,-1.032987945E1,-1.418513233E1,-9.319583498E0,1.986904692E1
4.029612917E-1,-8.136625698E0,-1.343254539E1,-7.751643265E0,1.751359263E1
4.128992917E-1,-5.776113510E0,-1.322103757E1,-6.076037666E0,1.565495306E1
4.228372916E-1,-2.740640262E0,-1.316922773E1,-3.905161207E0,1.400678236E1
4.327762917E-1,-7.049344718E-1,-1.323077669E1,-1.988261483E0,1.339789417E1
4.427142917E-1,1.743754313E0,-1.278578604E1,-9.158330154E-1,1.293660519E1
4.526532917E-1,4.408679565E0,-1.084402395E1,-9.876619667E-1,1.174754388E1
4.625912916E-1,6.889839692E0,-9.177463413E0,-2.183393594E0,1.168173503E1
4.725292916E-1,1.010639068E1,-8.264897822E0,-2.777952515E0,1.334783461E1
4.824682917E-1,1.422607805E1,-7.893192662E0,1.493320405E-1,1.626979063E1
4.924062917E-1,1.763680338E1,-7.077502570E0,5.042220118E0,1.966143076E1
5.023452917E-1,2.174578098E1,-5.153734122E0,6.614465071E0,2.330646078E1
5.122832916E-1,2.566516963E1,-2.344434684E0,2.369314002E0,2.588070623E1
5.222212916E-1,2.643608057E1,-5.387823308E-1,-2.714920115E0,2.658058377E1
5.321602917E-1,2.564171528E1,-6.159456968E-3,-1.168162122E1,2.817725811E1
5.420982917E-1,2.426123444E1,1.380094922E0,-9.293230682E0,2.601684637E1
5.520372917E-1,2.333967115E1,-2.578726183E0,8.171124271E0,2.486277036E1
5.619752916E-1,2.151807169E1,-5.169864251E0,1.735657323E1,2.812482071E1
5.719132916E-1,1.384057463E1,-7.307572380E0,1.973706360E1,2.518955735E1
5.818522917E-1,7.495962651E0,-7.912520633E0,1.667650579E1,1.992243169E1
5.917902917E-1,2.618602440E0,-7.168760650E0,9.678195573E0,1.232540780E1
6.017292917E-1,2.131524113E0,-3.589845425E0,-2.525246379E0,4.879267824E0
6.116672916E-1,1.068131348E0,-2.765308496E0,3.110306498E0,4.296724586E0
6.216052916E-1,1.326738494E0,-3.501419152E0,8.099314030E0,8.922951242E0
6.315442917E-1,2.891018955E0,-4.166766804E0,8.574061748E0,9.961650017E0
6.414822917E-1,3.977230771E0,-1.691905298E0,5.521213499E0,7.011754891E0
6.514212917E-1,2.742003541E0,-1.377600499E0,4.776292843E0,5.677089032E0
6.613592916E-1,1.515484276E0,-2.901596568E0,9.527739113E0,1.007441154E1
6.712982917E-1,4.301837194E0,4.329553288E-1,4.567585251E0,6.289363130E0
6.812362917E-1,5.045602148E0,1.869833731E0,1.685895529E0,5.638849435E0
6.911742917E-1,3.930809141E0,1.963343573E0,1.273621802E0,4.574723050E0
7.011132917E-1,9.834069479E0,7.548627353E0,2.361408566E0,1.262010094E1
7.110512916E-1,1.599392172E1,1.533344947E1,-1.840805229E0,2.223305576E1
7.209902917E-1,1.597175259E1,1.537135697E1,-4.406736535E0,2.260077040E1
7.309282917E-1,1.126799621E1,7.912974377E0,1.385943307E0,1.383848766E1
7.408662917E-1,7.164280513E0,2.677612540E0,5.355099365E0,9.336681069E0
7.508052916E-1,5.887791821E0,5.891735183E0,4.143349290E0,9.303009155E0
7.607432916E-1,-6.768552652E-1,7.280330202E0,1.481848899E-1,7.313227718E0
7.706822917E-1,-4.128225175E0,7.488725553E0,-1.492361462E0,8.680460600E0
7.806202917E-1,-1.085005243E1,4.297928038E0,-1.842735980E0,1.181488464E1
7.905582917E-1,-9.645351763E0,5.018018492E0,-3.468929683E0,1.141257172E1
8.004972916E-1,-4.490047079E0,6.400221335E0,-3.695261952E0,8.647445681E0
8.104352916E-1,-2.113671541E0,7.501142700E0,-2.043348101E0,8.056675533E0
8.203742917E-1,-3.141582085E0,6.110878301E0,-1.692453182E0,7.076494145E0
8.303122917E-1,-1.575699196E0,4.267888552E0,-7.844454950E-1,4.616606479E0
8.402502917E-1,-5.164276944E-1,2.452491814E0,-3.751948150E-1,2.534202993E0
8.501892916E-1,-4.310447511E-1,8.968763423E-1,-2.543540636E-2,9.954063043E-1
8.601272916E-1,-1.608335137E-1,4.041940445E-1,7.496457911E-1,8.667231719E-1
8.700662917E-1,-3.341255437E-1,3.352208734E-3,8.584729993E-1,9.212095347E-1
8.800042917E-1,-4.996659198E-1,-5.772669500E-1,1.052968934E0,1.300633207E0
8.899422917E-1,-1.878591983E-1,-1.149335725E0,1.452591040E0,1.861796019E0
8.998812916E-1,1.149088973E-1,-1.869526752E0,1.345575299E0,2.306275616E0
9.098192916E-1,5.481244272E-1,-2.608631183E0,2.507004236E0,3.659298741E0
9.197582917E-1,1.994586124E0,-1.085553128E0,1.457229052E0,2.698206053E0
9.296962917E-1,6.786816430E-1,1.181231117E-1,1.247240335E0,1.424840445E0
9.396342917E-1,-6.337194782E-1,-9.215568548E-1,2.958774151E0,3.163101625E0
