"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.707250003E-3,5.093329753E-1,2.401478073E0,2.280160335E0,3.350469843E0
1.864525001E-2,1.015676854E0,2.546260688E0,2.403974542E0,3.646112527E0
2.858325001E-2,1.464332688E0,2.639403032E0,2.288274516E0,3.787732679E0
3.852025000E-2,1.817638707E0,2.779381282E0,1.808971233E0,3.781685828E0
4.845825001E-2,1.941181895E0,2.892782182E0,1.173945487E0,3.676210537E0
5.839625001E-2,1.997016080E0,2.875782280E0,1.966927332E-1,3.506691457E0
6.833325000E-2,1.962531249E0,2.775916514E0,-1.046057525E0,3.556891584E0
7.827125001E-2,1.794845675E0,2.578901307E0,-2.154201370E0,3.809565132E0
8.820825000E-2,1.494456519E0,2.286058422E0,-2.907818590E0,3.989344852E0
9.814625001E-2,9.475268246E-1,1.936852470E0,-3.196571640E0,3.855810528E0
1.080842500E-1,4.964027350E-1,1.529748851E0,-3.249081976E0,3.625338730E0
1.180212500E-1,2.421976657E-1,1.104820580E0,-3.073953189E0,3.275435304E0
1.279592500E-1,1.201341154E-1,7.143993598E-1,-2.708925549E0,2.804117737E0
1.378962500E-1,9.850044072E-2,3.376457137E-1,-2.460640494E0,2.485650539E0
1.478342500E-1,1.491023912E-1,-8.662942350E-3,-2.378123417E0,2.382808753E0
1.577722500E-1,2.410095115E-1,-1.075954923E-1,-2.514522586E0,2.528336649E0
1.677092500E-1,2.756042705E-1,-7.999517262E-2,-2.858121350E0,2.872492749E0
1.776472500E-1,2.467700422E-1,3.293911994E-2,-3.196250628E0,3.205931771E0
1.875852500E-1,1.339728668E-2,9.095870197E-2,-3.406177949E0,3.407418553E0
1.975222500E-1,-2.482498263E-1,6.887698442E-2,-3.371102257E0,3.380932185E0
2.074602500E-1,-4.547746526E-1,5.941385061E-2,-2.973277000E0,3.008442472E0
2.173972500E-1,-6.635578197E-1,5.717319757E-2,-2.137479503E0,2.238838176E0
2.273352500E-1,-6.588648444E-1,1.202070594E-1,-1.595723863E0,1.730574259E0
2.372732500E-1,-3.121253948E-1,8.024894178E-2,-1.438207474E0,1.473873432E0
2.472102500E-1,-1.791377838E-1,1.394239336E-1,-1.686051065E0,1.701263523E0
2.571482500E-1,-2.484272893E-1,3.497728390E-1,-2.141957885E0,2.184500112E0
2.670862500E-1,-3.661121522E-1,6.305415165E-1,-2.448454311E0,2.554711183E0
2.770232500E-1,-2.984769702E-1,8.734447950E-1,-2.516387848E0,2.680336194E0
2.869612500E-1,-1.422550093E-1,1.130983362E0,-2.630477550E0,2.866840071E0
2.968982500E-1,1.427844746E-1,1.559177888E0,-2.740757207E0,3.156449454E0
3.068362500E-1,2.932336257E-1,2.089773532E0,-2.602236668E0,3.350339542E0
3.167742500E-1,2.600895609E-1,2.407128530E0,-1.553047374E0,2.876433640E0
3.267112500E-1,2.311971527E-1,2.310788051E0,2.031615078E-1,2.331194573E0
3.366492500E-1,4.414525026E-1,1.511741181E0,-2.065879762E-2,1.575013809E0
3.465872500E-1,5.747013380E-1,1.114514094E0,2.055628424E0,2.407910196E0
3.565242500E-1,6.135848835E-1,1.447548986E0,3.977738017E0,4.277181807E0
3.664622500E-1,8.825000855E-1,5.782691628E-1,3.120728576E0,3.294259927E0
3.763992500E-1,8.989614594E-1,-2.701244062E-1,2.413983221E0,2.590060596E0
3.863372500E-1,5.621463427E-1,-1.075871015E0,1.343301317E0,1.810515225E0
3.962752500E-1,-2.043327051E-1,-1.509955734E0,6.423131311E-1,1.653567154E0
4.062122500E-1,-1.160572320E0,-1.852900487E0,1.173711598E-1,2.189507779E0
4.161502500E-1,-1.649049300E0,-2.012214017E0,-3.193486065E-1,2.621135703E0
4.260872500E-1,-1.368189406E0,-1.993850251E0,-8.141119283E-1,2.551501383E0
4.360255000E-1,-1.101898727E0,-2.040425078E0,-1.367845005E0,2.692306680E0
4.459635000E-1,-1.321187147E0,-2.149776636E0,-1.956610504E0,3.193023603E0
4.559005000E-1,-1.617547718E0,-2.364987062E0,-2.494557853E0,3.799005568E0
4.658385000E-1,-1.830279948E0,-2.595922260E0,-2.864652690E0,4.277262220E0
4.757765000E-1,-1.918510047E0,-2.695653832E0,-3.182924239E0,4.591104126E0
4.857135000E-1,-1.808208756E0,-2.708812113E0,-3.578867278E0,4.838964038E0
4.956515000E-1,-1.310792552E0,-2.510144191E0,-3.727431579E0,4.681105334E0
5.055885000E-1,-5.200382039E-1,-2.223190036E0,-3.045846793E0,3.806599054E0
5.155265000E-1,4.822958887E-2,-2.163191464E0,-1.933454361E0,2.901718313E0
5.254645000E-1,4.095319676E-1,-2.417066604E0,-7.221305484E-1,2.555660371E0
5.354015000E-1,6.581146467E-1,-2.617408438E0,2.584200346E-1,2.711221632E0
5.453395000E-1,7.532383204E-1,-2.710834665E0,7.539791626E-1,2.912812580E0
5.552765000E-1,6.304070306E-1,-2.600527527E0,9.542141390E-1,2.840894413E0
5.652145000E-1,4.328167498E-1,-2.274854864E0,9.969789201E-1,2.521162819E0
5.751525000E-1,3.006638288E-1,-1.819546215E0,1.132736650E0,2.164310394E0
5.850895000E-1,1.902765834E-1,-1.307256887E0,1.258151824E0,1.824300348E0
5.950275000E-1,6.135424912E-2,-8.414754358E-1,1.383959346E0,1.620860489E0
6.049655000E-1,-9.130778074E-2,-3.271495230E-1,1.527962819E0,1.565258540E0
6.149025000E-1,-1.455272573E-1,8.043722212E-3,1.638251247E0,1.644721871E0
6.248405000E-1,-2.611308038E-1,2.805938458E-1,1.457502701E0,1.507062151E0
6.347775000E-1,-6.393035692E-1,5.756501949E-1,1.039399300E0,1.349234266E0
6.447155000E-1,-9.752038890E-1,7.209657830E-1,6.039986658E-1,1.354853746E0
6.546535000E-1,-1.218988343E0,7.152349269E-1,2.001314807E-1,1.427426422E0
6.645905000E-1,-1.517671720E0,7.168657154E-1,-1.345491099E-1,1.683843035E0
6.745285000E-1,-1.645808188E0,7.484304473E-1,-3.751012230E-1,1.846492257E0
6.844655000E-1,-1.436763797E0,7.128732365E-1,-4.511547875E-1,1.666138980E0
6.944035000E-1,-1.071991096E0,6.407174259E-1,-4.432645547E-1,1.325204586E0
7.043415000E-1,-5.953880560E-1,5.588777491E-1,-2.780573237E-1,8.626396415E-1
7.142785000E-1,-6.755872965E-2,4.282898355E-1,-5.029190183E-2,4.364924289E-1
7.242165000E-1,3.362540764E-1,2.320113775E-1,5.711911082E-2,4.125029406E-1
7.341545000E-1,7.379794264E-1,1.016693392E-1,2.691853434E-1,7.920928212E-1
7.440915000E-1,1.191888837E0,9.996399879E-3,5.229106486E-1,1.301589211E0
7.540295000E-1,1.493394080E0,-2.297596148E-1,7.030113226E-1,1.666505409E0
7.639665000E-1,1.702883445E0,-5.239403433E-1,7.038059592E-1,1.915637841E0
7.739045000E-1,1.901094700E0,-8.329671523E-1,6.281570220E-1,2.168542501E0
7.838425000E-1,2.115919649E0,-1.001261713E0,6.311186367E-1,2.424448744E0
7.937795000E-1,2.256086179E0,-9.913427889E-1,7.849349070E-1,2.586273029E0
8.037175000E-1,2.228300795E0,-1.031197996E0,8.410810411E-1,2.595401907E0
8.136555000E-1,2.196421191E0,-1.077580157E0,6.813082123E-1,2.539611372E0
8.235925000E-1,2.269678032E0,-1.132967322E0,5.480677092E-1,2.595270995E0
8.335305000E-1,2.312550986E0,-1.325618752E0,1.979615790E-1,2.672890931E0
8.434675000E-1,2.462626793E0,-1.755426233E0,-2.219076812E-1,3.032374482E0
8.534055000E-1,2.693214666E0,-2.155282520E0,-6.499034017E-1,3.510131395E0
8.633435000E-1,2.845385529E0,-2.581438999E0,-9.460976189E-1,3.956658542E0
8.732805000E-1,3.006579232E0,-2.913601486E0,-1.062362778E0,4.319398913E0
8.832185000E-1,3.398676556E0,-3.199421573E0,-7.388337046E-1,4.725798978E0
8.931565000E-1,3.921181993E0,-3.151343427E0,6.794698477E-2,5.031028763E0
9.030935000E-1,4.421163370E0,-3.043588014E0,8.758509243E-1,5.438495048E0
9.130315000E-1,4.690894259E0,-3.188122998E0,1.594670779E0,5.891654444E0
9.229685000E-1,4.750796059E0,-3.514757820E0,2.254583445E0,6.325087528E0
9.329065000E-1,4.555208450E0,-3.714012219E0,2.918252946E0,6.562012728E0
9.428445000E-1,4.327291585E0,-3.771589167E0,3.773669606E0,6.869564731E0
9.527815000E-1,3.908829750E0,-3.354027218E0,4.790543970E0,7.034042942E0
9.627195000E-1,3.345348780E0,-2.707077245E0,5.796223839E0,7.219129896E0
9.726565000E-1,2.841442752E0,-1.963306736E0,6.602420391E0,7.451196231E0
9.825945000E-1,2.787056630E0,-1.149646797E0,7.282528755E0,7.881915851E0
9.925325000E-1,3.032074846E0,-1.740663475E-1,7.913922211E0,8.476670439E0
1.002469500E0,3.318309501E0,7.636832017E-1,8.378655403E0,9.044128279E0
1.012407500E0,3.578287234E0,1.380551004E0,8.326184244E0,9.167082669E0
1.022345500E0,3.876151416E0,1.750696712E0,7.700798802E0,8.797260424E0
1.032282500E0,4.049273438E0,2.092231409E0,6.615712867E0,8.033785184E0
1.042220500E0,4.180392571E0,2.347412671E0,5.149100204E0,7.035571135E0
1.052157500E0,4.184723604E0,2.491688624E0,3.671100088E0,6.098967101E0
1.062095500E0,4.117536172E0,2.617470419E0,2.522818031E0,5.492710291E0
1.072033500E0,3.996817482E0,2.624510466E0,1.704377409E0,5.076170557E0
1.081970500E0,3.664509106E0,2.656495906E0,1.266805849E0,4.700041973E0
1.091908500E0,3.286283716E0,2.568851405E0,9.670009764E-1,4.281792743E0
1.101845500E0,2.718840673E0,2.222205657E0,4.967905515E-1,3.546419806E0
1.111783500E0,2.114034507E0,1.644528818E0,1.189518084E-1,2.681001018E0
1.121721500E0,1.338886085E0,1.251759648E0,-2.280414104E-5,1.832898842E0
1.131658500E0,5.454966885E-1,9.328104061E-1,-1.110444725E-2,1.080659613E0
1.141596500E0,-1.266705716E-1,7.979069549E-1,2.023171699E-1,8.328464322E-1
1.151534500E0,-6.760889876E-1,6.336908269E-1,2.409127401E-1,9.574441663E-1
1.161471500E0,-1.394315350E0,6.086957341E-1,-6.032455444E-2,1.522584922E0
1.171409500E0,-1.869451908E0,6.944387197E-1,-1.392286366E-1,1.999119852E0
1.181346500E0,-2.330946912E0,9.509309274E-1,-6.953274965E-2,2.518415759E0
1.191284500E0,-2.670352052E0,1.373073585E0,-3.724851787E-2,3.002915018E0
1.201222500E0,-2.985194795E0,1.785998107E0,-1.185927162E-1,3.480695539E0
1.211159500E0,-3.310705197E0,2.190875106E0,-2.407965998E-1,3.977271129E0
1.221097500E0,-3.676871290E0,2.569471210E0,-4.608278364E-1,4.509315588E0
1.231035500E0,-3.980501996E0,2.908091655E0,-7.305061001E-1,4.983475933E0
1.240972500E0,-4.259312441E0,3.121377032E0,-1.126319330E0,5.399382583E0
1.250910500E0,-4.610990303E0,3.164418971E0,-1.760583477E0,5.862971360E0
1.260847500E0,-4.919163126E0,3.085199139E0,-2.502420604E0,6.322873434E0
1.270785500E0,-5.221643100E0,2.977446649E0,-3.170011248E0,6.795565946E0
1.280723500E0,-5.590738648E0,2.899850589E0,-3.866459656E0,7.390196366E0
1.290660500E0,-5.846302902E0,2.746393338E0,-4.469397052E0,7.854772053E0
1.300598500E0,-5.992251159E0,2.516001931E0,-4.937372525E0,8.161800483E0
1.310535500E0,-5.954376404E0,2.237601376E0,-5.218042384E0,8.227358301E0
1.320473500E0,-5.763681160E0,1.850227432E0,-5.259619596E0,8.019162074E0
1.330411500E0,-5.402348961E0,1.390164119E0,-5.115967541E0,7.569085443E0
1.340348500E0,-4.915770571E0,8.323531947E-1,-4.669615656E0,6.831026462E0
1.350286500E0,-4.373970492E0,3.054085520E-1,-4.020671782E0,5.949007803E0
1.360224500E0,-3.577953942E0,-1.885797215E-1,-3.111507224E0,4.745397131E0
1.370161500E0,-2.790246286E0,-6.095666769E-1,-2.041892145E0,3.510892963E0
1.380099500E0,-2.087229116E0,-1.006386213E0,-1.176497211E0,2.598746675E0
1.390036500E0,-1.554630800E0,-1.438156311E0,-4.979670113E-1,2.175578462E0
