"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.104999968E-4,2.322251079E0,-4.049226660E0,-2.205811234E0,5.162818011E0
1.064950001E-2,2.542498882E0,-4.690776730E0,-1.796452344E0,5.629824856E0
2.058750001E-2,2.829906780E0,-5.440331304E0,-1.333338831E0,6.275617063E0
3.052549998E-2,2.939735616E0,-6.052212017E0,-8.182289529E-1,6.777965359E0
4.046449999E-2,2.447411461E0,-6.657435674E0,-3.685008860E-1,7.102609768E0
5.040250000E-2,1.117332160E0,-7.269377198E0,-2.679603517E-1,7.359624905E0
6.034150001E-2,1.560134931E0,-6.763346876E0,-8.877236956E-1,6.997494932E0
7.027950001E-2,1.781123430E0,-7.151420732E0,-8.751790792E-1,7.421668112E0
8.021749998E-2,1.474804174E0,-7.033133313E0,-8.172220623E-1,7.232417538E0
9.015649999E-2,8.234679119E-1,-6.682043681E0,-9.623750979E-1,6.801027348E0
1.000945000E-1,-3.249487773E-2,-6.607215693E0,-1.492071440E0,6.773671996E0
1.100335000E-1,-8.458438906E-1,-6.473030280E0,-2.192489523E0,6.886405681E0
1.199715000E-1,-1.510956339E0,-6.237664647E0,-2.664187333E0,6.949053421E0
1.299105000E-1,-2.189418126E0,-5.916249635E0,-2.788249462E0,6.897093339E0
1.398485000E-1,-2.945780468E0,-5.489160233E0,-2.522508713E0,6.720978562E0
1.497865000E-1,-3.728769129E0,-5.208810216E0,-1.459048120E0,6.569950114E0
1.597255000E-1,-4.724364890E0,-4.810344104E0,4.481516576E-1,6.757209033E0
1.696635000E-1,-5.884951243E0,-3.504245988E0,3.017672569E0,7.484566709E0
1.796025000E-1,-6.708064376E0,-1.019580163E0,6.602585868E0,9.467407856E0
1.895405000E-1,-7.365079161E0,1.764383875E0,9.224071569E0,1.193486229E1
1.994795000E-1,-8.676440063E0,3.850013777E0,1.141823340E1,1.484854444E1
2.094175000E-1,-9.802082870E0,6.192237044E0,1.453371059E1,1.859175547E1
2.193555000E-1,-1.203839377E1,8.163025292E0,1.710296779E1,2.245149023E1
2.292945000E-1,-1.395248917E1,8.941906577E0,1.824760703E1,2.464964116E1
